basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	coordinateUncertaintyInMeters	country	countryCode	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	genericName	genus	geodeticDatum	higherClassification	identifiedBy	individualCount	institutionCode	institutionID	kingdom	locality	locationID	locationRemarks	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	taxonRank	verbatimIdentification	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation
MaterialSample	LACM:DISCO:17057	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	25	33.724552	-118.274745	2019-08-25	Nymphonidae	Nymphon	Nymphon	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Nymphonidae | Nymphon	D. Cadien	1	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Port of Los Angeles, AltaSea floating dock	6F6A87A9-FC75-40AA-B4CB-8E49A43C52CE	for public event on tall ship	0.5	0.5	08	759C0F52-7D30-466F-9A5C-3ECF8EC06893	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	N.D. Pentcheff	paint scraper	Nymphon heterodenticulatum	urn:lsid:marinespecies.org:taxname:239707	heterodenticulatum	species	Nymphon heterodenticulatum	North Pacific Ocean	2019	0ac6e0d0-f1b9-45f8-90e2-123bfa710ca9	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	0.5	1566691200000	1566691200000	1566691200000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon heterodenticulatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239707	239707	Nymphon heterodenticulatum Hedgpeth, 1941	[]	-3	3	17.11	33.44	
MaterialSample	LACM:DISCO:16210	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	20	33.701683333333335	-118.29158333333334	2019-08-20	Nymphonidae	Nymphon	Nymphon	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Nymphonidae | Nymphon	D. Cadien	1	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Point Fermin, dropoff	5E93C76A-BF11-4E9C-8E49-5282754C72BD		15.0	12.0	08	1BA14E6E-4246-4746-B942-37D70FCEEBEF	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	CSUF Whaler | S. Wiedrick | G. Paulay	SCUBA, hand, hand dredge, rock hammer	Nymphon heterodenticulatum	urn:lsid:marinespecies.org:taxname:239707	heterodenticulatum	species	Nymphon heterodenticulatum	North Pacific Ocean	2019	7a542cd6-fb63-4f32-a816-48bee0fa65dc	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	13.5	1566259200000	1566259200000	1566259200000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon heterodenticulatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239707	239707	Nymphon heterodenticulatum Hedgpeth, 1941	[]	-8	362	17.11	33.44	
HumanObservation	32244	Pycnogonida	CAL03							20	34.0519981384	-120.557998657	2003-08-20T12:00:00Z	Nymphonidae		Nymphon					EMAP_NCA		Animalia				207.0	207.0	8			Pantopoda	Arthropoda				Nymphon heterodenticulatum	urn:lsid:marinespecies.org:taxname:239707					2003	c01a6893-76bd-437b-b4cb-f734689b9eeb	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	207.0	1061337600000	1061337600000	1061337600000	2003	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon heterodenticulatum		2	1065	1274	1302	1358	379601	379609	1566	134591	239707	239707	Nymphon heterodenticulatum	['DEPTH_EXCEEDS_BATH']	139	6557	14.23	33.39	USEPA'S EMAP
MaterialSample	LACM:DISCO:16808	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	25	33.7766	-118.4307	2019-08-25	Nymphonidae	Nymphon	Nymphon	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Nymphonidae | Nymphon	D. Cadien	2	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Palos Verdes Peninsula, wreck of Dominator Reef	B7AECA56-C5E1-4721-B5B8-9871CB2778CC	60°F bottom, 70°F surface, horizontal visibility 15 ft.	11.0	7.0	08	68991526-8E5B-44EE-BD68-572C4F698D1C	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	Giant Stride | K. Morris | Z. Gold | S. Wiedrick | G. Paulay | J. Whelpley | M. Bemis	SCUBA, hand, hand dredge, rock hammer	Nymphon heterodenticulatum	urn:lsid:marinespecies.org:taxname:239707	heterodenticulatum	species	Nymphon heterodenticulatum	North Pacific Ocean	2019	dba6b5c1-b709-43f1-b7c5-90cde9886caf	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	9.0	1566691200000	1566691200000	1566691200000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon heterodenticulatum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239707	239707	Nymphon heterodenticulatum Hedgpeth, 1941	[]	-1	326	16.92	33.43	
