basisOfRecord	catalogNumber	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	modified	month	occurrenceID	occurrenceStatus	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	coordinateUncertaintyInMeters	country	footprintWKT	individualCount	locality	organismQuantity	organismQuantityType	sex	specificEpithet	taxonRank	sst	sss	countryCode	eventID	fieldNumber	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	maximumDepthInMeters	minimumDepthInMeters	preparations	samplingProtocol	scientificNameAuthorship	type	verbatimEventDate	depth	datasetName	dateIdentified	lifeStage	locationID	otherCatalogNumbers	recordedBy	typeStatus
Occurrence	BE006209	sdb_50652	https://marineinfo.org/id/dataset/1172	21	-70.11613	-1.92808	2005-02-21	BODC	2006-12-01 00:00:00	2	urn:catalog:BODC:sdb_50652:BE006209:0x7600040001000500	present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246	2005	01d3eae1-f580-4117-89c3-4eecbe8a1e62	f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1108944000000.0	1108944000000.0	1108944000000.0	2005.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni	['NO_DEPTH']	255	2285																																			
Occurrence	BE006209	sdb_50610	https://marineinfo.org/id/dataset/1172	21	-70.115	-1.93445	2005-02-21	BODC	2006-12-01 00:00:00	2	urn:catalog:BODC:sdb_50610:BE006209:0x5D98350101000300	present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246	2005	1b1e8c59-03ed-4175-bdfb-2c08a8e7fce6	f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1108944000000.0	1108944000000.0	1108944000000.0	2005.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni	['NO_DEPTH']	246	2551																																			
Occurrence	BE006209	sdb_50743	https://marineinfo.org/id/dataset/1172	22	-70.1059	-1.89342	2005-02-22	BODC	2006-12-01 00:00:00	2	urn:catalog:BODC:sdb_50743:BE006209:0x14FA030001000500	present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246	2005	1d55ae7a-0519-47cf-8cb8-8436bf508454	f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1109030400000.0	1109030400000.0	1109030400000.0	2005.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni	['NO_DEPTH']	300	1387																																			
Occurrence	BE006209	sdb_50636	https://marineinfo.org/id/dataset/1172	21	-70.11563	-1.93113	2005-02-21	BODC	2006-12-01 00:00:00	2	urn:catalog:BODC:sdb_50636:BE006209:0x0DF8030001000400	present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246	2005	1df7c2f0-544a-43b0-98ef-6d747aa9749c	f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1108944000000.0	1108944000000.0	1108944000000.0	2005.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni	['NO_DEPTH']	255	2411																																			
PreservedSpecimen	J39464	co119			-42.42	173.7	1997-03-23	NMV	2017-02-10T11:12:03		J39464	present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246		1e40de6c-ab82-46dd-a52b-688bce2278f0	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	859075200000.0	859075200000.0	859075200000.0	1997.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni		2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni	['NO_DEPTH', 'ON_LAND']	-37	-513	1000	New Zealand	POINT (173.70000 -42.42000)	1	Opposite the Edward Percival Marine Station (University of Canterbury), The Esplanade, Kaikoura	1	individuals	Unknown	mawsoni	species	12.89	34.44																							
PreservedSpecimen	JR15005_1638			11	-60.2716	-46.882	2016-03-11	BAS		3	JR15005_1638	Present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246	2016	3010c3c2-c222-4647-a3c4-187507c982e4	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	1457654400000.0	1457654400000.0	1457654400000.0	2016.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni	[]	493	33356	266		LINESTRING (-46.87778 -60.27279, -46.88613 -60.27043)			1	individuals		mawsoni	species	-0.84	33.81	AQ	JR15005	JR15005_80	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	486.0	459.0	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Calman & Gordon, 1933	PhysicalObject	11/3/2016	472.5							
HumanObservation	34747	SOMBASE Pycnogonids			-66.75	62.0499992371		BAS					Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246		3f27fc9f-30f2-4bdd-820f-f4ed209587db	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni		2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni	[]	259	46308											-1.62	34.08									219.0	219.0						219.0							
Occurrence	BE006209	sdb_50644	https://marineinfo.org/id/dataset/1172	21	-70.11585	-1.9299	2005-02-21	BODC	2006-12-01 00:00:00	2	urn:catalog:BODC:sdb_50644:BE006209:0xD161350101000400	present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246	2005	437bfa96-a88e-4850-b42b-efadfd241fa4	f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1108944000000.0	1108944000000.0	1108944000000.0	2005.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni	['NO_DEPTH']	255	2360																																			
PreservedSpecimen	J13412	co119			-67.15	70.27	1986-02-02	NMV	2017-02-10T11:41:08		J13412	present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246		4983a891-0e37-4f52-a05b-bb17d078bcdc	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	507686400000.0	507686400000.0	507686400000.0	1986.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni		2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda	['NO_DEPTH']	267	71872	1000		POINT ( 70.27000 -67.15000)	1	Fram Bank	1	individuals	Unknown	mawsoni	genus	-1.67	34.13																							
PreservedSpecimen	INV.102667	urn:catalog:RBINS:Pycnogonida	be_rbins_invertebrates_cheliceratamarine	12	-78.15856	16.40626	1996-06-12	RBINS-Scientific Heritage	2012-03-15 08:18:52	6	http://collections.naturalsciences.be/specimen/709838	present	Dodecolopoda mawsoni	urn:lsid:marinespecies.org:taxname:173246	1996	4b3e712b-2282-4bfd-b6d4-7239b165e8d8	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	834537600000.0	834537600000.0	834537600000.0	1996.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Dodecolopoda	Dodecolopoda mawsoni	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	173234	173246	173246	Dodecolopoda mawsoni Calman & Gordon, 1933	['NO_DEPTH', 'ON_LAND']	-3192	-899155	999999.0				Antarctica			undefined	mawsoni						WED96		Fiers Frank (Dr.)						container type: glas container; preservation method: alcohol		Calman & Gordon, 1933				Royal Belgian Institute of Natural Sciences marine Chelicerata collection	2012-03	undefined	http://www.geonames.org/6255152	urn:catalog:RBINS:IG:28252	Chapelle Gauthier (M.), De Broyer Claude (Dr.), Rauschert M	specimen
