basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	identifiedBy	bibliographicCitation	datasetID	individualCount	references	date_start	date_mid	date_end	date_year	superdomain	superdomainid
PreservedSpecimen	363	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	22	-34	172.5	22/09/1958	Pallenopsidae	POINT (172.5 -34)	Pallenopsis	WGS84	NIWA Invertebrate Collection	Animalia	en	NE off Three Kings Islands	B93	91.0	55	8/04/2022	9	5e52e888-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Dredge, cone	Pallenopsis triregia	Clark, 1962	urn:lsid:marinespecies.org:taxname:240294	triregia	PARATYPE	1958	4326128e-bb56-4c38-9a7b-e76b9762f964	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	73.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis triregia	2	1065	1274	1302	1358	379601	379609	236317	134593	240294	240294	Pallenopsis triregia	[]	219	33900	17.9	35.51											
PreservedSpecimen	362	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	22	-34	172.5	22/09/1958	Pallenopsidae	POINT (172.5 -34)	Pallenopsis	WGS84	NIWA Invertebrate Collection	Animalia	en	NE off Three Kings Islands	B93	91.0	55	8/04/2022	9	5e52e6f8-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Dredge, cone	Pallenopsis triregia	Clark, 1962	urn:lsid:marinespecies.org:taxname:240294	triregia	HOLOTYPE	1958	54c2c97d-cfe5-4d4f-a461-e58fc6428512	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	73.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis triregia	2	1065	1274	1302	1358	379601	379609	236317	134593	240294	240294	Pallenopsis triregia	[]	219	33900	17.9	35.51	Clark, W.C.										
PreservedSpecimen	sm_id_89561	Pycnogonida	WoRMS type localities					22	-34	172.5	1958-09-22	Pallenopsidae		Pallenopsis		WoRMS Editorial Board	Animalia					55	2020-11-16 11:12:20	9	WoRMS Editorial Board:WoRMS type localities:sm_id_89561	present	Pantopoda	Arthropoda				Pallenopsis triregia	Clark, 1962	urn:lsid:marinespecies.org:taxname:240294	triregia	holotype	1958	c9438673-af51-4b03-9356-8646c42f6505	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	55.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis triregia	2	1065	1274	1302	1358	379601	379609	236317	134593	240294	240294	Pallenopsis triregia	[]	219	33900	17.9	35.51		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pallenopsis triregia</i> Clark, 1962. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240294	https://marineinfo.org/id/dataset/5184	1.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=89561	-355881600000.0	-355881600000.0	-355881600000.0	1958.0	Biota	1.0
PreservedSpecimen	sm_id_2131	Pycnogonida	WoRMS type localities					22	-34	172.5	1958-09-22	Pallenopsidae		Pallenopsis		WoRMS Editorial Board	Animalia		Tasman Sea		137.0	82	2007-06-20 15:52:33	9	WoRMS Editorial Board:WoRMS type localities:sm_id_2131	present	Pantopoda	Arthropoda				Pallenopsis triregia	Clark, 1962	urn:lsid:marinespecies.org:taxname:240294	triregia	holotype	1958	c9c004e0-b81f-4093-baae-50ca7f20ad91	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	109.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis triregia	2	1065	1274	1302	1358	379601	379609	236317	134593	240294	240294	Pallenopsis triregia	[]	219	33900	17.9	35.51		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pallenopsis triregia</i> Clark, 1962. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240294	https://marineinfo.org/id/dataset/5184		http://www.marinespecies.org/aphia.php?p=specdetails&id=2131	-355881600000.0	-355881600000.0	-355881600000.0	1958.0	Biota	1.0
