basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	eventDate	locality	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	34193	SOMBASE Pycnogonids	-43.5699996948	172.880004883	BAS	10	2	Achelia transfuga	urn:lsid:marinespecies.org:taxname:240151	80fac7a2-0250-40f9-b6d6-15dd33d62311	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia transfuga	2	1065	1274	1302	1358	379601	379608	1562	134568	240151	240151	Achelia transfuga	[]	20	3943	12.64	34.39																			
PreservedSpecimen	sm_id_1483	WoRMS type localities	-43.62	172.72	WoRMS Editorial Board	10	2	Achelia transfuga	urn:lsid:marinespecies.org:taxname:240151	cc07cdac-8480-4e47-8fcf-78222769b0f8	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	6	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia transfuga	2	1065	1274	1302	1358	379601	379608	1562	134568	240151	240151	Achelia transfuga	[]	-1	461	12.63	34.4	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Achelia transfuga</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240151	https://marineinfo.org/id/dataset/5184	1897-08	Pacific Ocean	2007-06-20 15:52:33	8	WoRMS Editorial Board:WoRMS type localities:sm_id_1483	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1483	Stock, 1954	transfuga	holotype	1897	-2285280000000.0	-2283984000000.0	-2282688000000.0	1897.0	Biota	1.0
