associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage	fieldNumber	recordedBy	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	collectionID	continent	dateIdentified	eventRemarks	habitat	higherClassification	higherGeography	institutionID	language	license	locationID	modified	nomenclaturalCode	occurrenceID	specificEpithet	startDayOfYear	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	170651.127537	Invertebrate Zoology: Crustacea	Mexico	7	24.7416706085	-112.266998291	observedindividualcount=1;	1934-03-07T12:00:00Z	Child, C. Allan	1.0	USNM	Santa Maria Bay	18.0	18.0	3	Alcohol (Ethanol)	Tanystylum duospinum	Child	urn:lsid:marinespecies.org:taxname:268138	female	Baja California	Paratype	North Pacific Ocean	1934	06274d7b-0550-4fc2-9dee-8cb4dfb4ef6e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	18.0	-1130457600000.0	-1130457600000.0	-1130457600000.0	1934.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum mexicanum	[]	39	1196	21.47	34.03																													
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	170652.127538	Invertebrate Zoology: Crustacea	Mexico	2	17.5669994354	-101.5	observedindividualcount=1;	1934-03-02T12:00:00Z	Child, C. Allan	1.0	USNM	Petatlan Bay, S + W Of Islas Blancas	46.0	46.0	3	Alcohol (Ethanol)	Tanystylum duospinum	Child	urn:lsid:marinespecies.org:taxname:268138		Guerrero	Paratype	North Pacific Ocean	1934	11d781f6-8a5f-4e24-a995-fd879dfff025	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	46.0	-1130889600000.0	-1130889600000.0	-1130889600000.0	1934.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum mexicanum	[]	34	3694	28.67	33.27	juvenile																												
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	232733.184831	Invertebrate Zoology: Crustacea	United States	10	32.4933280945	-79.7083282471	observedindividualcount=1;	1981-03-10T12:00:00Z	Child, C. Allan	1.0	USNM	Off South Carolina	18.0	18.0	3	Alcohol (Ethanol)	Tanystylum duospinum	Stock	urn:lsid:marinespecies.org:taxname:268137	male			North Atlantic Ocean	1981	26c2f3b8-7e75-46a3-8f40-97efb7ca790a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	18.0	353030400000.0	353030400000.0	353030400000.0	1981.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum tubirostrum	[]	17	26933	22.92	35.87		815015	South Carolina Marine Resources For  BLM/ MMS																										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	170511.127397	Invertebrate Zoology: Crustacea	Panama	26	8.97500038147	-79.5133285522	observedindividualcount=4;	1971-04-26T12:00:00Z	Child, C. Allan	4.0	USNM	Panama Bay, Panama City, Paitilla Beach, east side of Paitilla Point, Off Union Club			4	Alcohol (Ethanol)	Tanystylum duospinum	Stock	urn:lsid:marinespecies.org:taxname:268137	female;;	Canal Zone		North Pacific Ocean	1971	2c98f688-a7b6-49fe-8004-2e46ffbfe6c0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		41472000000.0	41472000000.0	41472000000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum tubirostrum	['NO_DEPTH', 'ON_LAND']	-12	-132	27.59	31.05	; juvenile		M. Jones																										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	232727.184824	Invertebrate Zoology: Crustacea	United States	2	32.5	-79.7116699219	observedindividualcount=1;	1981-05-02T12:00:00Z	Child, C. Allan	1.0	USNM	Off South Carolina	16.0	16.0	5	Alcohol (Ethanol)	Tanystylum duospinum	Stock	urn:lsid:marinespecies.org:taxname:268137	female			North Atlantic Ocean	1981	3ddced80-8622-4c08-abd8-e417d7ce2219	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	16.0	357609600000.0	357609600000.0	357609600000.0	1981.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum tubirostrum	[]	17	26157	22.92	35.87		810138	South Carolina Marine Resources For  BLM/ MMS																										
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-020_E1	B89PII			18.211057663	-94.1317977905			Child, C. A.		HRI	SSW  Gulf of Mexico	0.0	0.0			Tanystylum duospinum	Hilton,	urn:lsid:marinespecies.org:taxname:266339				Gulf of Mexico		548b975f-d7e2-4cbd-9ffc-5a80fb8f2e61	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum oculospinosum	['ON_LAND']	-7	-240	26.97	34.87				542540.0	Database description and disclaimer at: http://gulfbase.org/	0-0	Biota	1.0																					
	PreservedSpecimen		10260	IZ	Ecuador	8	-0.71667	-90.33333		1964-02-08	K.C. Myers, C.A. Child		CAS	Isla Santa Cruz, Bahia Academy, Jensen Island			2	Fluid-75% EtOH(1)	Tanystylum duospinum	Hilton W.A., 1939			GALAPAGOS ISLANDS			1964	615ad58d-f4dd-4cd6-8e0d-db0e8b31597e	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']		-186105600000.0	-186105600000.0	-186105600000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum oculospinosum	['NO_DEPTH', 'ON_LAND']	-105	-3812				160829	R.O. Schuster		1 specimen - female. Galapagos Int'l Scientific Project.		Biota	1.0	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	South America	1972-08	Data transcribed from catalogue card by Notes from Nature volunteers via Zooniverse.	from algae	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	South America, Pacific Ocean, Ecuador	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	7b48b364-53da-4f06-a64a-da722c33fb71	2024-03-08 17:12:29	ICZN	urn:catalog:CAS:IZ:10260	oculospinosum	39	species	Physical Object	08 Feb 1964	0° 43' S	90° 20' W
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	155183.118581	Invertebrate Zoology: Crustacea	United States	1	28.0669994354	-80.2133331299	observedindividualcount=1;	1974-03-01T12:00:00Z	Child, C. Allan	1.0	USNM	E Of Fort Pierce	25.0	25.0	3	Alcohol (Ethanol)	Tanystylum duospinum	Stock	urn:lsid:marinespecies.org:taxname:268137	male	Florida		North Atlantic Ocean	1974	6f52b160-3dcd-488c-90ac-f55970e627c8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	25.0	131328000000.0	131328000000.0	131328000000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum tubirostrum	[]	27	30752	25.61	36.2																													
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	232728.184825	Invertebrate Zoology: Crustacea	United States	2	32.4966697693	-79.6983337402	observedindividualcount=1;	1981-05-02T12:00:00Z	Child, C. Allan	1.0	USNM	Off South Carolina	18.0	18.0	5	Alcohol (Ethanol)	Tanystylum duospinum	Stock	urn:lsid:marinespecies.org:taxname:268137	female			North Atlantic Ocean	1981	77083583-eb20-414c-85d7-def7f7cbea32	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	18.0	357609600000.0	357609600000.0	357609600000.0	1981.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum tubirostrum	[]	18	27240	22.92	35.87		810144	South Carolina Marine Resources For  BLM/ MMS																										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	232726.184823	Invertebrate Zoology: Crustacea	United States	2	32.4966697693	-79.7149963379	observedindividualcount=2;	1981-05-02T12:00:00Z	Child, C. Allan	2.0	USNM	Off South Carolina	17.0	17.0	5	Alcohol (Ethanol)	Tanystylum duospinum	Stock	urn:lsid:marinespecies.org:taxname:268137	male; female			North Atlantic Ocean	1981	77aebcb3-5f7d-4094-aee7-b5df4d47d68b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0	357609600000.0	357609600000.0	357609600000.0	1981.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum duospinum	2	1065	1274	1302	1358	379601	379608	1562	134577	240357	240357	Tanystylum tubirostrum	[]	17	26254	22.92	35.87		810137	South Carolina Marine Resources For  BLM/ MMS																										
