basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	organismQuantity	organismQuantityType	sex
PreservedSpecimen	P.77962	Pycnogonida	co113	0.009	1000	Australia	-30.02499	153.27499	1992-06-25	Callipallenidae	POINT (153.27499 -30.02499)	Stylopallene	AM	Animalia	Manta Reef, North West Solitary Island	2017-03-02T12:59:30	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77962	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	167b228a-dc66-4fa6-8ca6-4c8c035851ea	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	709430400000.0	709430400000.0	709430400000.0	1992.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH']	13.0	744	22.62	35.45				
PreservedSpecimen	P.44779	Pycnogonida	co113	0.009	1000		-29.45666	159.06166	1987-12-05	Callipallenidae	POINT (159.06166 -29.45666)	Stylopallene	AM	Animalia	"Middleton Reef, outer slope, near ""Runic"" wreck"	2017-03-02T15:50:03	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44779	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	2ee33298-8888-41bf-abf4-5fa61d3a20bf	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	565660800000.0	565660800000.0	565660800000.0	1987.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH']	2.0	225651	22.23	35.64				
PreservedSpecimen	J13404	Pycnogonida	co119		1000		-38.08	148.13	1971-02-28	Callipallenidae	POINT (148.13000 -38.08000)	Stylopallene	NMV	Animalia		2017-02-10T11:41:06	J13404	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	695244c0-fd0c-4536-83dd-2e067ccc1259	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	36547200000.0	36547200000.0	36547200000.0	1971.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH']	53.0	24401	15.84	35.62	1	1	individuals	Unknown
PreservedSpecimen	P.42895	Pycnogonida	co113	0.0009	100	Australia	-28.19033	153.57982	1993-06-08	Callipallenidae	POINT (153.57982 -28.19033)	Stylopallene	AM	Animalia	Cook Island, north-east of Marys Rock	2017-03-02T15:57:59	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42895	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	7218fd60-6bc3-4641-850f-266ef8a2c338	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739497600000.0	739497600000.0	739497600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH']	21.99	474	23.41	35.4				Female
PreservedSpecimen	J13410	Pycnogonida	co119		1000	Australia	-38.57	145.37	1972-04-01	Callipallenidae	POINT (145.37000 -38.57000)	Stylopallene	NMV	Animalia	Cape Woolamai, Phillip Island	2017-02-10T11:41:08	J13410	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	82090669-c5b7-4f99-bc0c-8680e51c5905	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	70934400000.0	70934400000.0	70934400000.0	1972.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH']	24.0	907	15.73	35.71	1	1	individuals	Unknown
PreservedSpecimen	J13405	Pycnogonida	co119		1000	Australia	-38.57	145.37	1972-04-01	Callipallenidae	POINT (145.37000 -38.57000)	Stylopallene	NMV	Animalia	Cape woolamai	2017-02-10T11:41:06	J13405	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	9e4f82f3-6afe-46d5-90ba-7ada7b81ddd9	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	70934400000.0	70934400000.0	70934400000.0	1972.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH']	24.0	907	15.73	35.71	4	4	individuals	Unknown
PreservedSpecimen	P.42916	Pycnogonida	co113		10000	Australia	-27.42016	153.55466	1993-06-03	Callipallenidae	POINT (153.55466 -27.42016)	Stylopallene	AM	Animalia	North Stradbroke Island, Boat Rock	2017-03-02T15:58:04	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42916	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	c04b01bd-7ad9-47ab-976b-1f468aba370a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739065600000.0	739065600000.0	739065600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH']	34.41	1250	23.53	35.4				Female
PreservedSpecimen	P.6744	Pycnogonida	co113	0.0896	10000	Australia	-33.85	151.266		Callipallenidae	POINT (151.26600 -33.85000)	Stylopallene	AM	Animalia	Port Jackson	2017-03-02T15:28:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.6744	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	c3369030-5b17-4d19-976e-e834b16c01e8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH', 'ON_LAND']	-2.0	-1884	20.41	35.54				Male
PreservedSpecimen	J12980	Pycnogonida	co119		1000	Australia	-38.27	144.65	1984-05-26	Callipallenidae	POINT (144.65000 -38.27000)	Stylopallene	NMV	Animalia	Queenscliff, Port Phillip Bay	2017-02-10T11:39:44	J12980	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	cdbf8465-9211-477d-8019-3c2c513d5495	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	454377600000.0	454377600000.0	454377600000.0	1984.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH', 'ON_LAND']	-11.0	-237	15.79	35.68	1	1	individuals	Unknown
PreservedSpecimen	P.44774	Pycnogonida	co113	0.009	1000	Australia	-30.316	153.155	1992-06-26	Callipallenidae	POINT (153.15500 -30.31600)	Stylopallene	AM	Animalia	Solitary Islands, 100 m north of Korffs (Pig) Islet	2017-03-02T15:50:03	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44774	present	Arthropoda	Stylopallene tubirostris	urn:lsid:marinespecies.org:taxname:379574	tubirostris	species	e2bf832c-257f-4124-8e64-6ea5564016c5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	709516800000.0	709516800000.0	709516800000.0	1992.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene tubirostris	2	1065	1274	1302	1358	379601	379609	1564	236298	379574	379574	Stylopallene tubirostris	['NO_DEPTH']	2.0	59	22.48	35.46				Female
