associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183803.139732	Invertebrate Zoology: Crustacea	Japan	14	34.686668396	139.003326416	observedindividualcount=1;	1969-07-14T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	juvenile	Honshu Island, Sagami Bay	50	50	7	Alcohol (Ethanol)	Ammothea spicula	Nakamura & Child	urn:lsid:marinespecies.org:taxname:240118	Shizuoka	Paratype	North Pacific Ocean	1969	6f348f1c-a599-45b0-82c1-fc51c8778dc8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50	-14774400000	-14774400000	-14774400000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spicula	2	1065	1274	1302	1358	379601	379608	1562	134569	240118	240118	Ammothea spicula	[]	59	1890	20.46	33.93	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183802.139731	Invertebrate Zoology: Crustacea	Japan	2	34.7783317566	139.074996948	observedindividualcount=1;	1971-02-02T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM		Honshu Island, Sagami Bay	170	160	2	Alcohol (Ethanol)	Ammothea spicula	Nakamura & Child	urn:lsid:marinespecies.org:taxname:240118	Shizuoka	Holotype	North Pacific Ocean	1971	88512ce8-67e1-48b8-b04e-31064b403643	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	165	34300800000	34300800000	34300800000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spicula	2	1065	1274	1302	1358	379601	379608	1562	134569	240118	240118	Ammothea spicula	[]	148	1635	20.33	33.84	female
