associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234489.186243	Invertebrate Zoology: Crustacea	Japan	9	34.6733283997	139.25	observedindividualcount=4;	1978-12-09T12:00:00Z	Bowman, Thomas E.	4.0	USNM	; juvenile	Honshu Island, Sagami Bay	440	410	12	Alcohol (Ethanol)	Nymphon forceps	Nakamura & Child	urn:lsid:marinespecies.org:taxname:240058	female;;	Paratype	North Pacific Ocean	1978	12830a4c-aa2b-49ed-bb94-74c0fa82cd3b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	425	282009600000	282009600000	282009600000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon forceps	2	1065	1274	1302	1358	379601	379609	1566	134591	240058	240058	Nymphon forceps	[]	420	10361	20.58	33.97
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234488.186242	Invertebrate Zoology: Crustacea	Japan	9	34.6733283997	139.25	observedindividualcount=1;	1978-12-09T12:00:00Z	Bowman, Thomas E.	1.0	USNM		Honshu Island, Sagami Bay	440	410	12	Alcohol (Ethanol)	Nymphon forceps	Nakamura & Child	urn:lsid:marinespecies.org:taxname:240058	male	Holotype	North Pacific Ocean	1978	c3dfd94e-0939-4cca-b3e4-0872c0f9319b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	425	282009600000	282009600000	282009600000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon forceps	2	1065	1274	1302	1358	379601	379609	1566	134591	240058	240058	Nymphon forceps	[]	420	10361	20.58	33.97
