basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	dateIdentified	day	decimalLatitude	decimalLongitude	endDayOfYear	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	taxonRemarks	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	subfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	datasetID	continent	coordinatePrecision	countryCode	dynamicProperties	materialSampleID	verbatimEventDate	associatedReferences	preparations	datasetName	eventID	sex	associatedSequences	collectionID	eventRemarks	institutionID	locationID	organismID	parentNameUsageID	recordNumber	taxonID	taxonRank	taxonomicStatus	accessRights	associatedMedia	eventTime	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	higherClassification	higherGeography	identificationQualifier	identificationRemarks	license	locationAccordingTo	nomenclaturalCode	otherCatalogNumbers	previousIdentifications	recordedBy	references	type	verbatimCoordinateSystem	verbatimCoordinates	verbatimLocality	superdomain	superdomainid
HumanObservation	Decolopoda australis (MBIS BioRoss 2080)	TAN0402/186 Decolopoda australis	Pycnogonida	MBIS BioRoss	30	2005-06-20	27	-71.512	171.425167	58	2004-02-27T20:19/2004-02-27T20:29+12	Colossendeidae	TAN0402/186	LINESTRING (171.425167 -71.512, 171.417833 -71.5165)	Decolopoda	WGS84	Johanna Nielsen	4	NIWA	Animalia	en	Ross 2	390.0	389.0	2013-11-03	2	2080	GearType= Beam trawl	present	Pantopoda	Arthropoda	Beam trawl	Decolopoda australis	Eights, 1835	urn:lsid:marinespecies.org:taxname:173243	australis	58	Decolopoda australis	Southern Ocean	2004	07cd4597-cdc5-4762-aad2-a43b8970bf96	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	389.5	1077840000000.0	1077840000000.0	1077840000000.0	2004.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	[]	400	29340	-1.63	34.07																																																	
HumanObservation	Neilsen et al. 2009. Polar Biology 32(8): 1147-1155	48	Pycnogonida	CAML - Neilsen				-71.53888889	170.28334			Colossendeidae			Decolopoda				BAS	Animalia		Ross Sea		205.5	2010-01-21T00:00		urn:catalog:BAS:CAML - Neilsen:48	GenBankID: FJ969330		Pantopoda	Arthropoda		Decolopoda australis		urn:lsid:marinespecies.org:taxname:173243	australis					0821bebd-605a-4283-a0ce-ad7bb92019f4	a332dcf7-d54f-475b-b6e4-43d1aa05fe9c	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	205.5					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	['DEPTH_EXCEEDS_BATH']	10	1382	-1.68	33.89	Antarctica	IMIS:dasid:1967																																															
HumanObservation	Decolopoda australis (MBIS BioRoss 1847)	TAN0402/18 Decolopoda australis	Pycnogonida	MBIS BioRoss	30	2005-06-20	5	-71.727167	171.781333	36	2004-02-05T11:36/2004-02-05T11:51+12	Colossendeidae	TAN0402/18	LINESTRING (171.781333 -71.727167, 171.821 -71.716667)	Decolopoda	WGS84	Johanna Nielsen	3	NIWA	Animalia	en	Ross 3	530.0	522.0	2013-11-03	2	1847	GearType= Bottom trawl	present	Pantopoda	Arthropoda	Bottom trawl	Decolopoda australis	Eights, 1835	urn:lsid:marinespecies.org:taxname:173243	australis	36	Decolopoda australis	Southern Ocean	2004	088611a7-4f83-42cc-a7ba-f267f15c1f01	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	526.0	1075939200000.0	1075939200000.0	1075939200000.0	2004.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	[]	530	26001	-1.63	34.09																																																	
humanobservation			Pycnogonida				23	-66.667	139.997		23/12/2014	Colossendeidae			Decolopoda					Animalia			20.0	10.0		12	COLO05		Present	Pantopoda	Arthropoda	SCUBA diving	Decolopoda australis		urn:lsid:marinespecies.org:taxname:173243					2014	0b777f1e-c76c-4aff-8e01-d7de72e28901	96f4a5d3-3e3a-4ccb-8343-b1db99074b1f	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	15.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	[]	16	84	-1.66	34.0			Antarctica	0.001	AQ	"""Analyzed tissue"":Whole animal without gut, ""Carbonate treatment"":None, ""Lipid treatment"":None, ""d13C"":-19.2,""d15N"":11.1,""d34S"":14.9,""%C"":44.8,""%N"":8.9,""%S"":0.2,""C/N ratio"":5"	COLO05_WAWG	23/12/2014																																									
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	142053.285584	Pycnogonida	Invertebrate Zoology: Crustacea			10	-72.0500030518	172.632995605		1968-01-10T12:00:00Z	Colossendeidae			Decolopoda		Hedgpeth, J. W.	1.0	USNM	Animalia		E Of Cape Adare	348.0	344.0		1				Pantopoda	Arthropoda		Decolopoda australis	Eights	urn:lsid:marinespecies.org:taxname:173243				Antarctic Ocean	1968	0e569102-ed67-4487-9b41-e4d8cbf277b3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	346.0	-62380800000.0	-62380800000.0	-62380800000.0	1968.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	[]	499	51501	-1.64	34.15	Antarctica					observedindividualcount=1;			National Museum of Natural History, Smithsonian Institution	Alcohol (Ethanol)																																							
HumanObservation		Stn 149 Decolopoda australis	Pycnogonida	Discovery Reports	1000		10	-54.2586	-36.4251		1927-01-10	Colossendeidae	Stn 149	LINESTRING (-36.4338 -54.235, -36.4163 -54.2822)	Decolopoda	WGS84		1	NIWA	Animalia	en	Off mouth of East Cumberland Bay, South Georgia. From 1.15 miles N 76.5° W to 2.62 miles S 11° W of Merton Rock	234.0	200.0	2019-03-15	1	3616	Large otter trawl and Net with mesh of 4mm attached to back of trawl	present	Pantopoda	Arthropoda	Large otter trawl and Net with mesh of 4mm attached to back of trawl	Decolopoda australis	Eights, 1835	urn:lsid:marinespecies.org:taxname:173243	australis	10		Atlantic Ocean	1927	15873ee7-6aad-4671-ad77-f252d7421e5e	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	217.0	-1356220800000.0	-1356220800000.0	-1356220800000.0	1927.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	[]	257	1610	1.82	33.76											Discovery Expedition Biological Reports	269	f																																				
PreservedSpecimen		S12140	Pycnogonida	OGL				-75.621696472168	169.804992675781			Colossendeidae			Decolopoda		Claudia Arango		OGL	Animalia				522.0			OGL_MSC_NortheasternUniversity_S12140		present	Pantopoda	Arthropoda	ND	Decolopoda australis	Eights, 1835	urn:lsid:marinespecies.org:taxname:173243	australis			Ross Sea		16da22c4-563f-4481-a778-483382e1f099	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	522.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	[]	518	60887	-1.46	34.27	Antarctica	OGL_MSC_NortheasternUniversity	Antarctica		AQ						Ocean Genome Legacy Collection	CE02211		BOLD ID: 36207-1	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Collection Event Notes: Collector name listed as R/VTANGAROA	8c116cac-9394-4c4e-be14-06184bdc62bd	CL02480	S12140	173230	36207-1; 946	T02262	Species	accepted																									
HumanObservation	Kathrin¬†Krabbe1, Florian¬†Leese1¬†, Christoph¬†Mayer1, Ralph¬†Tollrian1 and Christoph¬†Held2. Polar Biology  Volume 33, Number 3 / March, 2010. p281-292.	15	Pycnogonida	CAML - Antarctic Pycnogonids II				-58.05666667	-26.053333			Colossendeidae			Decolopoda				BAS	Animalia		South Sandwich			4/9/10		urn:catalog:BAS:CAML - Antarctic Pycnogonids II:15	GenBankID: GQ386996		Pantopoda	Arthropoda		Decolopoda australis		urn:lsid:marinespecies.org:taxname:173243	australis					17dd64ca-8c6f-4cc2-9133-d2ba99339bb8	9646a810-f892-4eaf-aa83-a858eb70f709	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']						False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	['NO_DEPTH']	2751	33632	-0.85	33.64	Antarctica	IMIS:dasid:2388																																															
PreservedSpecimen		ALMNH:Inv:21305	Pycnogonida	Inv		2020-11-13	13	-62.7421333333	-60.4577333333	318	2020-11-13	Colossendeidae		POLYGON((-60.45772355797451 -62.74213315632223,-60.45772367053293 -62.74213403438836,-60.45772415442618 -62.74213488551134,-60.45772499105853 -62.74213567698295,-60.457726148278674 -62.74213637838736,-60.45772758161531 -62.74213696277005,-60.45772923598612 -62.74213740767348,-60.45773104781454 -62.74213769600023,-60.457732947473 -62.7421378166701,-60.457734861958656 -62.742137765045754,-60.45773671769884 -62.742137543111156,-60.4577384433785 -62.74213715939508,-60.45773997268071 -62.74213662864356,-60.45774124683523 -62.74213597125309,-60.457742216877016 -62.7421352124868,-60.457742845527925 -62.74213438150363,-60.45774310862927 -62.74213351023788,-60.45774299607027 -62.74213263217177,-60.45774251217652 -62.74213178104883,-60.457741675543815 -62.742130989577326,-60.4577405183235 -62.74213028817303,-60.45773908498691 -62.74212970379048,-60.45773743061638 -62.74212925888719,-60.45773561878842 -62.742128970560515,-60.45773371913051 -62.74212884989069,-60.45773180464544 -62.74212890151502,-60.457729948905765 -62.74212912344955,-60.45772822322646 -62.74212950716551,-60.45772669392441 -62.74213003791691,-60.457725419769844 -62.742130695307246,-60.45772444972777 -62.74213145407344,-60.45772382107641 -62.74213228505651,-60.45772355797451 -62.74213315632223))	Decolopoda	World Geodetic System 1984	Andrew R. Mahon		ALMNH	Animalia	en	NBP 20-10; Station 1; Event 1; Livingston Island	70.0	70.0	2024-02-17 03:26:00.02305	11	http://arctos.database.museum/guid/ALMNH:Inv:21305?seid=5117543			Pantopoda	Arthropoda	Blake trawl	Decolopoda australis			australis				2020	1844beb5-0f02-4288-b3d4-db79cce734b4	f7677584-eb01-44ca-96f9-a334381034fa	['b7c47783-a020-4173-b390-7b57c4fa1426']	70.0	1605225600000.0	1605225600000.0	1605225600000.0	2020.0	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	[]	178	2687	-0.42	33.94	Antarctica							11/13/2020		whole organism (ethanol, 95%)					https://arctos.database.museum/collection/ALMNH:Inv	Type locality of Dorymenia troncosoi	ALMNH		http://arctos.database.museum/guid/ALMNH:Inv:21305		KK1127				http://vertnet.org/resources/norms.html	http://arctos.database.museum/MediaSearch.cfm?collection_object_id=29844760	2020-11-13	not recorded	NBP global positioning system (transcription)	unverified	Kevin M. Kocot	2020-11-13 00:00:00	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Colossendeidoidea, Colossendeidae, Colossendeinae, Decolopoda,	Antarctica	A	Pycnogonida	http://creativecommons.org/licenses/by/3.0/	Kevin M. Kocot	ICZN	"[{""remarks"": null, ""issued_by"": null, ""identifier"": ""KK1127"", ""assigned_by"": ""unknown"", ""assigned_date"": ""2022-04-27"", ""identifier_type"": ""collector number""}]"	"[{""idby"": ""Andrew R. Mahon"", ""made_date"": ""2020-11-13"", ""concept_label"": null, ""short_citation"": null, ""scientific_name"": ""Decolopoda australis"", ""sensu_publication"": null, ""identification_taxa"": [{""taxon"": {""ftn"": ""Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Colossendeidoidea, Colossendeidae, Colossendeinae, Decolopoda, Decolopoda australis"", ""name"": ""Decolopoda australis"", ""ctrms"": [{""psn"": 1, ""typ"": ""kingdom"", ""term"": ""Animalia""}, {""psn"": 2, ""typ"": ""phylum"", ""term"": ""Arthropoda""}, {""psn"": 3, ""typ"": ""subphylum"", ""term"": ""Chelicerata""}, {""psn"": 4, ""typ"": ""class"", ""term"": ""Pycnogonida""}, {""psn"": 5, ""typ"": ""order"", ""term"": ""Pantopoda""}, {""psn"": 6, ""typ"": ""suborder"", ""term"": ""Eupantopodida""}, {""psn"": 7, ""typ"": ""superfamily"", ""term"": ""Colossendeidoidea""}, {""psn"": 8, ""typ"": ""family"", ""term"": ""Colossendeidae""}, {""psn"": 9, ""typ"": ""subfamily"", ""term"": ""Colossendeinae""}, {""psn"": 10, ""typ"": ""genus"", ""term"": ""Decolopoda""}, {""psn"": 11, ""typ"": ""species"", ""term"": ""Decolopoda australis""}], ""nctrms"": [{""typ"": ""aphiaid"", ""term"": ""173243""}, {""typ"": ""author_text"", ""term"": ""Eights, 1835""}, {""typ"": ""display_name"", ""term"": ""<i>Decolopoda australis</i> Eights, 1835""}, {""typ"": ""nomenclatural_code"", ""term"": ""ICZN""}, {""typ"": ""scientific_name"", ""term"": ""Decolopoda australis""}, {""typ"": ""source_authority"", ""term"": ""Bamber, R.N.; El Nagar, A. & Arango, C. P. (Eds) (2018). Pycnobase: World Pycnogonida Database. Decolopoda australis Eights, 1835. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=173243""}, {""typ"": ""taxon_status"", ""term"": ""valid""}], ""source"": ""WoRMS (via Arctos)"", ""classification_id"": ""https://arctos.database.museum/name/Decolopoda australis#WoRMSviaArctos""}, ""taxon_id"": ""https://arctos.database.museum/name/Decolopoda australis"", ""variable"": ""A""}], ""identification_order"": 1, ""identification_agents"": [{""agent_name"": ""Andrew R. Mahon"", ""agent_identifier"": ""https://arctos.database.museum/agent/21332494"", ""identifier_order"": 1}], ""identification_remarks"": ""Pycnogonida"", ""identification_attributes"": [{""agent_name"": null, ""attribute_type"": ""nature of identification"", ""attribute_units"": null, ""attribute_value"": ""features"", ""determined_date"": null, ""agent_identifier"": null, ""attribute_remark"": null, ""determination_method"": null}]}]"	Collector(s): Kevin M. Kocot	http://arctos.database.museum/guid/ALMNH:Inv:21305	PhysicalObject	degrees dec. minutes	d 44.528m /d 27.464m	Antarctica	Biota	1.0
PreservedSpecimen		S12104	Pycnogonida	OGL				-74.5817031860352	170.25			Colossendeidae			Decolopoda		Claudia Arango		OGL	Animalia				285.0			OGL_MSC_NortheasternUniversity_S12104		present	Pantopoda	Arthropoda	ND	Decolopoda australis	Eights, 1835	urn:lsid:marinespecies.org:taxname:173243	australis			Ross Sea		1859e566-df66-4fd6-9e30-0107a86f971f	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	285.0					False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Decolopoda australis	2	1065	1274	1302	1358	379601	379607	22617	379613	173230	173243	173243	Decolopoda australis	[]	290	106690	-1.54	34.21	Antarctica	OGL_MSC_NortheasternUniversity	Antarctica		AQ						Ocean Genome Legacy Collection	CE02211		BOLD ID: SPLIT35864	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Collection Event Notes: Collector name listed as R/VTANGAROA	8c116cac-9394-4c4e-be14-06184bdc62bd	CL02461	S12104	173230	SPLIT35864; 356	T02262	Species	accepted																									
