associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	locality	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80560.273434	Invertebrate Zoology: Crustacea	Russia	27	48.7249984741	144.945831299	observedindividualcount=1;	1906-09-27T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	95	95	9	Alcohol (Ethanol)	Nymphon hodgsoni	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239996	male	North Pacific Ocean	1906	740488ab-73ce-4124-b689-7c7072eaf7cd	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	95	-1996444800000	-1996444800000	-1996444800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hodgsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239996	239996	Nymphon hodgsoni	[]	129	16956	4.56	31.71		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80699.273502	Invertebrate Zoology: Crustacea	Russia	27	48.5458297729	145.125	observedindividualcount=3;	1906-09-27T12:00:00Z	Hedgpeth, J. W.	3.0	USNM	134	134	9	Alcohol (Ethanol)	Nymphon hodgsoni	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239996		North Pacific Ocean	1906	c5ef2711-8e53-4176-963d-51a88d9feafb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	134	-1996444800000	-1996444800000	-1996444800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hodgsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239996	239996	Nymphon hodgsoni	[]	153	29880	4.57	31.84	Kuril Islands, Sakhalin Island, Near Cape Patience	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80700.273503	Invertebrate Zoology: Crustacea	Russia	27	48.5416717529	145.145828247	observedindividualcount=10;	1906-09-27T12:00:00Z	Hedgpeth, J. W.	10.0	USNM	134	134	9	Alcohol (Ethanol)	Nymphon hodgsoni	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239996		North Pacific Ocean	1906	cc5f338b-0c61-4ebf-abf0-ab4e1e272a41	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	134	-1996444800000	-1996444800000	-1996444800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hodgsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239996	239996	Nymphon hodgsoni	[]	155	31475	4.57	31.84	Kuril Islands, Sakhalin Island, Near Cape Patience	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80698.273501	Invertebrate Zoology: Crustacea	Russia	26	46.6944389343	143.961105347	observedindividualcount=7;	1906-09-26T12:00:00Z	Hedgpeth, J. W.	7.0	USNM	183	183	9	Alcohol (Ethanol)	Nymphon hodgsoni	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239996		North Pacific Ocean	1906	de9d433e-edcf-42f9-a33e-7024c90093de	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	183	-1996531200000	-1996531200000	-1996531200000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hodgsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239996	239996	Nymphon hodgsoni	[]	719	34395	6.18	31.83	Kuril Islands, Sakhalin Island, S End	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80701.273504	Invertebrate Zoology: Crustacea	Russia	27	48.7249984741	145.050003052	observedindividualcount=3;	1906-09-27T12:00:00Z	Hedgpeth, J. W.	3.0	USNM	137	137	9	Alcohol (Ethanol)	Nymphon hodgsoni	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239996	male;;	North Pacific Ocean	1906	e160e008-58c2-4203-9a49-d0f56d834a44	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	137	-1996444800000	-1996444800000	-1996444800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hodgsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239996	239996	Nymphon hodgsoni	[]	175	23864	4.55	31.73	Kuril Islands, Sakhalin Island, Near Cape Patience	; juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	125537.89826	Invertebrate Zoology: Crustacea	Japan	18	38.233001709	138.899993896	observedindividualcount=1;	1906-07-18T12:00:00Z	Child, C. Allan	1.0	USNM	117	117	7	Alcohol (Ethanol)	Nymphon hodgsoni	Schimkewitsch	urn:lsid:marinespecies.org:taxname:239996	male	North Pacific Ocean	1906	ff8dfe7e-aab3-45f9-a42f-12c3bde21476	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	117	-2002579200000	-2002579200000	-2002579200000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon hodgsoni	2	1065	1274	1302	1358	379601	379609	1566	134591	239996	239996	Nymphon hodgsoni	[]	119	32950	17.4	33.17	Honshu Island	
