basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	continent	country	countryCode	datasetID	datasetName	eventID	eventRemarks	identifiedBy	institutionID	locationID	minimumDepthInMeters	municipality	organismID	parentNameUsageID	recordNumber	recordedBy	samplingProtocol	scientificNameAuthorship	stateProvince	taxonID	taxonomicStatus	waterBody	depth	fieldNumber	individualCount	maximumDepthInMeters	occurrenceRemarks	organismQuantity	organismQuantityType
PreservedSpecimen	P.73290	Pycnogonida	co113	0.0896	10000	-35.33583	118.29194	2005-11-22	Callipallenidae	POINT (118.29194 -35.33583)	Pallenella	AM	Animalia	Albany	2017-03-02T12:40:30	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73290	present	Arthropoda	Pallenella chevron	urn:lsid:marinespecies.org:taxname:345606	Male	chevron	species	3f206e98-f577-4012-ba71-c5de50611a66	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	1132617600000	1132617600000	1132617600000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella chevron	2	1065	1274	1302	1358	379601	379609	1564	236291	1509506	1509506	Pseudopallene chevron	['NO_DEPTH']	95	35287	19.04	35.58																															
PreservedSpecimen	S12216	Pycnogonida	OGL			-35.3349990844727	118.293998718262	2005-11-22	Callipallenidae		Pallenella	OGL	Animalia	Albany		OGL_MSC_NortheasternUniversity_S12216	present	Arthropoda	Pallenella chevron	urn:lsid:marinespecies.org:taxname:851537		chevron	Species	68a1d75b-c7ba-40bd-b5c7-3910911beaa1	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	1132617600000	1132617600000	1132617600000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella chevron	2	1065	1274	1302	1358	379601	379609	1564	236291	1509506	1509506	Meridionale chevron	[]	95	35352	19.04	35.58	BOLD ID: P73290	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Oceania	Australia	AU	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	CE01568	Contact Person: Arango, Claudia; Collection Event Notes: Collector name listed as C. ARANGO	Claudia Arango	8c116cac-9394-4c4e-be14-06184bdc62bd	CL01295	100.0	Albany	S12216	851534	P73290	Claudia Arango	ND	(Staples, 2007)	Western Australia	T02202	accepted	Indian Ocean	100.0						
HumanObservation		Pycnogonida	CMAR_WA_2005		500	-35.3358	118.292	2005-11-22T11:24:40Z	Callipallenidae	LINE (118.2940  -35.3350, 118.2900  -35.3366)	Pallenella	CSIRO, Australia	Animalia	Survey area	2022-08-24T00:40:45	CC-SS200510-22-661068-33011042	present	Arthropoda	Pallenella chevron	urn:lsid:marinespecies.org:taxname:851537				e3fa8a37-37bf-41a7-ad53-594406fa1fda	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	1132617600000	1132617600000	1132617600000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella chevron	2	1065	1274	1302	1358	379601	379609	1564	236291	1509506	1509506	Pallenella chevron	[]	95	35288	19.04	35.58				Australia				SS200510:22					99.0							(Staples, 2007)					99.5	SS200510:22	1	100.0	Occurrence Type: Catch composition Catch method: Catch	1	individuals
