basisOfRecord	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	fieldNumber	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	recordedBy	scientificName	scientificNameAuthorship	waterBody	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	occurrenceID	occurrenceStatus	scientificNameID	date_start	date_mid	date_end	date_year	continent	datasetID	datasetName	eventID	eventTime	footprintWKT	modified	samplingProtocol	superdomain	superdomainid	associatedReferences	bibliographicCitation	country	individualCount	preparations	stateProvince
PreservedSpecimen	578	2007B4	22	80.0	-5.78000020981	samplesize=ind per 1000m2;observedindividualcount=50;	545-(545)	Dieter Piepenburg	ArCOD	Fram Strait	400.0	370.0	7	globaluniqueidentifier: ArcOD:2007B4:578 collectingmethod: Agassiz Trawl platform: Polarstern ARK_3	Dieter Piepenburg	Nymphon elegans	Hansen, 1887	Arctic Ocean	1985	0118f874-b789-439c-a887-7e670669f999	1d7b68ff-72ec-4a3a-b8e5-0e369c9696a3	['da50007b-7871-46cf-8530-441b5836d2c1']	385.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	[]	436.0	161984	-1.38	32.91																								
HumanObservation		2006B3	11	81.3679962158	17.4599990845				ArcOD		8570.0	8490.0	7	;;134686;Polarstern	Neelov	Nymphon elegans	Hansen, 1887		1991	03571472-7728-4516-a316-1fb9e237f639	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	8530.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	['DEPTH_EXCEEDS_BATH']	833.0	77608	-0.76	33.52	1991-7-11	17247	present	urn:lsid:marinespecies.org:taxname:134686	679190400000.0	679190400000.0	679190400000.0	1991.0																
HumanObservation		2006B3	30	77.6500015259	74.0				ArcOD			3000.0	9	;;134686;Lomonosov	Gorbunov	Nymphon elegans	Hansen, 1887		1931	05743d6a-68d8-407f-81d8-8ec762af1bf6	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	3000.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	['DEPTH_EXCEEDS_BATH']	277.0	153265	-0.34	34.05	1931-9-30	8269	present	urn:lsid:marinespecies.org:taxname:134686	-1207267200000.0	-1207267200000.0	-1207267200000.0	1931.0																
HumanObservation		2006B3	4	74.6999969482	59.8670005798				ArcOD		750.0	520.0	9	;;134686;Elding	Gorbunov	Nymphon elegans	Hansen, 1887		1925	072ad98c-de0c-47be-9d20-544722d30add	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	635.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	['DEPTH_EXCEEDS_BATH']	9.0	1252	0.04	33.12	1925-9-4	5154	present	urn:lsid:marinespecies.org:taxname:134686	-1398816000000.0	-1398816000000.0	-1398816000000.0	1925.0																
HumanObservation		2006B3	8	76.5329971313	65.3000030518				ArcOD			1200.0	9	;;134686;Sedov	Gorbunov	Nymphon elegans	Hansen, 1887		1929	09ff6e8d-9d61-47f8-8805-26d4eb49adb4	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1200.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	['DEPTH_EXCEEDS_BATH']	24.0	3259	0.39	34.72	1929-9-8	7176	present	urn:lsid:marinespecies.org:taxname:134686	-1272240000000.0	-1272240000000.0	-1272240000000.0	1929.0																
HumanObservation		2006B3	22	79.327003479	74.233001709				ArcOD			3800.0	8	;;134686;Sedov	Vagin	Nymphon elegans	Hansen, 1887		1934	0c8d3be9-1c6a-47be-ad80-d245cd733f1d	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	3800.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	['DEPTH_EXCEEDS_BATH']	340.0	50296	-0.75	33.84	1934-8-22	9969	present	urn:lsid:marinespecies.org:taxname:134686	-1115942400000.0	-1115942400000.0	-1115942400000.0	1934.0																
Occurrence	067110381014038	IMRMarbunnBenthos	10	67.9015	9.867833		catchId: 38		IMR	MAREANO Reference Station: 671	801.76	792.38	10			Nymphon elegans	Hansen, 1887		2010	101525a0-38b6-4d19-a062-98d75f7d2bbe	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	797.0699999999999	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	[]	792.4	96519	8.83	34.89	2010-10-10T08:55:00+00:00/2010-10-10T09:01:00+00:00	067110381014038	present	urn:lsid:marinespecies.org:taxname:134686	1286668800000.0	1286668800000.0	1286668800000.0	2010.0	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2010112 Sample: 381	08:55:00+00:00/09:01:00+00:00	LINESTRING(9.867833 67.9015,9.864667 67.903833)	2024-05-23 10:35:05	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0						
HumanObservation		2006B3	3	79.0530014038	85.8000030518				ArcOD			560.0	8	;;134686;Sedov	Vagin	Nymphon elegans	Hansen, 1887		1934	107f936d-1fd4-4f73-b21c-e745772dc83e	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	560.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	['DEPTH_EXCEEDS_BATH']	73.0	112734	-1.27	33.66	1934-8-3	9895	present	urn:lsid:marinespecies.org:taxname:134686	-1117584000000.0	-1117584000000.0	-1117584000000.0	1934.0																
PreservedSpecimen	75347.290658	Invertebrate Zoology: Crustacea	26	66.0	-80.0	observedindividualcount=2;		Giltay, L.	USNM	Melville Peninsula, Foxe Basin	57.0	46.0	8		R. Bartlett	Nymphon elegans	Hansen	North Pacific Ocean	1927	11615630-95fb-4eee-9a67-5b932f14dee7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	51.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	[]	95.0	122949	-0.91	31.3	1927-08-26T12:00:00Z			urn:lsid:marinespecies.org:taxname:134686	-1336521600000.0	-1336521600000.0	-1336521600000.0	1927.0											National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Canada	2.0	Alcohol (Ethanol)	Northwest Territories
HumanObservation		2006B3	30	78.8799972534	80.5749969482				ArcOD			400.0	8	;;134686;Sedov	Vagin	Nymphon elegans	Hansen, 1887		1934	13bf810f-87ff-49d9-b331-23bb38f98d1a	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	400.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon elegans	2	1065	1274	1302	1358	379601	379609	1566	134591	134686	134686	Nymphon elegans	['DEPTH_EXCEEDS_BATH']	38.0	92144	-1.07	33.91	1934-8-30	9911	present	urn:lsid:marinespecies.org:taxname:134686	-1115251200000.0	-1115251200000.0	-1115251200000.0	1934.0																
