associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage	minimumDepthInMeters
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	284333.227747	Invertebrate Zoology: Crustacea	Tonga	18	-18.6397209167	-174.066665649	observedindividualcount=1;	1993-11-18T12:00:00Z	Child, C. Allan	1.0	USNM	Vava'u Group, Vava'u Island, Port Refuge, West Shore Of Island, On Reef Top And Spur And Groove Formations At Shore	6.0	11	Alcohol (Ethanol)	J. Williams	Tanystylum bredini	Child	urn:lsid:marinespecies.org:taxname:240170	female	South Pacific Ocean	1993	10eb4a5a-c593-43c2-bff4-799f1632bd2e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	753580800000	753580800000	753580800000	1993	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum bredini	2	1065	1274	1302	1358	379601	379608	1562	134577	240170	240170	Tanystylum bredini	['DEPTH_EXCEEDS_BATH']	-118	153	27.05	35.14		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	284322.227736	Invertebrate Zoology: Crustacea	Tonga	3	-21.3041706085	-174.43888855	observedindividualcount=3;	1993-11-03T12:00:00Z	Child, C. Allan	3.0	USNM	Tongatapu Group, Eua Island, NW Shore, In Surge Zone And Spur And Groove	9.0	11	Alcohol (Ethanol)	J. Williams	Tanystylum bredini	Child	urn:lsid:marinespecies.org:taxname:240170	male; female	South Pacific Ocean	1993	25e633bc-5d2e-4ce5-8dc5-406c04efe286	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	9.0	752284800000	752284800000	752284800000	1993	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum bredini	2	1065	1274	1302	1358	379601	379608	1562	134577	240170	240170	Tanystylum bredini	[]	2596	48613	25.82	35.17		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234420.186170	Invertebrate Zoology: Crustacea	Seychelles		-19.75	57.8330001831	observedindividualcount=3;	1975-10-31T12:00:00Z	Bowman, Thomas E.	3.0	USNM	Round Island		10	Alcohol (Ethanol)	K. Buchanan	Tanystylum bredini	Child	urn:lsid:marinespecies.org:taxname:240170	male;;	Indian Ocean	1975	a21f4b50-5ff0-4328-aedf-81b3fdee9ead	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		183945600000	183945600000	183945600000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum bredini	2	1065	1274	1302	1358	379601	379608	1562	134577	240170	240170	Tanystylum bredini	['NO_DEPTH']	432	7855	25.93	35.07	; juvenile	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234361.186108	Invertebrate Zoology: Crustacea	Seychelles	3	-9.41699981689	46.516998291	observedindividualcount=2;	1983-04-03T12:00:00Z	Bowman, Thomas E.	2.0	USNM	Aldabra Atoll, Cinq Cases, Grand Terre, 450 Ms Offshore	6.0	4	Alcohol (Ethanol)	B. Kensley	Tanystylum bredini	Child	urn:lsid:marinespecies.org:taxname:240170	male	Indian Ocean	1983	c3a0ca9a-6282-46d5-8a26-638d4ec4cc29	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	418176000000	418176000000	418176000000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum bredini	2	1065	1274	1302	1358	379601	379608	1562	134577	240170	240170	Tanystylum bredini	['ON_LAND']	-3	-635	27.1	35.07		6.0
