basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	locality	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	34250	SOMBASE Pycnogonids	-38.7000007629	75.1829986572	BAS	100.0	0	Anoplodactylus laminifer	urn:lsid:marinespecies.org:taxname:239476	0a84c22d-ca6a-4c8d-a343-70ca19910c27	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus laminifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239476	239476	Anoplodactylus laminifer	[]	3880	201436	14.86	35.1																				
PreservedSpecimen	sm_id_731	WoRMS type localities	-37.87	77.53	WoRMS Editorial Board		80	Anoplodactylus laminifer	urn:lsid:marinespecies.org:taxname:239476	79ddd2be-9a74-4830-8f76-075b055616a8	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	80	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus laminifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239476	239476	Anoplodactylus laminifer	[]	89	563	15.13	35.1	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus laminifer</i> Arnaud, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239476	https://marineinfo.org/id/dataset/5184	3	1972-01-03	Indian Ocean	2007-06-20 15:52:33	1	WoRMS Editorial Board:WoRMS type localities:sm_id_731	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=731	Arnaud, 1974	laminifer	holotype	1972	63244800000.0	63244800000.0	63244800000.0	1972.0	Biota	1.0
HumanObservation	34249	SOMBASE Pycnogonids	-37.8330001831	77.5667037964	BAS	100.0	0	Anoplodactylus laminifer	urn:lsid:marinespecies.org:taxname:239476	f797c8f3-8f50-4886-b3da-bf5a34586392	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus laminifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239476	239476	Anoplodactylus laminifer	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-411	-2390	15.18	35.11																				
