associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80553.273427	Invertebrate Zoology: Crustacea	Japan	31	33.3583297729	135.56388855	observedindividualcount=1;	1906-08-31T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Off S Honshu Island, From Kobe To Yokohama	1302	997	8	Alcohol (Ethanol)	Bathypallenopsis stylirostris	Hedgpeth	urn:lsid:marinespecies.org:taxname:266422	male	Paratype	North Pacific Ocean	1906	3888f3eb-c079-4a84-a6fb-9b273cdb7270	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1149.5	-1998777600000	-1998777600000	-1998777600000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis stylirostris	2	1065	1274	1302	1358	379601	379609	236317	236477	240274	240274	Pallenopsis stylirostris	[]	1634	15515	22.91	34.26
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80554.273428	Invertebrate Zoology: Crustacea	Japan	31	33.3583297729	135.647216797	observedindividualcount=1;	1906-08-31T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Off S Honshu Island, From Kobe To Yokohama	1302	997	8	Alcohol (Ethanol)	Bathypallenopsis stylirostris	Hedgpeth	urn:lsid:marinespecies.org:taxname:266422	male	Holotype	North Pacific Ocean	1906	f1e1d956-f7c4-4416-816e-8744a5192b2b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1149.5	-1998777600000	-1998777600000	-1998777600000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis stylirostris	2	1065	1274	1302	1358	379601	379609	236317	236477	240274	240274	Pallenopsis stylirostris	[]	1423	12993	22.91	34.25
