basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	typeStatus	waterBody
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21715	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-22.7800006866455	167.229995727539	IRD-MNHN	Biocal, DW44	450.0	440.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21715:0x5915900001000600	present	Pycnogonum crosnieri	urn:lsid:marinespecies.org:taxname:240233	5dfcf0b7-4c24-4303-9718-6f71af3a53ca	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	445.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crosnieri	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240233	240233	Pycnogonum crosnieri	[]	428	16678	24.32	35.25														
PreservedSpecimen		2007-4628	IU			-22.789167	167.241669	MNHN	S Ile des Pins			2015-10-17T16:14Z	440010163		Pycnogonum crosnieri	urn:lsid:marinespecies.org:taxname:240233	9fc3124a-18d6-4e28-a0bd-48aa062e5080	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum crosnieri		2	1065	1274	1302	1358	379601	379611	1567	134595	240233	240233	Pycnogonum crosnieri Stock, J.H., 1991	['NO_DEPTH']	442	16261	24.32	35.25	NC	BIOCAL/DW44	POINT  (167.241669 -22.789167)	WGS84	Stock	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4628	Stock, 1991	crosnieri	SPECIES	HOLOTYPE	Pacific Ocean
