associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234720.186441	Invertebrate Zoology: Crustacea	Argentina	17	-43.5499992371	-48.9683303833	observedindividualcount=6;	1971-03-17T12:00:00Z	Child, C. Allan	6.0	USNM	;; juvenile	From Basin East Of Valdez Peninsula	5223.0	5208	3	Alcohol (Ethanol)	Heteronymphon caecigenum	Child	urn:lsid:marinespecies.org:taxname:239414	male; female;;	Paratype	South Atlantic Ocean	1971	1f37c16b-ed3b-4d30-9302-49992f628a99	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5215.5	38016000000	38016000000	38016000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Heteronymphon	Heteronymphon caecigenum	2	1065	1274	1302	1358	379601	379609	1566	134590	239414	239414	Heteronymphon caecigenum	[]	5345	941426	13.25	34.61								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Heteronymphon caecigenum</i> Child, 1997. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239414	sm_id_1926	WoRMS type localities		17	-43.55	-48.97		1971-03-17			WoRMS Editorial Board		Argentine Basin	5223.0	5208	3		Heteronymphon caecigenum	Child, 1997	urn:lsid:marinespecies.org:taxname:239414		holotype		1971	3e495d1c-68ab-425f-b02e-2d4ae6b837b1	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	5215.5	38016000000	38016000000	38016000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Heteronymphon	Heteronymphon caecigenum	2	1065	1274	1302	1358	379601	379609	1566	134590	239414	239414	Heteronymphon caecigenum	[]	5343	941319	13.25	34.61	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1926	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1926	caecigenum	Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234719.186439	Invertebrate Zoology: Crustacea	Argentina	17	-43.5499992371	-48.9683303833	observedindividualcount=1;	1971-03-17T12:00:00Z	Child, C. Allan	1.0	USNM		From Basin East Of Valdez Peninsula		5208	3	Alcohol (Ethanol)	Heteronymphon caecigenum	Child	urn:lsid:marinespecies.org:taxname:239414	female	Holotype	South Atlantic Ocean	1971	61b051de-a810-489f-865e-6ee36f014ce2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5208.0	38016000000	38016000000	38016000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Heteronymphon	Heteronymphon caecigenum	2	1065	1274	1302	1358	379601	379609	1566	134590	239414	239414	Heteronymphon caecigenum	[]	5345	941426	13.25	34.61								
