basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	month	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year
Occurrence	Bamber R.N (2004). Zootaxa 458: 1-12.	50694	NewCaledonia	Taiwan	https://marineinfo.org/id/dataset/3128	24.4699993133545	122.209999084473	IRD-MNHN	Taiwan 2003, CP214	1027	490	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:50694:0x4D2B900001000300	present	Pycnogonum cranaobyrsa	urn:lsid:marinespecies.org:taxname:240150	70311336-e7a6-4ba1-b7e2-8dd45c68021c	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	758.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cranaobyrsa	1	2	1065	1274	1302	1358	379601	379611	1567	134595	240150	240150	Pycnogonum cranaobyrsa	['DEPTH_EXCEEDS_BATH']	435	34524	26.59	34.04												
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pycnogonum cranaobyrsa</i> Bamber, 2004. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240150	sm_id_2220	WoRMS type localities		https://marineinfo.org/id/dataset/5184	24.455	122.21	WoRMS Editorial Board	Taiwan Strait	1027	490	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2220	present	Pycnogonum cranaobyrsa	urn:lsid:marinespecies.org:taxname:240150	dc9bd386-92b2-481a-ab0f-d796a210d158	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	758.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cranaobyrsa	1	2	1065	1274	1302	1358	379601	379611	1567	134595	240150	240150	Pycnogonum cranaobyrsa	['DEPTH_EXCEEDS_BATH']	555	34907	26.59	34.04	27	2003-08-27	8	http://www.marinespecies.org/aphia.php?p=specdetails&id=2220	Bamber, 2004	cranaobyrsa	holotype	2003	1061942400000.0	1061942400000.0	1061942400000.0	2003.0
