basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	individualCount	organismQuantity	organismQuantityType	sex	bibliographicCitation	datasetID	maximumDepthInMeters	minimumDepthInMeters	depth	superdomain	superdomainid	countryCode	day	fieldNumber	geodeticDatum	license	month	recordedBy	references	scientificNameAuthorship	waterBody	year
PreservedSpecimen	P.71967	Pycnogonida	co113	0.0896	10000	-19.94249	117.88999	1983-10-26	Callipallenidae	POINT (117.88999 -19.94249)	Parapallene	AM	Animalia	North West Shelf	2017-03-02T12:36:52	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71967	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	species	01c0e7cc-e159-444e-9cbb-0409198813ba	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	435974400000.0	435974400000.0	435974400000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	['NO_DEPTH']	43	53206	26.78	34.64																							
PreservedSpecimen	J5349	Pycnogonida	co119		1000	-38.37	145.53		Callipallenidae	POINT (145.53000 -38.37000)	Parapallene	NMV	Animalia	Western Port	2017-02-09T12:08:49	J5349	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	species	0d07e647-d04f-41ba-9d3b-b45065f5625c	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	['NO_DEPTH']	1	1568	15.67	35.71	Australia	1	1	individuals	Unknown																		
PreservedSpecimen	P.43186	Pycnogonida	co113	0.009	1000	-35.06333	150.75666	1989-11-09	Callipallenidae	POINT (150.75666 -35.06333)	Parapallene	AM	Animalia	Jervis Bay, Honeymoon Bay	2017-03-02T16:19:24	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43186	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	species	1e7b18a0-48f9-48f1-8ac2-1de472871d37	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	626572800000.0	626572800000.0	626572800000.0	1989.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	['NO_DEPTH']	21	1580	19.72	35.57	Australia				Male																		
PreservedSpecimen	P.13621	Pycnogonida	co113	0.0896	10000	-37.266	150.15		Callipallenidae	POINT (150.15000 -37.26600)	Parapallene	AM	Animalia	8 km off Green Cape	2017-03-02T11:16:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13621	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	species	291af646-f458-40b9-80a1-82847de7e83c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	['NO_DEPTH']	96	8618	17.96	35.57					Male																		
Occurrence	48321	Pycnogonida	NewCaledonia			-22.5699996948242	167.289993286133		Callipallenidae		Parapallene	IRD-MNHN	Animalia	Lagon 7, DW403	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48321:0xEA1C900001000400	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383			2c60e52e-aa82-4f98-952c-c38069130463	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	[]	6	6048	24.62	35.19	Nouvelle Caledonie					Stock JH (1991). Musorstom 8(151): 125-212.	https://marineinfo.org/id/dataset/3128	45.0	45.0	45.0	Biota	1.0											
PreservedSpecimen	P.13620	Pycnogonida	co113		10000	-37.566	149.916		Callipallenidae	POINT (149.91600 -37.56600)	Parapallene	AM	Animalia	west south west of Gabo Island	2017-03-02T11:16:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13620	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	species	3168153d-8dc2-4cf9-8afd-9d53ed20ed01	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	['NO_DEPTH', 'ON_LAND']	-27	-58	17.29	35.57	Australia				Female																		
PreservedSpecimen	P.13625	Pycnogonida	co113	0.8961	100000	-37.083	150.15		Callipallenidae	POINT (150.15000 -37.08300)	Parapallene	AM	Animalia	off Twofold Bay	2017-03-02T11:16:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13625	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	species	45237dd3-c080-4683-85d3-63ca080bda7c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	['NO_DEPTH']	92	14311	18.21	35.57					Female																		
PreservedSpecimen	2008-20621	Pycnogonida	IU			-22.575001	167.291672	1985-01-23T01:00Z	Callipallenidae	POINT  (167.291672 -22.575001)	Parapallene	MNHN	Animalia	Grand récif Sud	2015-06-19T21:23Z	473961455		Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	SPECIES	53608e6d-ccbb-490c-ad71-f45d9a151f0d	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	475286400000.0	475286400000.0	475286400000.0	1985.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis (Hoek, 1881)	['NO_DEPTH']	5	5535	24.62	35.19		1											NC	23	LAGON/DW403	WGS84	CC_BY_4_0	1	B. Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20621	(Hoek, 1881)	Pacific Ocean	1985
PreservedSpecimen	J48902	Pycnogonida	co119		1000	-33.2667	130.61	2000-05-10	Callipallenidae	POINT (130.61000 -33.26670)	Parapallene	NMV	Animalia	Great Australian Bight	2017-02-10T11:36:24	J48902	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	species	55c69ddd-ff08-4220-97a7-58c44c4aaddc	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	957916800000.0	957916800000.0	957916800000.0	2000.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	[]	146	184992	18.33	35.7		1	1	individuals	Female			143.0	140.0	141.5													
PreservedSpecimen	P.42838	Pycnogonida	co113	0.0009	100	-33.97216	151.17032	1992-07-27	Callipallenidae	POINT (151.17032 -33.97216)	Parapallene	AM	Animalia	Botany Bay, 800 m west-south-west of tip of airport runway extension	2017-03-02T15:57:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42838	present	Arthropoda	Parapallene australiensis	urn:lsid:marinespecies.org:taxname:240383	australiensis	species	6156ce2d-7609-4f34-bece-ad2613d8110d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	712195200000.0	712195200000.0	712195200000.0	1992.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene australiensis	2	1065	1274	1302	1358	379601	379609	1564	236293	240383	240383	Parapallene australiensis	['NO_DEPTH']	1	1013	20.31	35.53	Australia				Male																		
