basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	bibliographicCitation	datasetID	locality	modified	recordNumber	references	typeStatus
HumanObservation	39601	SOMBASE Pycnogonids	-68.0744018555	-78.9543991089	BAS	517.0	517.0	Ammothea bigibbosa	urn:lsid:marinespecies.org:taxname:239795	2c1b9baf-af12-4720-9a97-040334c1e98d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	517.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea bigibbosa	2	1065	1274	1302	1358	379601	379608	1562	134569	239795	239795	Ammothea bigibbosa	[]	4000	234717	-0.94	33.46																																					
PreservedSpecimen	JR230_09_0044		-67.907	-68.528	BAS	543.95	543.95	Ammothea bigibbosa	urn:lsid:marinespecies.org:taxname:239795	36044337-ceb8-492f-88d2-270e21c81b01	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	543.95	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea bigibbosa	2	1065	1274	1302	1358	379601	379608	1562	134569	239795	239795	Ammothea bigibbosa	[]	502	6711	-0.98	32.61	1000	AQ	2	2009-12-02	JR230	JR230_BASWAP1-AGT-1A	EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	https://ror.org/01rhff309	en	12	JR230_09_0044	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	Munilla & Ramos, 2005	bigibbosa	species	PhysicalObject	2/12/2009	2009	1259712000000.0	1259712000000.0	1259712000000.0	2009.0	Biota	1.0							
PreservedSpecimen	sm_id_656	WoRMS type localities	-68.07	-78.95	WoRMS Editorial Board		517.0	Ammothea bigibbosa	urn:lsid:marinespecies.org:taxname:239795	9e47a673-19c8-4fc2-8e3d-6ad80b3d5b33	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	517.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea bigibbosa	2	1065	1274	1302	1358	379601	379608	1562	134569	239795	239795	Ammothea bigibbosa	[]	3996	235012	-0.94	33.46			20	2003-02-20								2	WoRMS Editorial Board:WoRMS type localities:sm_id_656	present					Munilla & Ramos, 2005	bigibbosa				2003	1045699200000.0	1045699200000.0	1045699200000.0	2003.0	Biota	1.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea bigibbosa</i> Munilla & Ramos, 2005. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239795	https://marineinfo.org/id/dataset/5184	Southern Ocean	2007-06-20 15:52:33	(Bentart=03 cruise)	http://www.marinespecies.org/aphia.php?p=specdetails&id=656	holotype
