associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	typeStatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80722.273506	Invertebrate Zoology: Crustacea	United States	11	52.9277801514	173.433334351	observedindividualcount=3;	1906-06-11T12:00:00Z	Hilton, W. A.	3.0	USNM	Aleutian Islands, Near Islands, Attu Island	247	247	6	Alcohol (Ethanol)	Nymphon microsetosum	Hilton	urn:lsid:marinespecies.org:taxname:239789	Alaska	North Pacific Ocean	1906	de2319a4-a57e-4125-abab-a2def906c31f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	247	-2005776000000	-2005776000000	-2005776000000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microsetosum	2	1065	1274	1302	1358	379601	379609	1566	134591	239789	239789	Nymphon microsetosum	[]	813	8459	5.67	32.9	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81510.274061	Invertebrate Zoology: Crustacea	United States	4	52.1829986572	179.817001343	observedindividualcount=2;	1906-06-04T12:00:00Z	Hilton, W. A.	2.0	USNM	Aleutian Islands, N Of Amchitka Island	95	79	6	Alcohol (Ethanol)	Nymphon microsetosum	Hilton	urn:lsid:marinespecies.org:taxname:239789	Alaska	North Pacific Ocean	1906	e1a9ba12-83a2-47d6-9d44-64fab5b6466b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	87	-2006380800000	-2006380800000	-2006380800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon microsetosum	2	1065	1274	1302	1358	379601	379609	1566	134591	239789	239789	Nymphon microsetosum	[]	76	20868	5.16	32.88	Syntype
