associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234739.186458	Invertebrate Zoology: Crustacea	United States	13	47.9500007629	-129.100006104	observedindividualcount=1;	1997-09-13T12:00:00Z	Child, C. Allan	1.0	USNM	ovigerous	Juan De Fuca Ridge, Endeavour Segment, Easter Island Vent Site	2200	2200	9	Alcohol (Ethanol)	Sericosura dissita	Child	urn:lsid:marinespecies.org:taxname:345608	male	Holotype	North Pacific Ocean	1997	97e8024b-c739-4b01-9a39-bb9051dcef74	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2200	874108800000	874108800000	874108800000	1997	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura dissita	2	1065	1274	1302	1358	379601	379608	1562	134576	345608	345608	Sericosura dissita	[]	2109	245263	11.45	32.34
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234740.186460	Invertebrate Zoology: Crustacea	United States	13	47.9500007629	-129.100006104	observedindividualcount=5;	1997-09-13T12:00:00Z	Child, C. Allan	5.0	USNM	ovigerous;;	Juan De Fuca Ridge, Endeavour Segment, Easter Island Vent Site	2200	2200	9	Alcohol (Ethanol)	Sericosura dissita	Child	urn:lsid:marinespecies.org:taxname:345608	male; female	Paratype	North Pacific Ocean	1997	d0c0f49a-940f-49cd-b094-848b96562311	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2200	874108800000	874108800000	874108800000	1997	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura dissita	2	1065	1274	1302	1358	379601	379608	1562	134576	345608	345608	Sericosura dissita	[]	2109	245263	11.45	32.34
