basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	locality	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	39652	SOMBASE Pycnogonids	-51.3199996948	-59.5999984741	BAS	5.0	0.0	Pycnogonum calculum	urn:lsid:marinespecies.org:taxname:239444	8a67c286-233e-4e0b-b8cc-194f7bb59120	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum calculum	2	1065	1274	1302	1358	379601	379611	1567	134595	239444	239444	Pycnogonum calculum	['ON_LAND']	-13	-65	7.23	34.05																				
PreservedSpecimen	sm_id_2215	WoRMS type localities	-51.32	-59.6	WoRMS Editorial Board			Pycnogonum calculum	urn:lsid:marinespecies.org:taxname:239444	ed08a250-dd4c-432d-bff9-f341960371b0	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum calculum	2	1065	1274	1302	1358	379601	379611	1567	134595	239444	239444	Pycnogonum calculum	['NO_DEPTH', 'ON_LAND']	-13	-65	7.23	34.05	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pycnogonum calculum</i> Bamber, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239444	https://marineinfo.org/id/dataset/5184	17	1992-02-17	South Atlantic	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_2215	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2215	Bamber, 1995	calculum	holotype	1992	698284800000.0	698284800000.0	698284800000.0	1992.0	Biota	1.0
