associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228097.180315	Invertebrate Zoology: Crustacea	Belize	5	16.8033294678	-88.0749969482	observedindividualcount=2;	1980-04-05T12:00:00Z	Child, C. Allan	2.0	USNM	juvenile	Carrie Bow Cay	36	36	4	Alcohol (Ethanol)	G. Hendler	Rhynchothorax crenatus	Child	urn:lsid:marinespecies.org:taxname:240173	North Atlantic Ocean	1980	5a7c4ee4-dd17-4c2f-ab80-0d6598df5af3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	36	323740800000	323740800000	323740800000	1980	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax crenatus	2	1065	1274	1302	1358	379601	379612	22618	134596	240173	240173	Rhynchothorax crenatus	[]	19	660	28.13	35.55
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228096.180314	Invertebrate Zoology: Crustacea	Belize	2	16.8033294678	-88.0749969482	observedindividualcount=1;	1980-04-02T12:00:00Z	Child, C. Allan	1.0	USNM		Carrie Bow Cay	15	15	4	Alcohol (Ethanol)	G. Hendler	Rhynchothorax crenatus	Child	urn:lsid:marinespecies.org:taxname:240173	North Atlantic Ocean	1980	5bd9427f-5666-4716-a16e-80f3f227ea08	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15	323481600000	323481600000	323481600000	1980	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax crenatus	2	1065	1274	1302	1358	379601	379612	22618	134596	240173	240173	Rhynchothorax crenatus	[]	19	660	28.13	35.55
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228095.180313	Invertebrate Zoology: Crustacea	Belize	29	16.8033294678	-88.0749969482	observedindividualcount=1;	1980-03-29T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	Carrie Bow Cay	36	36	3	Alcohol (Ethanol)	G. Hendler	Rhynchothorax crenatus	Child	urn:lsid:marinespecies.org:taxname:240173	North Atlantic Ocean	1980	90599b2a-41bb-42b2-8d64-c7e063d5fd8b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	36	323136000000	323136000000	323136000000	1980	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax crenatus	2	1065	1274	1302	1358	379601	379612	22618	134596	240173	240173	Rhynchothorax crenatus	[]	19	660	28.13	35.55
