associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	datasetID	datasetName	eventID	eventTime	fieldNumber	footprintWKT	modified	occurrenceID	occurrenceStatus	samplingProtocol	superdomain	superdomainid	coordinateUncertaintyInMeters	dateIdentified	lifeStage	otherCatalogNumbers	sex	specificEpithet	typeStatus	locationID	stateProvince
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	10956.81443	Invertebrate Zoology: Crustacea	Canada	4	44.5750007629	-56.6958312988	observedindividualcount=5;	1885-07-04T12:00:00Z	Hedgpeth, J. W.	5.0	USNM	Labrador Basin	399.0	399.0	7	Alcohol (Ethanol)	Cordylochele malleolata	(Sars)	urn:lsid:marinespecies.org:taxname:134657	North Atlantic Ocean	1885	02e8c4bb-a4a4-4e1a-a201-3082f4124727	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	399.0	-2666390400000	-2666390400000	-2666390400000	1885	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Pseudopallene malleolata	[]	424.0	241422	9.29	32.05																						
	Occurrence		148710535001039	IMRMarbunnBenthos		13	73.347912	36.255697		2015-06-13T18:30:00+00:00/2015-06-13T18:35:00+00:00			IMR	MAREANO Reference Station: 1487	232.5	224.69	6		Cordylochele malleolata	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:851553		2015	06e1e851-d774-42a5-92c7-ee2bea9f2c5f	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	228.595	1434153600000	1434153600000	1434153600000	2015	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Cordylochele malleolata	[]	234.6	361639	4.12	34.95	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2015109 Sample: 535	18:30:00+00:00/18:35:00+00:00	catchId: 39	LINESTRING(36.255697 73.347912,36.256143 73.345828)	2024-05-23 10:35:05	148710535001039	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80755.273522	Invertebrate Zoology: Crustacea	United States	13	41.78332901	-65.625	observedindividualcount=1;	1885-07-13T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	North American Basin	1238.0	1238.0	7	Alcohol (Ethanol)	Cordylochele malleolata	(Sars)	urn:lsid:marinespecies.org:taxname:134657	North Atlantic Ocean	1885	18b80226-ebe7-426b-9356-16a29c0eb88e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1238.0	-2665612800000	-2665612800000	-2665612800000	1885	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Pseudopallene malleolata	[]	1303.0	178620	11.59	32.2																						
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	10953.81439	Invertebrate Zoology: Crustacea	Canada	23	42.7999992371	-50.9249992371	observedindividualcount=1;	1885-06-23T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Labrador Basin, Off Newfoundland	1511.0	1511.0	6	Alcohol (Ethanol)	Cordylochele malleolata	(Sars)	urn:lsid:marinespecies.org:taxname:134657	North Atlantic Ocean	1885	282dc09b-e235-452e-b8db-6acf6fe379c8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1511.0	-2667340800000	-2667340800000	-2667340800000	1885	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Pseudopallene malleolata	[]	1402.0	460433	11.02	32.97																						
	Occurrence		151210540001024	IMRMarbunnBenthos		21	64.993167	5.8965		2015-08-21T02:10:00+00:00/2015-08-21T02:15:00+00:00			IMR	MAREANO Reference Station: 1512	490.0	490.0	8		Cordylochele malleolata	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:851553		2015	5088c099-0100-4563-8ba2-02d38ef1c68a	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	490.0	1440115200000	1440115200000	1440115200000	2015	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Cordylochele malleolata	[]	489.6	173334	9.71	34.85	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2015113 Sample: 540	02:10:00+00:00/02:15:00+00:00	catchId: 24	LINESTRING(5.8965 64.993167,5.892 64.994)	2024-05-23 10:35:05	151210540001024	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0									
	Occurrence		150910539001021	IMRMarbunnBenthos		20	65.044167	6.2405		2015-08-20T05:57:00+00:00/2015-08-20T06:02:00+00:00			IMR	MAREANO Reference Station: 1509	436.19	434.59	8		Cordylochele malleolata	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:851553		2015	5e84ae10-67e4-44a7-b45f-7358ae05bab1	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	435.39	1440028800000	1440028800000	1440028800000	2015	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Cordylochele malleolata	[]	434.8	165996	9.71	34.87	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2015113 Sample: 539	05:57:00+00:00/06:02:00+00:00	catchId: 21	LINESTRING(6.2405 65.044167,6.236833 65.045667)	2024-05-23 10:35:05	150910539001021	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0									
	PreservedSpecimen		INV.69087	urn:catalog:RBINS:Pycnogonida		16	70.583333	58.366667		1907-08-16	Giltay L.B. (Dr.)		RBINS-Scientific Heritage		40.0	40.0	8	container type: vial; preservation method: alcohol	Cordylochele malleolata	(Sars, 1879)	urn:lsid:marinespecies.org:taxname:134657		1907	93356ddf-ec31-4ec2-a008-f3741ad6eee3	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	40.0	-1968537600000	-1968537600000	-1968537600000	1907	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Pseudopallene malleolata (Sars, 1879)	[]	25.0	17190	1.29	32.99	Arctic Ocean, Cara See	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection			8719/St149		2015-09-24 11:12:33	http://collections.naturalsciences.be/specimen/586029	present		Biota	1.0	1000.0	1931-01	unknown	urn:catalog:RBINS:IG:8719	unknown	malleolata	specimen		
	Occurrence		158210011001035	IMRMarbunnBenthos		16	78.252167	28.544333		2016-09-16T18:44:00+00:00/2016-09-16T18:49:00+00:00			IMR	MAREANO Reference Station: 1582	310.04	307.39	9		Cordylochele malleolata	G. O. Sars, 1879	urn:lsid:marinespecies.org:taxname:851553		2016	a7790dff-bf85-496a-a4aa-be1c77d0be07	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	308.71500000000003	1473984000000	1473984000000	1473984000000	2016	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Cordylochele malleolata	[]	305.2	55782	-0.49	33.55	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2016113 Sample: 11	18:44:00+00:00/18:49:00+00:00	catchId: 35	LINESTRING(28.544333 78.252167,28.536167 78.253333)	2024-05-23 10:35:05	158210011001035	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0									
	PreservedSpecimen		INV.69085	urn:catalog:RBINS:Pycnogonida		21	66.333333	12.466667		1938-06-21	Stock Jan Hendrik		RBINS-Scientific Heritage	Greenland Sea			6	container type: vial; preservation method: alcohol	Cordylochele malleolata	(Sars, 1879)	urn:lsid:marinespecies.org:taxname:134657		1938	c2f7d5f6-7679-47ff-a96e-269dd02592d6	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-995068800000	-995068800000	-995068800000	1938	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Pseudopallene malleolata (Sars, 1879)	['NO_DEPTH']	65.6	767	8.13	33.94	Greenland Sea, Oceans	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection			11726		2015-09-24 11:10:14	http://collections.naturalsciences.be/specimen/422063	present		Biota	1.0	1000.0		unknown	urn:catalog:RBINS:IG:11726	unknown	malleolata	specimen	http://www.geonames.org/2960853	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	10954.81440	Invertebrate Zoology: Crustacea	Canada	23	42.9249992371	-50.8499984741	observedindividualcount=8;	1885-06-23T12:00:00Z	Verrill, Addison E.	8.0	USNM	Grand Banks, Off S Edge Of Grand Bank	861.0	861.0	6	Alcohol (Ethanol)	Cordylochele malleolata	(Sars)	urn:lsid:marinespecies.org:taxname:134657	North Atlantic Ocean	1885	dcf21dc2-ee40-4837-b1d1-a6e7e24de480	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	861.0	-2667340800000	-2667340800000	-2667340800000	1885	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cordylochele	Cordylochele malleolata	2	1065	1274	1302	1358	379601	379609	1564	379241	851553	851553	Pseudopallene malleolata	['DEPTH_EXCEEDS_BATH']	656.0	449802	10.47	32.8																						Newfoundland
