basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	individualCount	maximumDepthInMeters	minimumDepthInMeters	organismQuantity	organismQuantityType	depth
PreservedSpecimen	P.90044	Pycnogonida	co113	0.0896	10000	-34.59009	123.12777	2009-11-29	Callipallenidae	POINT (123.12777 -34.59009)	Pallenella	AM	Animalia	Bass Point	2017-03-02T10:40:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.90044	present	Arthropoda	Pallenella harrisi	urn:lsid:marinespecies.org:taxname:851544	Female	harrisi	species	3fd13948-7e7c-4afc-8bbd-5128264afbe0	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	1259452800000.0	1259452800000.0	1259452800000.0	2009.0	False	False	True	True	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella harrisi	2	1065	1274	1302	1358	379601	379609	1564	236291	1509513	1509513	Meridionale harrisi	['NO_DEPTH']	98	44089	18.5	35.6							
PreservedSpecimen	J53273	Pycnogonida	co119		1000	-36.25	150.23	1995-09-05	Callipallenidae	POINT (150.23000 -36.25000)	Pallenella	NMV	Animalia	Montague Island	2017-02-09T12:08:44	J53273	present	Arthropoda	Pallenella harrisi	urn:lsid:marinespecies.org:taxname:851544	Male	harrisi	species	59fc14a5-dbe1-4169-8ab2-cd301df59ab5	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	810259200000.0	810259200000.0	810259200000.0	1995.0	False	False	True	True	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella harrisi	2	1065	1274	1302	1358	379601	379609	1564	236291	1509513	1509513	Meridionale harrisi	['ON_LAND']	-11	-17	19.09	35.58	Australia	1	25.0	25.0	1	individuals	25.0
PreservedSpecimen	J46800	Pycnogonida	co119		1000	-31.5944	152.866		Callipallenidae	POINT (152.86600 -31.59440)	Pallenella	NMV	Animalia	Laurieton, near Port Macquarie, the Maze dive site	2017-02-09T11:19:34	J46800	present	Arthropoda	Pallenella harrisi	urn:lsid:marinespecies.org:taxname:851544	Male	harrisi	species	ee4f418d-8256-4e03-b091-b0568aa4d50e	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	True	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella harrisi	2	1065	1274	1302	1358	379601	379609	1564	236291	1509513	1509513	Meridionale harrisi	['NO_DEPTH']	16	1768	21.84	35.5	Australia	1			1	individuals	
