basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	dynamicProperties	identifiedBy	individualCount	lifeStage	preparations	sex	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Heteronymphon abyssale</i> (Stock, 1968). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239571	sm_id_1923	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	6	9.38	-89.53	1952-05-06	Nymphonidae	Heteronymphon	WoRMS Editorial Board	Animalia	Pacific Ocean	3570	2007-06-20 15:52:33	5	WoRMS Editorial Board:WoRMS type localities:sm_id_1923	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1923	Heteronymphon abyssale	(Stock, 1968)	urn:lsid:marinespecies.org:taxname:239571	abyssale	holotype	1952	349e49ae-479c-401a-8cc2-493c14342730	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3570	-557193600000	-557193600000	-557193600000	1952	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon abyssale	1.0	2	1065	1274	1302	1358	379601	379609	1566	134590	239571	239571	Heteronymphon abyssale	[]	3520	414513	27.14	33.74								
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234668.186401	Pycnogonida	Invertebrate Zoology: Crustacea		20	9.36699962616	-89.5500030518	1958-11-20T12:00:00Z	Nymphonidae	Heteronymphon	USNM	Animalia	West Of Costa Rica	3517		11			Pantopoda	Arthropoda		Heteronymphon abyssale	(Stock)	urn:lsid:marinespecies.org:taxname:239571			1958	9e902b72-2f31-4823-bfd9-45b2b4c558f1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3517	-350784000000	-350784000000	-350784000000	1958	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon abyssale		2	1065	1274	1302	1358	379601	379609	1566	134590	239571	239571	Heteronymphon abyssale	[]	3540	416991	27.14	33.74	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	Child, C. Allan	1.0	ovigerous	Alcohol (Ethanol)	male	North Pacific Ocean
