associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234468.186220	Invertebrate Zoology: Crustacea	Japan	1	33.4766693115	135.481674194	observedindividualcount=1;	1984-09-01T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Honshu Island, Kii Strait	354	353	9	Alcohol (Ethanol)	Cilunculus galeritus	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239450	male	Holotype	North Pacific Ocean	1984	a2fb9484-dba9-47e5-bbff-6371c7fc47bf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	353.5	462844800000	462844800000	462844800000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus galeritus	2	1065	1274	1302	1358	379601	379608	1562	134572	239450	239450	Cilunculus galeritus	[]	347	5383	22.68	34.22
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234469.186221	Invertebrate Zoology: Crustacea	Japan	1	33.4683303833	135.475006104	observedindividualcount=1;	1984-09-01T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Honshu Island, Kii Strait	492	455	9	Alcohol (Ethanol)	Cilunculus galeritus	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239450	female	Paratype	North Pacific Ocean	1984	e8b3875f-88af-47a2-b3e8-984b1eddc29c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	473.5	462844800000	462844800000	462844800000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus galeritus	2	1065	1274	1302	1358	379601	379608	1562	134572	239450	239450	Cilunculus galeritus	[]	448	6497	22.68	34.22
