basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identifiedBy	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	individualCount	references	date_start	date_mid	date_end	date_year	superdomain	superdomainid
PreservedSpecimen	31947	Pycnogonida	NIWA	Oceania	100	New Zealand	NIWA Invertebrate Collection	2008	6	-39.9772833	178.2356667	6/03/2007	Ammotheidae	LINESTRING (178.2356667 -39.9772833, 178.2360917 -39.977145)	Sericosura	WGS84	GPS	Bamber, Roger N.	NIWA Invertebrate Collection	Animalia	en	Rock Garden	SO191-3/238	908.0	907	8/04/2022	3	5d306ec6-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2,  BB NIC Type Room	IFM GEOMAR	TV grab	Sericosura hedgpethi	Bamber, 2009	urn:lsid:marinespecies.org:taxname:407707	male	hedgpethi	PARATYPE	2007	0b5e747d-20ae-470f-8c4f-507394474d67	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	907.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura hedgpethi	2	1065	1274	1302	1358	379601	379608	1562	134576	407707	407707	Sericosura hedgpethi	[]	972	81221	16.51	35.46										
PreservedSpecimen	sm_id_90453	Pycnogonida	WoRMS type localities						6	-39.9772833333	178.2356666667	2007-03-06	Ammotheidae		Sericosura				WoRMS Editorial Board	Animalia					907	2020-11-16 11:12:20	3	WoRMS Editorial Board:WoRMS type localities:sm_id_90453	present	Pantopoda	Arthropoda				Sericosura hedgpethi	Bamber, 2009	urn:lsid:marinespecies.org:taxname:407707		hedgpethi	holotype	2007	689dc836-3cd6-47a2-9b2c-280761877dcd	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	907.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura hedgpethi	2	1065	1274	1302	1358	379601	379608	1562	134576	407707	407707	Sericosura hedgpethi	[]	972	81221	16.51	35.46	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Sericosura hedgpethi</i> Bamber, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=407707	https://marineinfo.org/id/dataset/5184	1.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=90453	1173139200000.0	1173139200000.0	1173139200000.0	2007.0	Biota	1.0
PreservedSpecimen	31959	Pycnogonida	NIWA	Oceania	100	New Zealand	NIWA Invertebrate Collection	2008	6	-39.9772833	178.2356667	6/03/2007	Ammotheidae	LINESTRING (178.2356667 -39.9772833, 178.2360917 -39.977145)	Sericosura	WGS84	GPS	Bamber, Roger N.	NIWA Invertebrate Collection	Animalia	en	Rock Garden	SO191-3/238	908.0	907	8/04/2022	3	5cf231ec-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1,  BB NIC Type Room	IFM GEOMAR	TV grab	Sericosura hedgpethi	Bamber, 2009	urn:lsid:marinespecies.org:taxname:407707	male	hedgpethi	HOLOTYPE	2007	f5e36dbf-e1e4-455a-83aa-79ccdcb54854	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	907.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Sericosura hedgpethi	2	1065	1274	1302	1358	379601	379608	1562	134576	407707	407707	Sericosura hedgpethi	[]	972	81221	16.51	35.46										
