associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage	fieldNumber	recordedBy
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234628.286918	Invertebrate Zoology: Crustacea	Antarctica	10	-63.4329986572	-62.1669998169	observedindividualcount=1;	1969-02-10T12:00:00Z	Bowman, Thomas E.	1.0	USNM	South Shetland Islands, Low Island	91	91	2	Alcohol (Ethanol)	Austrodecus crenatum	Child	urn:lsid:marinespecies.org:taxname:173010	male	Holotype	Antarctic Ocean	1969	083466d3-31c3-4381-9a5a-e5201be8c9e0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	91	-28080000000.0	-28080000000.0	-28080000000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	79	8682	-0.39	33.7			
	HumanObservation		22591	SOMBASE Pycnogonids			-64.2015991211	-62.6599998474					BAS		95	93			Austrodecus crenatum		urn:lsid:marinespecies.org:taxname:173010					0983f5e5-a19d-4a80-9719-9c82bdd7ee5d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	94					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	248	5226	-0.43	33.64			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234603.286909	Invertebrate Zoology: Crustacea	Antarctica	10	-63.4329986572	-62.1669998169	observedindividualcount=1;	1969-02-10T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Antarctic Peninsula, Off Biscoe Islands	91	91	2	Alcohol (Ethanol)	Austrodecus crenatum	Child	urn:lsid:marinespecies.org:taxname:173010	male	Holotype	Antarctic Ocean	1969	14607627-9032-4eb5-aad4-9db0a9efd0a2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	91	-28080000000.0	-28080000000.0	-28080000000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	79	8682	-0.39	33.7			
	HumanObservation		22596	SOMBASE Pycnogonids			-62.3499984741	-58.8083000183					BAS		82	82			Austrodecus crenatum		urn:lsid:marinespecies.org:taxname:173010					2ab197b7-6fa5-444d-9013-fde0ab348c67	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	82					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	180	4171	-0.54	34.02			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234605.286911	Invertebrate Zoology: Crustacea	Antarctica	10	-63.4000015259	-62.233001709	observedindividualcount=51;	1969-02-10T12:00:00Z	Bowman, Thomas E.	51.0	USNM	Antarctic Peninsula, Off Biscoe Islands	95	91	2	Alcohol (Ethanol)	Austrodecus crenatum	Child	urn:lsid:marinespecies.org:taxname:173010	male; female;;	Paratype	Antarctic Ocean	1969	2ae42517-1163-4113-b37b-0a0784f68775	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	93	-28080000000.0	-28080000000.0	-28080000000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	79	4280	-0.38	33.7	;; juvenile		
	HumanObservation		22589	SOMBASE Pycnogonids			-63.4000015259	-62.2332992554					BAS		95	91			Austrodecus crenatum		urn:lsid:marinespecies.org:taxname:173010					2e7d5048-5640-45df-a428-9b51251fd709	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	93					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	79	4275	-0.38	33.7			
	HumanObservation		22597	SOMBASE Pycnogonids			-62.3166007996	-59.0233001709					BAS		44	44			Austrodecus crenatum		urn:lsid:marinespecies.org:taxname:173010					3d115ada-60d1-4b3c-bb6e-f62b8a6b7d30	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	44					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-269	-2441					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1122812.942837	Invertebrate Zoology	Antarctica	24	-64.2333297729	-62.5766716003	observedindividualcount=1;	1982-03-24T12:00:00Z		1.0	USNM	Antarctic Peninsula, Palmer Archipelago, Brabant Island, Minot Point	98	70	3	Alcohol (Ethanol)	Austrodecus crenatum	Child	urn:lsid:marinespecies.org:taxname:173010			Antarctic Ocean	1982	497ceea4-ffa3-43ff-be59-5ea951e50ac3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	84	385776000000.0	385776000000.0	385776000000.0	1982.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	123	2666	-0.44	33.68		USARP/HE/824/28-1/SOSC-H	G. Hendler & Smithsonian Oceanographic Sorting Center
	HumanObservation		22600	SOMBASE Pycnogonids			-64.2366027832	-62.5849990845					BAS		98	70			Austrodecus crenatum		urn:lsid:marinespecies.org:taxname:173010					4e99b960-14f8-4c1d-9b13-7c24074bf5d8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	84					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	148	2670	-0.43	33.64			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234604.286910	Invertebrate Zoology: Crustacea	Antarctica	10	-63.4329986572	-62.1669998169	observedindividualcount=13;	1969-02-10T12:00:00Z	Bowman, Thomas E.	13.0	USNM	Antarctic Peninsula, Off Biscoe Islands	91	91	2	Alcohol (Ethanol)	Austrodecus crenatum	Child	urn:lsid:marinespecies.org:taxname:173010	male; female	Paratype	Antarctic Ocean	1969	54da2871-0291-4c0b-bbb8-fc59b2ed7d1c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	91	-28080000000.0	-28080000000.0	-28080000000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus crenatum	2	1065	1274	1302	1358	379600	22616	134579	173010	173010	Austrodecus crenatum	[]	79	8682	-0.39	33.7			
