basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificNameAuthorship	sex	waterBody	year	depth	date_start	date_mid	date_end	date_year
HumanObservation	37216	SOMBASE Pycnogonids	-35.4500007629	23.4899997711	BAS	Nymphon pilosum	urn:lsid:marinespecies.org:taxname:239808	b7a320fc-5d8a-4eb8-b45d-a68ddee10d51	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon pilosum	2	1065	1274	1302	1358	379601	379609	1566	134591	239808	239808	Nymphon pilosum	['NO_DEPTH']	1798	149036	21.47	35.43																						
PreservedSpecimen	228137.180356	Invertebrate Zoology: Crustacea	-27.9916706085	32.6800003052	USNM	Nymphon pilosum	urn:lsid:marinespecies.org:taxname:239808	ba606092-1be9-4fc0-8696-fc6f06a29474	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon pilosum	2	1065	1274	1302	1358	379601	379609	1566	134591	239808	239808	Nymphon pilosum	[]	502	9276	24.66	35.22	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	South Africa	22	observedindividualcount=2;	1976-05-22T12:00:00Z	Child, C. Allan	2.0	Zululand Area	550.0	550.0	5	Alcohol (Ethanol)	Mobius	male; female	Indian Ocean	1976	550.0	201571200000.0	201571200000.0	201571200000.0	1976.0
