basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	institutionCode	references	scientificNameAuthorship	typeStatus
HumanObservation	22789	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	7	-1.0	119.0	1980-11-07T00:00:00+00:00	Okean bucket_1980117_Okean-256_NA	00:00:00+00:00	Ammotheidae	Okean-256	EPSG:4326	Achelia	STOCK Jan	Animalia	en	Nord du detroit de macassar	24.0	24	2022-01-18 09:29:51	11	Ifremer_bio_dba_22789	present	Pantopoda	Arthropoda	LAUNAY J.	Okean bucket	Achelia socors	urn:lsid:marinespecies.org:taxname:239991	socors	1980	12cef2a6-c713-4818-af07-5076cc1e43d5	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	24.0	342403200000.0	342403200000.0	342403200000.0	1980.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia socors	1	2	1065	1274	1302	1358	379601	379608	1562	134568	239991	239991	Achelia socors	[]	2063	42282	29.39	32.76						
Occurrence	48323	Pycnogonida	NewCaledonia		https://marineinfo.org/id/dataset/3128			12.5100002288818	120.650001525879				Ammotheidae			Achelia		Animalia		Musorstom 3, DR117	97.0	92	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:48323:0x578F170001000100	present	Pantopoda	Arthropoda			Achelia socors	urn:lsid:marinespecies.org:taxname:239991			53033386-7bef-4f0d-8cc9-2b52206e346a	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	94.5					False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia socors	1	2	1065	1274	1302	1358	379601	379608	1562	134568	239991	239991	Achelia socors	[]	97	27555	28.91	32.26	Stock JH (1991). Musorstom 8(151): 213-228.	Philippines	IRD-MNHN			
PreservedSpecimen	sm_id_624	Pycnogonida	WoRMS type localities		https://marineinfo.org/id/dataset/5184			-3.41	127.57				Ammotheidae			Achelia		Animalia		Ceram Sea		36	2007-06-20 15:52:33		WoRMS Editorial Board:WoRMS type localities:sm_id_624	present	Pantopoda	Arthropoda			Achelia socors	urn:lsid:marinespecies.org:taxname:239991	socors		cbb1de31-c98f-49be-b23e-a20cd38600ce	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	36.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia socors	1	2	1065	1274	1302	1358	379601	379608	1562	134568	239991	239991	Achelia socors	[]	777	5111	28.49	33.47	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Achelia socors</i> (Loman, 1908). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239991		WoRMS Editorial Board	http://www.marinespecies.org/aphia.php?p=specdetails&id=624	(Loman, 1908)	holotype
