basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	occurrenceRemarks	sex
PreservedSpecimen	ANTXXVII/3_PS77_1222_7.1	Pycnogonida	982	AQ	23	-62.2958	-58.6897	2011-02-23	PS77	Pallenopsidae	PS77_PS77/222-7	LINESTRING (-58.676333 -62.302, -58.703 -62.2895)	Pallenopsis	EPSG:4326	paired setae patches on trunk	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	485.2	361.2	2	ANTXXVII/3_PS77_1222_7.1	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	Pallenopsis macronyx	Bouvier, 1911	urn:lsid:marinespecies.org:taxname:239928	macronyx	species	PhysicalObject	23/02/2011	2011	008f1d77-e36f-41f8-a65c-c55a091f7f6a	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	423.2	1298419200000.0	1298419200000.0	1298419200000.0	2011.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	444	4644	-0.51	34.03			
PreservedSpecimen	JR15005_1098_05a	Pycnogonida	257	AQ	9	-60.3567	-46.6863	2016-03-09	JR15005	Pallenopsidae	JR15005_61	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	Pallenopsis	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	540.0	465.0	3	JR15005_1098_05a	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Pallenopsis macronyx	Bouvier, 1911	urn:lsid:marinespecies.org:taxname:239928	macronyx	species	PhysicalObject	9/3/2016	2016	02f99511-0335-4e34-8219-7b908b40f8b3	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	502.5	1457481600000.0	1457481600000.0	1457481600000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	635	22199	-0.87	33.81			
HumanObservation	24362	Pycnogonida				-64.6166000366	-62.8465995789			Pallenopsidae			Pallenopsis					BAS		Animalia		670.0	640.0				Pantopoda			Arthropoda			Pallenopsis macronyx		urn:lsid:marinespecies.org:taxname:239928						05c0326e-dd23-43d3-9e73-3a5272e7e2f7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	655.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx		2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	['DEPTH_EXCEEDS_BATH']	532	3520	-0.47	33.7	SOMBASE Pycnogonids		
HumanObservation	24361	Pycnogonida				-60.7832984924	-53.5			Pallenopsidae			Pallenopsis					BAS		Animalia		641.0	641.0				Pantopoda			Arthropoda			Pallenopsis macronyx		urn:lsid:marinespecies.org:taxname:239928						09df9ccb-a51d-4625-a755-5cff0b94d1bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	641.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx		2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	575	47137	-0.57	34.05	SOMBASE Pycnogonids		
PreservedSpecimen	JR15005_1229_03	Pycnogonida	269	AQ	10	-60.3566	-46.6859	2016-03-10	JR15005	Pallenopsidae	JR15005_63	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	Pallenopsis	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	545.0	442.0	3	JR15005_1229_03	Present	Pantopoda	6	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Pallenopsis macronyx	Bouvier, 1911	urn:lsid:marinespecies.org:taxname:239928	macronyx	species	PhysicalObject	10/3/2016	2016	09ee0572-3da7-4a55-b6b4-49575dcb0098	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	493.5	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	635	22210	-0.87	33.81			
PreservedSpecimen	JR15005_2085_01	Pycnogonida	247	AQ	13	-60.4741	-44.4189	2016-03-13	JR15005	Pallenopsidae	JR15005_100	LINESTRING (-44.41916 -60.47629, -44.41866 -60.47186)	Pallenopsis	EPSG:4326	large, single paired setae on trunk seg	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	896.0	790.0	3	JR15005_2085_01	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Pallenopsis macronyx	Bouvier, 1911	urn:lsid:marinespecies.org:taxname:239928	macronyx	species	PhysicalObject	13/03/2016	2016	0e6ca798-cbf4-4ea0-9bb2-c95b5c953f54	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	843.0	1457827200000.0	1457827200000.0	1457827200000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	872	21457	-0.88	33.83			
HumanObservation	39856	Pycnogonida				-62.761100769	-60.5376014709			Pallenopsidae			Pallenopsis					BAS		Animalia		427.0	427.0				Pantopoda			Arthropoda			Pallenopsis macronyx		urn:lsid:marinespecies.org:taxname:239928						137b1c06-9bb2-4b33-9370-3afa4062756e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	427.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx		2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	370	7050	-0.42	33.93	SOMBASE Pycnogonids		
PreservedSpecimen	JR15005_1092_03	Pycnogonida	257	AQ	9	-60.3567	-46.6863	2016-03-09	JR15005	Pallenopsidae	JR15005_61	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	Pallenopsis	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	540.0	465.0	3	JR15005_1092_03	Present	Pantopoda	7	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Pallenopsis macronyx	Bouvier, 1911	urn:lsid:marinespecies.org:taxname:239928	macronyx	species	PhysicalObject	9/3/2016	2016	14616ccb-d911-4926-8809-42fdf8fccc6d	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	502.5	1457481600000.0	1457481600000.0	1457481600000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	635	22199	-0.87	33.81		well developed larvae	Male
HumanObservation	39855	Pycnogonida				-62.6948013306	-60.5303001404			Pallenopsidae			Pallenopsis					BAS		Animalia		256.0	256.0				Pantopoda			Arthropoda			Pallenopsis macronyx		urn:lsid:marinespecies.org:taxname:239928						148cdfc5-f9eb-4c15-a1c6-68c6316a7aac	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	256.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx		2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	233	5367	-0.41	33.94	SOMBASE Pycnogonids		
HumanObservation	24360	Pycnogonida				-60.8166007996	-53.4665985107			Pallenopsidae			Pallenopsis					BAS		Animalia		589.0	587.0				Pantopoda			Arthropoda			Pallenopsis macronyx		urn:lsid:marinespecies.org:taxname:239928						19ccbb04-9592-431f-937d-5d22602711b6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	588.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis macronyx		2	1065	1274	1302	1358	379601	379609	236317	134593	239928	239928	Pallenopsis macronyx	[]	585	45316	-0.57	34.05	SOMBASE Pycnogonids		
