basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	37730	SOMBASE Pycnogonids	-69.8315963745	11.2665996552	BAS	180	160	Colossendeis pseudochelata	urn:lsid:marinespecies.org:taxname:173204	29124d72-ad90-4374-a808-b055f3ee73a7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	170.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis pseudochelata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173204	173204	Colossendeis pseudochelata	[]	140	12069	-1.75	33.72
HumanObservation	34340	SOMBASE Pycnogonids	-62.8133010864	-59.8718986511	BAS	672	647	Colossendeis pseudochelata	urn:lsid:marinespecies.org:taxname:173204	5d21767c-1baa-42fe-b991-aad398811277	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	659.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis pseudochelata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173204	173204	Colossendeis pseudochelata	[]	651	14898	-0.55	33.96
HumanObservation	37742	SOMBASE Pycnogonids	-55.153301239	-34.7000007629	BAS	130	125	Colossendeis pseudochelata	urn:lsid:marinespecies.org:taxname:173204	ef00b650-20ab-4ba2-951f-96a137cc80ce	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	127.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis pseudochelata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173204	173204	Colossendeis pseudochelata	[]	121	15197	1.32	33.78
