associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	day	dynamicProperties	eventDate	individualCount	month	preparations	sex	stateProvince	typeStatus	year	date_start	date_mid	date_end	date_year
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-024_C4	B89PII	262350.0	23.0369167328	-82.928817749	Child, C. A.	HRI	ESE  Gulf of Mexico	1289	179	Database description and disclaimer at: http://gulfbase.org/	Pentacolossendeis reticulata	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239712	179-1289	Gulf of Mexico	5792e809-a87c-4169-a42c-1d3cb35dd789	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	734	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Pentacolossendeis	Pentacolossendeis reticulata	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	236273	239712	239712	Pentacolossendeis reticulata	['DEPTH_EXCEEDS_BATH']	451	2084	27.7	35.97															
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81102.273789	Invertebrate Zoology: Crustacea		24.3652801514	-81.9736099243	Hedgpeth, J. W.	USNM	Florida Keys, Straits of Florida, Gulf Stream Off Key West	179	179		Pentacolossendeis reticulata	Hedgpeth	urn:lsid:marinespecies.org:taxname:239712		North Atlantic Ocean	820169ed-a850-4db2-a7c9-5d2c3e4ce438	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	179	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Pentacolossendeis	Pentacolossendeis reticulata		2	1065	1274	1302	1358	379601	379607	22617	379613	236273	239712	239712	Pentacolossendeis reticulata	[]	188	17355	26.93	36.07	United States	14	observedindividualcount=1;	1902-02-14T12:00:00Z	1.0	2	Alcohol (Ethanol)	female	Florida	Holotype	1902	-2142115200000.0	-2142115200000.0	-2142115200000.0	1902.0
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-024_C5	B89PII	365460.0	24.06275177	-86.5610198975	Child, C. A.	HRI	ESE  Gulf of Mexico	1289	179	Database description and disclaimer at: http://gulfbase.org/	Pentacolossendeis reticulata	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239712	179-1289	Gulf of Mexico	86533817-5185-465a-8c4c-45ae8e3d16a8	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	734	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Pentacolossendeis	Pentacolossendeis reticulata	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	236273	239712	239712	Pentacolossendeis reticulata	[]	1273	278802	27.75	35.93															
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-024_C3	B89PII	248810.0	23.0265483856	-82.8923110962	Child, C. A.	HRI	ESE  Gulf of Mexico	1289	179	Database description and disclaimer at: http://gulfbase.org/	Pentacolossendeis reticulata	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239712	179-1289	Gulf of Mexico	f5225db8-f5a8-464f-b916-b741b4e8e02c	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	734	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Pentacolossendeis	Pentacolossendeis reticulata	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	236273	239712	239712	Pentacolossendeis reticulata	['DEPTH_EXCEEDS_BATH']	109	644	27.69	35.98															
