associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234497.186252	Invertebrate Zoology: Crustacea	Japan	9	34.6733283997	139.25	observedindividualcount=1;	1978-12-09T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Honshu Island, Sagami Bay	440	410	12	Alcohol (Ethanol)	Nymphon maruyamai	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239531	male	Holotype	North Pacific Ocean	1978	c3fbe330-27c1-4a7b-ae35-1436a7478c8e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	425	282009600000	282009600000	282009600000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon maruyamai	2	1065	1274	1302	1358	379601	379609	1566	134591	239531	239531	Nymphon maruyamai	[]	420	10361	20.58	33.97	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234498.186253	Invertebrate Zoology: Crustacea	Japan	9	34.6733283997	139.25	observedindividualcount=14;	1978-12-09T12:00:00Z	Bowman, Thomas E.	14.0	USNM	Honshu Island, Sagami Bay	440	410	12	Alcohol (Ethanol)	Nymphon maruyamai	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239531	male; female;;	Paratype	North Pacific Ocean	1978	e6fb8975-5013-4413-b16a-a46c776bad7b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	425	282009600000	282009600000	282009600000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon maruyamai	2	1065	1274	1302	1358	379601	379609	1566	134591	239531	239531	Nymphon maruyamai	[]	420	10361	20.58	33.97	;; juvenile
