associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	county	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	superdomain	superdomainid	recordedBy
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180132.136088	Invertebrate Zoology: Crustacea	United States	St. Lucie County	25	27.1783294678	-80.0449981689	observedindividualcount=1;	1975-07-25T12:00:00Z	Child, C. Allan	1.0	USNM	Off Saint Lucie Inlet	22.9	22.9	7	Alcohol (Ethanol)	Tanystylum hummelincki	Stock	urn:lsid:marinespecies.org:taxname:240349	female	Florida	North Atlantic Ocean	1975	5f78d022-37b4-4840-b149-79c90a1db6f2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	22.9	175478400000	175478400000	175478400000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum hummelincki	2	1065	1274	1302	1358	379601	379608	1562	134577	240349	240349	Tanystylum hummelincki	[]	27	10360	26.41	36.04											
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180131.136087	Invertebrate Zoology: Crustacea	United States	St. Lucie County	24	27.1816692352	-80.0416717529	observedindividualcount=4;	1975-07-24T12:00:00Z	Child, C. Allan	4.0	USNM	Off Saint Lucie Inlet	21.6	21.6	7	Alcohol (Ethanol)	Tanystylum hummelincki	Stock	urn:lsid:marinespecies.org:taxname:240349	male; female;;	Florida	North Atlantic Ocean	1975	70768342-4be5-40b2-9d52-78fed508ecc5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	21.6	175392000000	175392000000	175392000000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum hummelincki	2	1065	1274	1302	1358	379601	379608	1562	134577	240349	240349	Tanystylum hummelincki	[]	27	10734	26.41	36.04	;; juvenile										
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum hummelincki</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240349	sm_id_1426	WoRMS type localities			19	11.2	-63.75		1936-06-19			WoRMS Editorial Board	Caribbean Sea	2.0	1.0	6		Tanystylum hummelincki	Stock, 1954	urn:lsid:marinespecies.org:taxname:240349				1936	7b18677a-25a0-421f-ad2f-d6ff91f6a9ef	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1.5	-1058313600000	-1058313600000	-1058313600000	1936	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum hummelincki	2	1065	1274	1302	1358	379601	379608	1562	134577	240349	240349	Tanystylum hummelincki	[]	-1	17	26.66	35.69		https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1426	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1426	hummelincki	holotype	Biota	1.0	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	150690.114085	Invertebrate Zoology: Crustacea	United States	Indian River County		28.6583309174	-80.3566665649	observedindividualcount=11;	1964-07-02T00:00:00Z	Child, C. Allan	11.0	USNM	Vero Beach, Public Beach	2.0			Alcohol (Ethanol)	Tanystylum hummelincki	Stock	urn:lsid:marinespecies.org:taxname:240349	male; female;;	Florida	North Atlantic Ocean	1964	dcd60869-5e02-45e5-b052-4ca1b0ea7214	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.0	-173577600000	-173577600000	-173577600000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum hummelincki	2	1065	1274	1302	1358	379601	379608	1562	134577	240349	240349	Tanystylum hummelincki	[]	22	22779	24.89	36.21	;; juvenile										D. Kirtley
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180126.136082	Invertebrate Zoology: Crustacea	United States	St. Lucie County	28	27.5	-80.2833328247	observedindividualcount=3;	1977-04-28T12:00:00Z	Child, C. Allan	3.0	USNM	Third Reef S Of Pepper State Park	5.2	5.2	4	Alcohol (Ethanol)	Tanystylum hummelincki	Stock	urn:lsid:marinespecies.org:taxname:240349	male; female;;	Florida	North Atlantic Ocean	1977	f029e470-d078-417e-b874-483da4e6a8f6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.2	231033600000	231033600000	231033600000	1977	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum hummelincki	2	1065	1274	1302	1358	379601	379608	1562	134577	240349	240349	Tanystylum hummelincki	[]	10	1572	25.75	36.14	;; larvae V										Reed & Edmiston
