basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	individualCount	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	J5348	Pycnogonida	co119	1000	Australia	-23.85	151.27	Ammotheidae	POINT (151.27000 -23.85000)	Hemichela	1	NMV	Animalia	Gladstone, Auckland Creek	2017-02-09T12:08:49	J5348	present	1	individuals	Arthropoda	Hemichela longiunguis	urn:lsid:marinespecies.org:taxname:240045	Unknown	longiunguis	species	0dcbe157-30a7-4942-bddb-a01d3fbdb0eb	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Hemichela longiunguis	2	1065	1274	1302	1358	379601	379608	1562	236269	240045	240045	Hemichela longiunguis	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38
PreservedSpecimen	J5347	Pycnogonida	co119	1000	Australia	-23.85	151.27	Ammotheidae	POINT (151.27000 -23.85000)	Hemichela	1	NMV	Animalia	Gladstone, Calliope River	2017-02-09T12:08:49	J5347	present	1	individuals	Arthropoda	Hemichela longiunguis	urn:lsid:marinespecies.org:taxname:240045	Unknown	longiunguis	species	7de7016e-4e29-4885-9561-35c36487c72c	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Hemichela longiunguis	2	1065	1274	1302	1358	379601	379608	1562	236269	240045	240045	Hemichela longiunguis	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38
