associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionID	countryCode	eventDate	eventID	occurrenceID	occurrenceStatus	date_start	date_mid	date_end	date_year	country	dynamicProperties	individualCount	preparations	recordedBy	sex	stateProvince	typeStatus	month	year
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-025_C1	B89PII	249350.0	23.0251464844	-82.887260437	Child, C. A.	HRI	ESE  Gulf of Mexico	10.0	0.0	Database description and disclaimer at: http://gulfbase.org/	Pycnogonum reticulatum	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239713	0-10	Gulf of Mexico	bc52b286-826e-4979-9988-cd711b9f9f2a	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum reticulatum	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239713	239713	Pycnogonum reticulatum	[]	126	466	27.69	35.98																				
	PreservedSpecimen		17655	FSBC I		24.666666	-81.5				3.0	1.0		Pycnogonum reticulatum		urn:lsid:marinespecies.org:taxname:239713			bc646301-1786-4a0c-b9b7-0b9fc324c52f	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	2.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum reticulatum		2	1065	1274	1302	1358	379601	379611	1567	134595	239713	239713	Pycnogonum reticulatum	['ON_LAND']	-1	-234	26.78	36.06	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	1977-07-06	3ccd08a6-40df-475b-9572-d398cfa7d62e	8f31518c-f25f-447b-9d6f-ef794a350e9b	Present	236995200000.0	236995200000.0	236995200000.0	1977.0										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	13545.99391	Invertebrate Zoology: Crustacea		24.5499992371	-81.766998291	Hedgpeth, J. W.	USNM	Florida Keys, Key West				Pycnogonum reticulatum	Hedgpeth	urn:lsid:marinespecies.org:taxname:239713		North Atlantic Ocean	d5c8a20f-3092-4a5d-81c6-c07dd9bf62e6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum reticulatum		2	1065	1274	1302	1358	379601	379611	1567	134595	239713	239713	Pycnogonum reticulatum	['NO_DEPTH']	2	198	26.7	36.1											United States	observedindividualcount=1;	1.0	Alcohol (Ethanol); Slide	H. Hemphill	male	Florida	Holotype		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	9152.279558	Invertebrate Zoology: Crustacea		24.5499992371	-81.766998291	Hedgpeth, J. W.	USNM	Florida Keys, Key West				Pycnogonum reticulatum	Hedgpeth	urn:lsid:marinespecies.org:taxname:239713		North Atlantic Ocean	ddf5310e-453b-4d8b-8a9f-3890304db100	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum reticulatum		2	1065	1274	1302	1358	379601	379611	1567	134595	239713	239713	Pycnogonum reticulatum	['NO_DEPTH']	2	198	26.7	36.1			1884-04-30T12:00:00Z				-2703542400000.0	-2703542400000.0	-2703542400000.0	1884.0	United States	observedindividualcount=1;	1.0	Alcohol (Ethanol)	H. Hemphill	female	Florida	Paratype	4	1884
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-025_C2	B89PII	195770.0	24.7805652618	-82.3406906128	Child, C. A.	HRI	ESE  Gulf of Mexico	10.0	0.0	Database description and disclaimer at: http://gulfbase.org/	Pycnogonum reticulatum	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239713	0-10	Gulf of Mexico	f3c93578-e4d4-4b8d-bdb1-22b286d66479	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum reticulatum	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239713	239713	Pycnogonum reticulatum	[]	26	28843	26.37	36.14																				
