basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	identifiedBy	individualCount	lifeStage	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificNameAuthorship	sex	stateProvince	typeStatus	waterBody	year	depth	datasetID	references	superdomain	superdomainid	organismQuantity	organismQuantityType
PreservedSpecimen	P.73405	Pycnogonida	co113	0.0896	10000	-19.98666	117.81	1983-06-26	Nymphonidae	POINT (117.81000 -19.98666)	Nymphon	AM	Animalia	North West Shelf	2017-03-02T12:40:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73405	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:240091	rottnesti	species	0344f556-a548-4119-ad2a-7be736403c8a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	425433600000.0	425433600000.0	425433600000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon rottnesti	['NO_DEPTH']	43	54507	26.78	34.74																										
PreservedSpecimen	149236.112752	Pycnogonida	Invertebrate Zoology: Crustacea			-32.0	115.266998291	1963-10-12T12:00:00Z	Nymphonidae		Nymphon	USNM	Animalia	W Of Rottnest Island				Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:240091			08f67cb2-0bee-44b2-a75c-2fb05c395075	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-196387200000.0	-196387200000.0	-196387200000.0	1963.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon rottnesti	[]	147	17390	21.08	35.5	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Australia	12	observedindividualcount=1;	Child, C. Allan	1.0	ovigerous	143.0	137.0	10	Alcohol (Ethanol)	CSIRO, Commonwealth Scientific & Industrial Organisation	Child	female	Western Australia	Paratype	Indian Ocean	1963	140.0						
PreservedSpecimen	P.44730	Pycnogonida	co113	0.0896	10000	-19.483	118.89166	1983-02-12	Nymphonidae	POINT (118.89166 -19.48300)	Nymphon	AM	Animalia	North West Shelf	2017-03-02T15:49:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44730	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:240091	rottnesti	species	104234f9-809f-4f93-b3f3-b90654f6f161	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	413856000000.0	413856000000.0	413856000000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon rottnesti	['NO_DEPTH']	38	24411	27.07	34.79																										
PreservedSpecimen	P.73392	Pycnogonida	co113	0.0896	10000	-19.94249	117.88999	1983-10-26	Nymphonidae	POINT (117.88999 -19.94249)	Nymphon	AM	Animalia	North West Shelf	2017-03-02T12:40:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73392	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:240091	rottnesti	species	277c3b63-fe7f-4f02-84b4-063a45a579a9	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	435974400000.0	435974400000.0	435974400000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon rottnesti	['NO_DEPTH']	43	53206	26.78	34.64															Female											
PreservedSpecimen	sm_id_1055	Pycnogonida	WoRMS type localities		1880.38	-32.22	115.53999999999999	1972-03-08	Nymphonidae		Nymphon	WoRMS Editorial Board	Animalia	Indian Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1055	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:239909	flindersi		29c166d6-4220-4af9-bcc8-ade6725f939f	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	68860800000.0	68860800000.0	68860800000.0	1972.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon flindersi	[]	34	12310	20.66	35.55		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon flindersi</i> Child, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239909		8					33.0	17.0	3			Child, 1975			holotype		1972	25.0	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=1055	Biota	1.0		
PreservedSpecimen	J54993	Pycnogonida	co119		1000	-33.98	114.734	2005-11-21	Nymphonidae	POINT (114.73400 -33.98000)	Nymphon	NMV	Animalia	off Mentelle	2017-02-09T13:33:42	J54993	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:240091	rottnesti	species	30e0bce2-4468-4439-a129-0ee659c36f0d	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1132531200000.0	1132531200000.0	1132531200000.0	2005.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon rottnesti	[]	92	22768	20.53	35.53							1	Juvenile	97.0	96.0					Unknown					96.5					1	individuals
PreservedSpecimen	sm_id_2061	Pycnogonida	WoRMS type localities			-32.0	115.27		Nymphonidae		Nymphon	WoRMS Editorial Board	Animalia	Rottnest Island	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2061	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:240091	rottnesti		3e0b2ff2-808c-44e4-89aa-5774b094ce9a	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon rottnesti	[]	147	17110	21.08	35.5		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon rottnesti</i> Child, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240091							143.0	137.0				Child, 1975			holotype			140.0	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=2061	Biota	1.0		
PreservedSpecimen	P.73384	Pycnogonida	co113	0.0896	10000	-19.47166	118.91999	1983-08-31	Nymphonidae	POINT (118.91999 -19.47166)	Nymphon	AM	Animalia	North West Shelf	2017-03-02T12:40:47	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73384	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:240091	rottnesti	species	5d482212-5f9c-48c0-8bbc-75ee2e8d975c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	431136000000.0	431136000000.0	431136000000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon rottnesti	['NO_DEPTH']	38	22488	27.07	34.79															Male											
PreservedSpecimen	P.43093	Pycnogonida	co113	0.0896	10000	-32.433	152.533	1981-01-14	Nymphonidae	POINT (152.53300 -32.43300)	Nymphon	AM	Animalia	Sugarloaf Point, large rock pool	2017-03-02T16:19:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43093	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:239909	flindersi	species	89f2a9a7-d795-40fc-93c5-65411b525fa7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	348278400000.0	348278400000.0	348278400000.0	1981.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon flindersi	['NO_DEPTH']	-1	213	21.34	35.53			Australia																							
PreservedSpecimen	P.73419	Pycnogonida	co113	0.0896	10000	-19.49333	118.86999	1983-08-30	Nymphonidae	POINT (118.86999 -19.49333)	Nymphon	AM	Animalia	North West Shelf	2017-03-02T12:40:54	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73419	present	Arthropoda	Nymphon rottnesti	urn:lsid:marinespecies.org:taxname:240091	rottnesti	species	acc69d5a-0ad4-4bfe-95cc-d1ceae05b241	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	431049600000.0	431049600000.0	431049600000.0	1983.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon rottnesti	2	1065	1274	1302	1358	379601	379609	1566	134591	240091	240091	Nymphon rottnesti	['NO_DEPTH']	38	25982	27.07	34.79																										
