basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	locality	scientificName	scientificNameAuthorship	scientificNameID	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	footprintWKT	individualCount	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	sex	specificEpithet	taxonRank	associatedReferences	bibliographicCitation	day	dynamicProperties	eventDate	identifiedBy	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	waterBody	year	depth	date_start	date_mid	date_end	date_year	ownerInstitutionCode	references	datasetID	coordinatePrecision
HumanObservation	36216	INDOBIS-DATASET1	10.0	93.0	NCL	Andaman & Nicobar Islands	Anoplodactylus cribellatus	Calman	urn:lsid:marinespecies.org:taxname:240193	Accepted	03902918-bc92-4053-bcf2-39adf03f47ce	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus cribellatus	['NO_DEPTH']	1324.0	77172	28.91	32.43																																		
PreservedSpecimen	J5300	co119	-23.85	151.27	NMV	Gladstone, Calliope River	Anoplodactylus cribellatus		urn:lsid:marinespecies.org:taxname:240193		085885a4-9351-4c9e-89bb-b3d3e827a125	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus		2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus cribellatus	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	1	2017-02-09T11:04:12	J5300	present	1	individuals	Unknown	cribellatus	species																						
PreservedSpecimen	184564.140494	Invertebrate Zoology: Crustacea	34.65832901	138.944442749	USNM	Honshu Island, Ise, Sagami Bay, Nabeta Bay	Anoplodactylus cribellatus	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239682	Holotype	15a74d80-87ad-4190-acb1-1bafc6747399	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus		2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus perforatus	[]	24.0	434	20.53	34.06		Japan		1.0						male			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	3	observedindividualcount=1;	1970-06-03T12:00:00Z	Nakamura, K., Child, C. Allan	15.0	7.0	6	Alcohol (Ethanol)	K. Nakamura	North Pacific Ocean	1970	11.0	13219200000.0	13219200000.0	13219200000.0	1970.0				
HumanObservation	36216		10.0	93.0	CMLRE	Andaman & Nicobar Islands	Anoplodactylus cribellatus		urn:lsid:marinespecies.org:taxname:240193		17c27d80-02d1-44c2-a450-88d19742318e	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus		2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus cribellatus	['NO_DEPTH']	1324.0	77172	28.91	32.43						11524	present										1923										-1483228800000.0	-1467504000000.0	-1451779200000.0	1923.0	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar		
Occurrence	5167	NewCaledonia	-20.7099990844727	165.259994506836	IRD-MNHN	Touho (NC9334)	Anoplodactylus cribellatus		urn:lsid:marinespecies.org:taxname:240193		2f08ccf7-185a-4dab-8529-f1af8a0891fb	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus cribellatus	[]	2.0	4052	26.0	35.0		Nouvelle Caledonie			2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:5167:0xA984170001000200	present							Bamber RN (1997). Species Diversity 2: 43-50.					1.0	0.0						0.5							https://marineinfo.org/id/dataset/3128	
PreservedSpecimen	J5299	co119	-23.85	151.27	NMV	Gladstone, Calliope River	Anoplodactylus cribellatus		urn:lsid:marinespecies.org:taxname:240193		2f7ed5f0-f3b5-4fd8-80d8-7bef4512b164	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus		2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus simplex	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	1	2017-02-09T11:04:10	J5299	present	1	individuals	Unknown	simplex	species																						
PreservedSpecimen	J5345	co119	-23.85	151.27	NMV	Gladstone, Calliope River	Anoplodactylus cribellatus		urn:lsid:marinespecies.org:taxname:240193		4d3fc90e-b5c6-4237-a1f5-0922125c0864	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus		2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus cribellatus	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38	1000	Australia	POINT (151.27000 -23.85000)	1	2017-02-09T12:08:48	J5345	present	1	individuals	Unknown	cribellatus	species																						
PreservedSpecimen	P.28423	co113	-34.00833	151.183	AM	shallow bay south of Kurnell, Botany Bay	Anoplodactylus cribellatus		urn:lsid:marinespecies.org:taxname:240193		4ebfff14-25c1-40ca-a162-71bd53fafd3e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus		2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus simplex	['NO_DEPTH']	1.0	332	20.37	35.53	10000	Australia	POINT (151.18300 -34.00833)		2017-03-02T11:28:44	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.28423	present			Male	simplex	species					1927-10-06										-1332979200000.0	-1332979200000.0	-1332979200000.0	1927.0				0.0896
PreservedSpecimen	P.73386	co113	-19.47166	118.91999	AM	North West Shelf	Anoplodactylus cribellatus		urn:lsid:marinespecies.org:taxname:240193		5284c228-b277-4e8b-88d8-f12bc04de3fd	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus		2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus cribellatus	['NO_DEPTH']	38.0	22488	27.07	34.79	10000		POINT (118.91999 -19.47166)		2017-03-02T12:40:48	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73386	present			Female	cribellatus	species					1983-08-31										431136000000.0	431136000000.0	431136000000.0	1983.0				0.0896
PreservedSpecimen	P.28422	co113	-34.00833	151.183	AM	shallow bay south of Kurnell, Botany Bay	Anoplodactylus cribellatus		urn:lsid:marinespecies.org:taxname:240193		56b3bfc1-1128-4f3e-acc4-cc0d2904fc47	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus cribellatus		2	1065	1274	1302	1358	379601	379610	14469	134592	240193	240193	Anoplodactylus simplex	['NO_DEPTH']	1.0	332	20.37	35.53	10000	Australia	POINT (151.18300 -34.00833)		2017-03-02T11:28:44	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.28422	present			Female	simplex	species					1927-10-06										-1332979200000.0	-1332979200000.0	-1332979200000.0	1927.0				0.0896
