associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	county	fieldNumber
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	122187.87423	Invertebrate Zoology: Crustacea	Brazil	19	-31.9169998169	-51.7249984741	observedindividualcount=30;	1967-03-19T12:00:00Z	Child, C. Allan	30.0	USNM	ovigerous;;; juvenile	Estreito, Shipwreck N Of Sao Jose Do Norte	3	Alcohol (Ethanol)	D. Kirtley	Anoplodactylus stictus	Marcus	urn:lsid:marinespecies.org:taxname:240282	male; male; female;;	Rio Grande do Sul	South Atlantic Ocean	1967	6637b371-66f7-4050-8d86-5f63635b6ee6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-88041600000	-88041600000	-88041600000	1967	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	16	5557	19.13	32.21		
	HumanObservation		C2079	DOB	Brazil		-23.5015	-45.1224		1986-06-16T00:00:00Z		1.0	IO-USP		Codo Beach	6			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1986	759bd544-c0a0-4d36-9511-64be0f618841	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	519264000000	519264000000	519264000000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	N1-3 Halodule bank
	HumanObservation		C2073	DOB	Brazil		-23.5015	-45.1224		1985-09-16T00:00:00Z		1.0	IO-USP		Codo Beach	9			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1985	7dd653fc-ea6b-4530-afce-4e07a6cfd013	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	495676800000	495676800000	495676800000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	C2-22 Without vegetation
	HumanObservation		C2072	DOB	Brazil		-23.5015	-45.1224		1985-09-16T00:00:00Z		1.0	IO-USP		Codo Beach	9			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1985	7ec8ae36-e87b-40c6-a520-77a7f560c787	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	495676800000	495676800000	495676800000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	G2-13 Without vegetation
	HumanObservation		C2077	DOB	Brazil		-23.5015	-45.1224		1985-09-16T00:00:00Z		1.0	IO-USP		Codo Beach	9			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1985	88a393ca-cf3a-46d0-bf06-160fbb791d28	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	495676800000	495676800000	495676800000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	G2-15 Halodule bank
	HumanObservation		C2076	DOB	Brazil		-23.5015	-45.1224		1985-09-16T00:00:00Z		2.0	IO-USP		Codo Beach	9			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1985	aab7f0a2-88cb-4876-8b16-76ead6f0a27e	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	495676800000	495676800000	495676800000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	G2-14 Halodule bank
	HumanObservation		C2081	DOB	Brazil		-23.5015	-45.1224		1986-06-16T00:00:00Z		1.0	IO-USP		Codo Beach	6			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1986	afe7bf65-605b-46f2-aebf-863549769583	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	519264000000	519264000000	519264000000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	N2-7 Halodule bank
	HumanObservation		C2075	DOB	Brazil		-23.5015	-45.1224		1985-09-16T00:00:00Z		1.0	IO-USP		Codo Beach	9			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1985	c1be5eed-744b-42e7-af6e-5b685c720015	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	495676800000	495676800000	495676800000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	G1-12 Halodule bank
	HumanObservation		C2078	DOB	Brazil		-23.5015	-45.1224		1985-09-16T00:00:00Z		2.0	IO-USP		Codo Beach	9			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1985	d04ab57c-0088-4104-be65-9d685869f7a1	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	495676800000	495676800000	495676800000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	G2-16 Halodule bank
	HumanObservation		C2074	DOB	Brazil		-23.5015	-45.1224		1985-09-16T00:00:00Z		1.0	IO-USP		Codo Beach	9			Anoplodactylus stictus	Marcus,1940 	urn:lsid:marinespecies.org:taxname:240282			South Atlantic	1985	d20ca2af-1667-446a-a86d-974b5d17289f	30caf9b2-aac7-446c-bb4d-0b45115da0ed	['dde0dbd3-92fb-41e6-9f51-b1ae930a934b']	495676800000	495676800000	495676800000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus stictus	2	1065	1274	1302	1358	379601	379610	14469	134592	240282	240282	Anoplodactylus stictus	['NO_DEPTH']	-22	32	23.51	36.05	Ubatuba	N1-3 Halodule bank
