associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionID	continent	fieldNumber	higherClassification	higherGeography	institutionID	language	license	locationID	nomenclaturalCode	occurrenceID	recordedBy	specificEpithet	startDayOfYear	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	superdomain	superdomainid	dateIdentified	georeferenceProtocol	occurrenceRemarks
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81528.274078	Invertebrate Zoology: Crustacea	United States	21	54.0277786255	-166.81388855	observedindividualcount=1;	1890-08-21T12:00:00Z	Hilton, W. A.	1.0	USNM	Aleutian Islands, Off Mid Aleutian Islands	640.0	640	8	Alcohol (Ethanol)	Colossendeis microsetosa	Hilton	urn:lsid:marinespecies.org:taxname:239788	female	Alaska	Holotype	North Pacific Ocean	1890	2d24f8b6-fe85-4d59-9e34-72e5b5c30afb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	640	-2504476800000	-2504476800000	-2504476800000	1890	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis microsetosa	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239788	239788	Colossendeis microsetosa	['DEPTH_EXCEEDS_BATH']	284	3471	5.53	32.51																								
	PreservedSpecimen		149893	IZ	United States	1	51.43369	-178.8158		2000-07-01	E.J. Kools		CAS	Aleutian Islands, haul 166		210	7	Fluid-75% EtOH(1)	Colossendeis microsetosa	Hilton, 1943			Alaska			2000	3b1cebc2-f058-4452-8c24-8de156590706	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	210	962409600000	962409600000	962409600000	2000	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis microsetosa	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239788	239788	Colossendeis microsetosa	[]	451	9499	5.42	32.63	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	060357	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Colossendeidoidea, Colossendeidae, Colossendeinae	North America, North Pacific Ocean, United States	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	066a7340-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:149893	"E.J. Kools aboard F/V ""Vesteraalen"""	microsetosa	183	species	Physical Object	01 Jul 2000	51.43369° N	178.8158° W	Biota	1.0			
	PreservedSpecimen		171062	IZ	United States	21	52.52509	-172.07471		2004-06-21	J.W. Orr		CAS	Aleutian Islands, Haul 66		364	6	Fluid-75% EtOH(1)	Colossendeis microsetosa	Hilton, 1943			Alaska			2004	5b9fac02-f699-44b0-a0d5-625e63c15779	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	364	1087776000000	1087776000000	1087776000000	2004	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis microsetosa	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239788	239788	Colossendeis microsetosa	[]	383	24518	5.38	32.66	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	068199	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Colossendeidoidea, Colossendeidae, Colossendeinae	North America, North Pacific Ocean, United States	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	0691e239-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:171062	J.W. Orr	microsetosa	173	species	Physical Object	21 Jun 2004	52.52509° N	172.07471° W	Biota	1.0	2004-06-21	COLL	voucher 4
