basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	P.9341	Pycnogonida	co113	10000	Australia	-20.333	148.9	Ammotheidae	POINT (148.90000 -20.33300)	Nymphopsis	AM	Animalia	Whitsunday Passage	2017-03-02T10:23:34	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.9341	present	Arthropoda	Nymphopsis armatus	urn:lsid:marinespecies.org:taxname:240213	Female	armatus	species	5a09220e-31bb-4992-be50-ec66ae4d28d8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis armatus	2	1065	1274	1302	1358	379601	379608	1562	236282	240213	240213	Nymphopsis armatus	['NO_DEPTH']	44.1	2632	24.95	35.48
PreservedSpecimen	G.5201.001	Pycnogonida	co113	10000	Australia	-20.333	148.85	Ammotheidae	POINT (148.85000 -20.33300)	Nymphopsis	AM	Animalia	Port Molle	2017-03-02T13:14:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.5201.001	present	Arthropoda	Nymphopsis armatus	urn:lsid:marinespecies.org:taxname:240213		armatus	species	eebc13c3-329a-4a5a-995a-2a0a742edd41	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis armatus	2	1065	1274	1302	1358	379601	379608	1562	236282	240213	240213	Nymphopsis armatus	['NO_DEPTH']	-2.7	63	24.95	35.48
