basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	scientificNameAuthorship	waterBody	year	date_start	date_mid	date_end	date_year	sex
HumanObservation	38077	SOMBASE Pycnogonids	-48.1815986633	69.0250015259	BAS	159	159	Nymphon brachyrhynchum	urn:lsid:marinespecies.org:taxname:240140	31ed8a85-49bd-43d2-86ae-c821c0a5c00b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	159	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brachyrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	240140	240140	Nymphon brachyrhynchum	[]	137	34290	4.15	33.72																		
HumanObservation	34955	SOMBASE Pycnogonids	-48.6833000183	69.0366973877	BAS	220	220	Nymphon brachyrhynchum	urn:lsid:marinespecies.org:taxname:240140	6dd0a5e1-dc3a-4fe1-b353-8b6cc2c09768	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	220	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brachyrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	240140	240140	Nymphon brachyrhynchum	['DEPTH_EXCEEDS_BATH']	-19	28	3.97	33.74																		
PreservedSpecimen	1123293.943406	Invertebrate Zoology	-52.2000007629	72.6669998169	USNM	430	430	Nymphon brachyrhynchum	urn:lsid:marinespecies.org:taxname:240140	dc0cd673-b632-4587-9ea7-f196fc0cd27d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	430	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brachyrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	240140	240140	Nymphon brachyrhynchum	[]	442	91023	2.47	33.81	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	10	observedindividualcount=2;	1990-06-10T12:00:00Z	Child, C. Allan	2.0	Heard Island, 60 Mile NW Of	6	Alcohol (Ethanol)	Hoek	Indian Ocean	1990	644976000000.0	644976000000.0	644976000000.0	1990.0	
PreservedSpecimen	234680.186405	Invertebrate Zoology: Crustacea	-52.2000007629	72.6669998169	USNM	430	430	Nymphon brachyrhynchum	urn:lsid:marinespecies.org:taxname:240140	f41d012d-aca9-4898-b28b-00d66996b318	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	430	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brachyrhynchum	2	1065	1274	1302	1358	379601	379609	1566	134591	240140	240140	Nymphon brachyrhynchum	[]	442	91023	2.47	33.81	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	10	observedindividualcount=2;	1990-06-10T12:00:00Z	Child, C. Allan	2.0	Heard Island, 60 Mile NW Of	6	Alcohol (Ethanol)	Hoek	Indian Ocean	1990	644976000000.0	644976000000.0	644976000000.0	1990.0	male; female
