associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	maximumDepthInMeters	minimumDepthInMeters	month	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81519.274069	Invertebrate Zoology: Crustacea	United States	36.6170005798	-121.900001526	observedindividualcount=1;	1895-07-02T12:00:00Z	Hilton, W. A.	1.0	USNM	Monterey Bay, Pacific Grove	Alcohol (Ethanol)	J. Snyder	Decachela discata	Hilton	urn:lsid:marinespecies.org:taxname:239855	California	Holotype	North Pacific Ocean	1895	0835ee1a-a123-468b-aeb7-373ba301c1b8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2351030400000	-2351030400000	-2351030400000	1895	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Decachela	Decachela discata	2	1065	1274	1302	1358	379601	379608	379616	236264	239855	239855	Decachela discata	['NO_DEPTH']	-4	7	12.9	32.93					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80932.273656	Invertebrate Zoology: Crustacea	Japan	43.4888916016	140.283325195	observedindividualcount=1;	1906-09-20T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Kamol Mizaki, Kama Mizaki Light	Alcohol (Ethanol)		Decachela discata	Hilton	urn:lsid:marinespecies.org:taxname:239855			North Pacific Ocean	1906	ef9b313a-562b-46c6-b789-3d484604d0db	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1997049600000	-1997049600000	-1997049600000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Decachela	Decachela discata	2	1065	1274	1302	1358	379601	379608	379616	236264	239855	239855	Decachela discata	[]	684	17108	13.0	33.67	20	108.0	108.0	9	108.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80931.273655	Invertebrate Zoology: Crustacea	United States	36.6170005798	-121.900001526	observedindividualcount=1;	1895-07-31T12:00:00Z	Hilton, W. A.	1.0	USNM	Monterey Bay, Pacific Grove	Alcohol (Ethanol)	J. Snyder	Decachela discata	Hilton	urn:lsid:marinespecies.org:taxname:239855	California	Paratype	North Pacific Ocean	1895	fab0dcf4-ee15-4454-a4fe-e861c6ea2674	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2348524800000	-2348524800000	-2348524800000	1895	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Decachela	Decachela discata	2	1065	1274	1302	1358	379601	379608	379616	236264	239855	239855	Decachela discata	['NO_DEPTH']	-4	7	12.9	32.93				7	
