associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234496.186251	Invertebrate Zoology: Crustacea	Japan	10	39.1199989319	142.384994507	observedindividualcount=6;	1984-07-10T12:00:00Z	Bowman, Thomas E.	6.0	USNM	Honshu Island, Sanriku-Oki, Off Kamaishi	950	926	7	Alcohol (Ethanol)	Nymphon longispinum	Nakamura & Child	urn:lsid:marinespecies.org:taxname:240042	male; female	Paratype	North Pacific Ocean	1984	2bf9feba-4765-4777-a913-0719ca6941e3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	938	458265600000	458265600000	458265600000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon longispinum	2	1065	1274	1302	1358	379601	379609	1566	134591	240042	240042	Nymphon longispinum	[]	991	38235	14.5	33.54	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234495.186250	Invertebrate Zoology: Crustacea	Japan	10	39.2066688538	142.311676025	observedindividualcount=6;	1984-07-10T12:00:00Z	Bowman, Thomas E.	6.0	USNM	Honshu Island, Sanriku-Oki, Off Kamaishi	736	700	7	Alcohol (Ethanol)	Nymphon longispinum	Nakamura & Child	urn:lsid:marinespecies.org:taxname:240042	male; female;;	Paratype	North Pacific Ocean	1984	75595367-5c76-45dd-9faf-d0654967dcd0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	718	458265600000	458265600000	458265600000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon longispinum	2	1065	1274	1302	1358	379601	379609	1566	134591	240042	240042	Nymphon longispinum	[]	796	29531	14.33	33.54	;; juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234494.186249	Invertebrate Zoology: Crustacea	Japan	10	39.2066688538	142.311676025	observedindividualcount=1;	1984-07-10T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Honshu Island, Sanriku-Oki, Off Kamaishi	736	700	7	Alcohol (Ethanol)	Nymphon longispinum	Nakamura & Child	urn:lsid:marinespecies.org:taxname:240042	male	Holotype	North Pacific Ocean	1984	8b546235-9151-4a01-9b24-08528e18ed40	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	718	458265600000	458265600000	458265600000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon longispinum	2	1065	1274	1302	1358	379601	379609	1566	134591	240042	240042	Nymphon longispinum	[]	796	29531	14.33	33.54	
