basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	individualCount	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	date_start	date_mid	date_end	date_year	coordinatePrecision	maximumDepthInMeters	minimumDepthInMeters	depth
PreservedSpecimen	J13016	Pycnogonida	co119	1000	Australia	-38.42	141.67	Callipallenidae	POINT (141.67000 -38.42000)	Stylopallene	2	NMV	Animalia	Lawrence Rocks, Portland	2017-02-10T11:39:51	J13016	present	2	individuals	Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748	Unknown	cheilorhynchus	species	03827de9-9ffb-4c5c-bac0-29ae46eec1bb	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH']	17	1095	15.91	35.59									
PreservedSpecimen	P.42830	Pycnogonida	co113	10000	Australia	-37.566	149.916	Callipallenidae	POINT (149.91600 -37.56600)	Stylopallene		AM	Animalia	south east side of Gabo Island	2017-03-02T15:57:47	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42830	present			Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748	Female	cheilorhynchus	species	03efa6af-d142-47b3-8c52-d5f37416ddbf	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH', 'ON_LAND']	-27	-58	17.29	35.57									
PreservedSpecimen	P.13635	Pycnogonida	co113	10000	Australia	-43.15	147.85	Callipallenidae	POINT (147.85000 -43.15000)	Stylopallene		AM	Animalia	Port Arthur	2017-03-02T11:16:10	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13635	present			Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748	Female	cheilorhynchus	species	0ea261f5-8e01-48b7-b598-c10f04a558d9	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH', 'ON_LAND']	6	-111	14.17	35.26	1921-06-28	-1530921600000.0	-1530921600000.0	-1530921600000.0	1921.0				
PreservedSpecimen	J12984	Pycnogonida	co119	1000	Australia	-39.0	146.37	Callipallenidae	POINT (146.37000 -39.00000)	Stylopallene	1	NMV	Animalia	Little Glennie I., Wilsons Promontory	2017-02-10T11:39:45	J12984	present	1	individuals	Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748	Unknown	cheilorhynchus	species	101da93f-4931-4ea3-a3fe-2484222ece11	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH', 'ON_LAND']	-514	-4738			1979-12-31	315446400000.0	315446400000.0	315446400000.0	1979.0				
PreservedSpecimen	J12991	Pycnogonida	co119	1000	Australia	-38.1	144.88	Callipallenidae	POINT (144.88000 -38.10000)	Stylopallene	1	NMV	Animalia	Port Phillip Heads	2017-02-10T11:39:46	J12991	present	1	individuals	Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748	Unknown	cheilorhynchus	species	127a1bdf-7e82-4e85-ba46-df4c6d87ef74	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH']	19	14843	15.77	35.69	1976-11-24	217641600000.0	217641600000.0	217641600000.0	1976.0				
PreservedSpecimen	J12997	Pycnogonida	co119	1000	Australia	-38.48	144.88	Callipallenidae	POINT (144.88000 -38.48000)	Stylopallene		NMV	Animalia	Cape Schanck (2-4 miles)	2017-02-10T11:39:47	J12997	present			Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748		cheilorhynchus	species	169f38a0-8c4e-4433-9b08-5dc9760a8dc6	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH']	11	451	15.79	35.69	1975-09-28	181094400000.0	181094400000.0	181094400000.0	1975.0				
PreservedSpecimen	P.44771	Pycnogonida	co113	1000	Australia	-30.316	153.155	Callipallenidae	POINT (153.15500 -30.31600)	Stylopallene		AM	Animalia	Solitary Islands, 100 m north of Korffs (Pig) Islet	2017-03-02T15:50:02	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44771	present			Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748	Female	cheilorhynchus	species	1d75dfab-329d-422b-8203-10a366fbdf89	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH']	2	59	22.48	35.46	1992-06-26	709516800000.0	709516800000.0	709516800000.0	1992.0	0.009			
PreservedSpecimen	J59560	Pycnogonida	co119	1000	Australia	-42.18	148.35	Callipallenidae	POINT (148.35000 -42.18000)	Stylopallene	1	NMV	Animalia	Forestier Peninsula, South of Deep Glen Bay, Fok Rock	2017-02-09T13:28:09	J59560	present	1	individuals	Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748		cheilorhynchus	species	1f37b6a9-f683-4bad-af61-4a52607daa8a	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['ON_LAND']	-11	-21	14.89	35.33	2013-07-12	1373587200000.0	1373587200000.0	1373587200000.0	2013.0		12.0	10.0	11.0
PreservedSpecimen	J12989	Pycnogonida	co119	1000	Australia	-38.53	145.33	Callipallenidae	POINT (145.33000 -38.53000)	Stylopallene	1	NMV	Animalia	Half Tide Rock, Cape Woolamai	2017-02-10T11:39:45	J12989	present	1	individuals	Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748	Unknown	cheilorhynchus	species	1fb9b8cb-935f-441b-a5b4-b125c9b29755	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH', 'ON_LAND']	-16	-522	15.74	35.72	1977-06-05	234316800000.0	234316800000.0	234316800000.0	1977.0				
PreservedSpecimen	J13000	Pycnogonida	co119	1000	Australia	-38.1	144.88	Callipallenidae	POINT (144.88000 -38.10000)	Stylopallene	1	NMV	Animalia	Port Phillip Bay (Area 59)	2017-02-10T11:39:49	J13000	present	1	individuals	Arthropoda	Stylopallene cheilorhynchus	urn:lsid:marinespecies.org:taxname:239748	Unknown	cheilorhynchus	species	28c1cd19-81e5-4435-abd1-6c9365e8297e	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene cheilorhynchus	2	1065	1274	1302	1358	379601	379609	1564	236298	239748	239748	Stylopallene cheilorhynchus	['NO_DEPTH']	19	14843	15.77	35.69	1959-04-07	-338860800000.0	-338860800000.0	-338860800000.0	1959.0				
