basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	institutionCode	scientificNameAuthorship
HumanObservation	15887	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	47.0	-9.0	1976-07-01T00:00:00+00:00	Sanders epibenthic sledge_197671_DS/E-16_NA	00:00:00+00:00	Nymphonidae	DS/E-16	EPSG:4326	Nymphon	STOCK Jan	Animalia	en	Golfe de Gascogne	4268.0	4268	2022-01-18 09:29:51	7	Ifremer_bio_dba_15887	present	Pantopoda	Arthropoda	LAUBIER Lucien	Sanders epibenthic sledge	Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693	laterospinum	1976	0ace8621-c8d8-4e5f-becd-97fdf4ab9985	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4268.0	205027200000	205027200000	205027200000	1976	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4464.4	329692	14.83	35.66			
HumanObservation	Deepsea_Pycnogonida_8956	Pycnogonida	Deep-sea Fauna of European Seas: Pycnogonida		https://marineinfo.org/id/dataset/5146			47.51	-9.66	1976/1976			Nymphonidae			Nymphon		Animalia		INCAL, St. WS 10		4354	2016-03-24 10:26:12		Deepsea_Pycnogonida_8956	present	Pantopoda	Arthropoda			Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693		1976	0c9ad41e-cffa-4bba-9a7c-a2668e53a5de	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4354.0	189302400000	205027200000	220838400000	1976	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4303.0	351323	14.58	35.64	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	Stock, 1963
HumanObservation	20629	Pycnogonida	bio_dba		https://marineinfo.org/id/dataset/490	Bigood	1	46.0	-10.0	1974-10-01T00:00:00+00:00	Beam trawl_1974101_CP / CPH-15_NA	00:00:00+00:00	Nymphonidae	CP / CPH-15	EPSG:4326	Nymphon	STOCK Jan	Animalia	en	Golfe de Gascogne	4715.0	4715	2022-01-18 09:29:51	10	Ifremer_bio_dba_20629	present	Pantopoda	Arthropoda	LAUBIER Lucien	Beam trawl	Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693	laterospinum	1974	151d59ed-af97-4728-aca5-6c0417825e45	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4715.0	149817600000	149817600000	149817600000	1974	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4815.0	297243	15.17	35.7			
HumanObservation	Deepsea_Pycnogonida_8950	Pycnogonida	Deep-sea Fauna of European Seas: Pycnogonida		https://marineinfo.org/id/dataset/5146			46.45	-9.6	1976/1976			Nymphonidae			Nymphon		Animalia		INCAL, St. OS 06		4316	2016-03-24 10:26:12		Deepsea_Pycnogonida_8950	present	Pantopoda	Arthropoda			Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693		1976	167d5253-3f94-4d5b-a78b-fcfd2be5cc6a	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4316.0	189302400000	205027200000	220838400000	1976	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4770.0	326521	15.0	35.68	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	Stock, 1963
HumanObservation	33430	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	47.0	-9.0	1974-02-01T00:00:00+00:00	Sanders epibenthic sledge_197421_DS/E-60_NA	00:00:00+00:00	Nymphonidae	DS/E-60	EPSG:4326	Nymphon	STOCK Jan	Animalia	en	Golfe de Gascogne	3742.0	3742	2022-01-18 09:29:51	2	Ifremer_bio_dba_33430	present	Pantopoda	Arthropoda	CHARDY Pierre	Sanders epibenthic sledge	Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693	laterospinum	1974	187c81ed-602f-4ece-b8a2-436f27a38868	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3742.0	128908800000	128908800000	128908800000	1974	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4464.4	329692	14.83	35.66			
HumanObservation	Deepsea_Pycnogonida_8958	Pycnogonida	Deep-sea Fauna of European Seas: Pycnogonida		https://marineinfo.org/id/dataset/5146			47.5	-9.55	1976/1976			Nymphonidae			Nymphon		Animalia		INCAL, St. DS 16		4268	2016-03-24 10:26:12		Deepsea_Pycnogonida_8958	present	Pantopoda	Arthropoda			Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693		1976	21dbe681-149b-4903-8eae-f894b00fa484	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4268.0	189302400000	205027200000	220838400000	1976	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4288.0	343883	14.61	35.64	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	Stock, 1963
HumanObservation	33597	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	47.0	-9.0	1974-02-01T00:00:00+00:00	Sanders epibenthic sledge_197421_DS/E-56_NA	00:00:00+00:00	Nymphonidae	DS/E-56	EPSG:4326	Nymphon	STOCK Jan	Animalia	en	Golfe de Gascogne	4050.0	4050	2022-01-18 09:29:51	2	Ifremer_bio_dba_33597	present	Pantopoda	Arthropoda	CHARDY Pierre	Sanders epibenthic sledge	Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693	laterospinum	1974	22cd2291-461c-4573-a967-da248e7eff5b	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4050.0	128908800000	128908800000	128908800000	1974	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4464.4	329692	14.83	35.66			
HumanObservation	Deepsea_Pycnogonida_8949	Pycnogonida	Deep-sea Fauna of European Seas: Pycnogonida		https://marineinfo.org/id/dataset/5146			40.73	-16.23	1972/1972			Nymphonidae			Nymphon		Animalia		“Chain”, St. 334		4400	2016-03-24 10:26:12		Deepsea_Pycnogonida_8949	present	Pantopoda	Arthropoda			Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693		1972	24809950-166c-4c5d-b72c-9ed4e51d841d	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4400.0	63072000000	78796800000	94608000000	1972	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4200.0	584925	17.32	36.05	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	Stock, 1963
HumanObservation	Deepsea_Pycnogonida_8955	Pycnogonida	Deep-sea Fauna of European Seas: Pycnogonida		https://marineinfo.org/id/dataset/5146			47.46	-9.56	1976/1976			Nymphonidae			Nymphon		Animalia		INCAL, St. WS 09	4294.0	4277	2016-03-24 10:26:12		Deepsea_Pycnogonida_8955	present	Pantopoda	Arthropoda			Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693		1976	2d801371-32ca-4e17-83e7-463eea1256a6	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4285.5	189302400000	205027200000	220838400000	1976	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4191.0	346094	14.61	35.64	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	Stock, 1963
HumanObservation	15498	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	46.0	-9.0	1976-07-01T00:00:00+00:00	Oban epibenthic sledge_197671_OS-6_NA	00:00:00+00:00	Nymphonidae	OS-6	EPSG:4326	Nymphon	STOCK Jan	Animalia	en	Golfe de Gascogne	4316.0	4316	2022-01-18 09:29:51	7	Ifremer_bio_dba_15498	present	Pantopoda	Arthropoda	LAUBIER Lucien	Oban epibenthic sledge	Nymphon laterospinum	urn:lsid:marinespecies.org:taxname:134693	laterospinum	1976	2f335c30-aa69-438e-aa8c-871884bc41c1	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4316.0	205027200000	205027200000	205027200000	1976	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon laterospinum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134693	134693	Nymphon laterospinum	[]	4848.4	262742	15.2	35.7			
