basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	dynamicProperties	eventDate	fieldNumber	individualCount	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	recordedBy	samplingEffort	scientificNameAuthorship	sex	specificEpithet	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	coordinateUncertaintyInMeters	countryCode	eventID	footprintWKT	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionID	language	organismQuantity	organismQuantityType	preparations	samplingProtocol	taxonRank	type	verbatimEventDate	bibliographicCitation	continent	country
HumanObservation	23243	SOMBASE Pycnogonids	-54.6665992737	-57.0833015442	BAS	128.0	124.0	Nymphon subtile	urn:lsid:marinespecies.org:taxname:240326	0ac06c2e-3218-4833-8755-7cdf0fdc0adc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	126.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon subtile	[]	143.0	238560	5.48	34.04																																												
Occurrence	66458	IMERS	47.78233337402344	-8.023833274841309	MARBIOL Ugent	650.0	650.0	Nymphon subtile	urn:lsid:marinespecies.org:taxname:379197	10755464-3835-4bee-ae11-408eaa0dfba4	a6c5a265-a845-4f8c-8759-b47f1fdf8b26	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	650.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon gracile	[]	645.0	225653	14.26	35.59	https://marineinfo.org/id/dataset/137	24	SampleSize=ind/100m²; ObservedWeight=0.0310231;	1995-09-24	IMPULS(Dewicke) Bio us650 24/09/1995	0.3102314	Celtic Sea (us650)	2004-05-01 00:00:00	9	urn:catalog:MARBIOL Ugent:IMERS:66458	unit observed weight: mg ADW /100 m²	present	Dewicke Ann	ind/100m²	Schimkewitsch, 1890	U	gracile	1995	811900800000.0	811900800000.0	811900800000.0	1995.0	Biota	1.0																				
PreservedSpecimen	JR17003a_0085_3_EBS_E_35		-64.0483	-58.4648	BAS	787.0	727.0	Nymphon subtile	urn:lsid:marinespecies.org:taxname:240326	10dbb66c-6c7b-4114-ac1a-df3139b6649b	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	757.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon subtile	[]	815.0	1821	-1.52	32.67		5		2018-03-05	JR17003a_035				3	JR17003a_0085_3_EBS_E_35		Present			Loman, 1923		subtile	2018	1520208000000.0	1520208000000.0	1520208000000.0	2018.0	Biota	1.0	305	AQ	JR17003a	LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	EPSG:4326	More teeth on finger than described and aux claw shorter. could be N. pfefferi	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	1	individuals	Whole animal in 96% ethanol	epibenthic sledge|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	species	PhysicalObject	5/3/2018			
humanobservation	422	OC - Pycnogonida	-62.1526	-58.44548	University of Lodz		290.0	Nymphon subtile	urn:lsid:marinespecies.org:taxname:240326	19538f88-6894-4a3d-b8ae-77270bf3bfc4	f1e773cb-e896-45b0-8a1e-faded8facb33	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	290.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon subtile	[]	241.0	962	-0.5	34.04	IMIS:dasid:1649	30		1985-01-30			Admiralty Bay	2008-05-05	1	urn:catalog:University of Lodz:OC - Pycnogonida:422_0061			Sicinski Jacek		Loman, 1923			1985	475891200000.0	475891200000.0	475891200000.0	1985.0									Bamber Roger											Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)	Antarctica	
HumanObservation	23240	SOMBASE Pycnogonids	-52.8166007996	-67.6166000366	BAS	66.0	66.0	Nymphon subtile	urn:lsid:marinespecies.org:taxname:240326	1fa1bd61-331c-40b3-8c82-19c507fa31f6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	66.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon subtile	[]	87.0	47356	6.86	34.05																																												
HumanObservation	34571	SOMBASE Pycnogonids	-46.0	-60.0833015442	BAS	256.0	150.0	Nymphon subtile	urn:lsid:marinespecies.org:taxname:240326	22de056a-0f6d-418b-990d-4c35a0d5d782	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	203.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon subtile	[]	389.0	422735	8.44	34.07																																												
Occurrence	122/7	Marine Life List of Ireland	52.2759	-6.374483333	Ecoserve			Nymphon subtile	urn:lsid:marinespecies.org:taxname:379197	27b5790b-4a0e-4131-afb1-c27ae03d49a1	a97def2e-3a89-4a40-83c3-82ed18859ed1	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon gracile	['NO_DEPTH']	3.8	804	11.72	34.39	https://marineinfo.org/id/dataset/1947	7		2002-11-07			Wexford	2009-05-05 23:59:28	11	urn:catalog:Ecoserve:Marine Life List of Ireland:122/7:0x37BB8F0001000400	122/7(MLL code); sublittoral; biological; dredge	present			Schimkewitsch, 1890		gracile	2002	1036627200000.0	1036627200000.0	1036627200000.0	2002.0	Biota	1.0																				Ireland
HumanObservation	23236	SOMBASE Pycnogonids	-53.8216018677	-70.4166030884	BAS	29.0	13.0	Nymphon subtile	urn:lsid:marinespecies.org:taxname:240326	3219a403-0de0-44f0-8642-8694f4207eb6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	21.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon subtile	[]	49.0	1275	6.98	33.79																																												
Occurrence	70768	IMERS	51.4716796875	2.898587703704834	MARBIOL Ugent			Nymphon subtile	urn:lsid:marinespecies.org:taxname:379197	36573fda-bdda-4d0d-ab70-df03a15fd109	6a443ad0-f5b6-4f2f-869f-94615eb75a0e	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon gracile	['NO_DEPTH']	17.6	22552	12.43	32.74	https://marineinfo.org/id/dataset/162	17	SampleSize=ind/100m³; ObservedWeight=0.19;	1998-02-17	PODO-I(Willems) Bio5 vjGO 17/02/1998	1.91	Goote Bank (GOvj5)	2004-06-01 00:00:00	2	urn:catalog:MARBIOL Ugent:IMERS:70768	unit observed weight: mg ADW /100 m³	present	Cattrijsse André	ind/100m³	Schimkewitsch, 1890	U	gracile	1998	887673600000.0	887673600000.0	887673600000.0	1998.0	Biota	1.0																				
Occurrence	12591	RMP_Heye_Greiferdaten_German	55.10458	14.1683	IFM-GEOMAR		45.0	Nymphon subtile	urn:lsid:marinespecies.org:taxname:379197	3b61e498-ba5a-4757-8f23-e14f9aac9037	cad31b12-0f59-4abf-9109-cb09ea40c297	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	45.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon subtile	2	1065	1274	1302	1358	379601	379609	1566	134591	240326	240326	Nymphon gracile	[]	47.0	30294	9.9	7.2	https://marineinfo.org/id/dataset/1838	24		1969-10-24			ARK-178	2012-04-02 13:38:17	10	urn:catalog:IFM-GEOMAR:RMP_Heye_Greiferdaten_German:12591	gear type:Van Veen; sediment:Schlick	present						1969	-5961600000.0	-5961600000.0	-5961600000.0	1969.0	Biota	1.0							Schulz, S. (1973)											Schulz, S. (1973) Biologische Untersuchungen während des internationalen Ostseejahres 1969/70	Southern Baltic Sea	
