associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	231730.183765	Invertebrate Zoology: Crustacea	Nigeria	22	4.76999998093	7.17778015137	observedindividualcount=9;	1986-05-22T12:00:00Z	Child, C. Allan	9.0	USNM	;; juvenile	Bonny River, Port Harcourt Harbor, Primrose Creek, 1 Km Wof Abonnema Wharf	5	Alcohol (Ethanol)	C. Powell	Anoplodactylus jungersi	Fage	urn:lsid:marinespecies.org:taxname:240353	male; female;;	North Atlantic Ocean	1986	27ccfaef-d0a3-4694-ab11-009ced495716	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	517104000000	517104000000	517104000000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus jungersi	2	1065	1274	1302	1358	379601	379610	14469	134592	240353	240353	Anoplodactylus jungersi	['NO_DEPTH', 'ON_LAND']	-22	-12094
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	231725.183760	Invertebrate Zoology: Crustacea	Nigeria	20	4.71250009537	7.03749990463	observedindividualcount=5;	1986-06-20T12:00:00Z	Child, C. Allan	5.0	USNM	;; juvenile	Bonny River, Eaglesome Point, Primrose Creek, 7 Km SE Of Port Harcourt Harbor	6	Alcohol (Ethanol)	C. Powell	Anoplodactylus jungersi	Fage	urn:lsid:marinespecies.org:taxname:240353	male; female;;	North Atlantic Ocean	1986	e1d2e98d-3e05-48e7-9cc9-4252f35b7821	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	519609600000	519609600000	519609600000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus jungersi	2	1065	1274	1302	1358	379601	379610	14469	134592	240353	240353	Anoplodactylus jungersi	['NO_DEPTH', 'ON_LAND']	-1	-1134
