basisOfRecord	catalogNumber	collectionCode	coordinatePrecision	country	county	decimalLatitude	decimalLongitude	eventDate	identifiedBy	institutionCode	locality	month	occurrenceRemarks	recordedBy	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	fieldNumber
HumanObservation	SAMC-MBR-010597	MBR	100.0	South Africa	Western Cape	-34.1166000366	18.4333000183	1993-02-15T00:00:00Z	CL Griffiths	SAMC	Kalk Bay	2	Preparation:alch;Preservative:70% EtOH	CL Griffiths	Queubus jamesanus	urn:lsid:marinespecies.org:taxname:214686	1993	15dd2058-8ad0-4b9d-ad01-ef556858b370	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	729734400000.0	729734400000.0	729734400000.0	1993.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Queubus	Queubus jamesanus	2	1065	1274	1302	1358	379601	379608	379616	205261	214686	214686	Queubus jamesanus	['NO_DEPTH', 'ON_LAND']	-398	-1826	16.66	35.31	
HumanObservation	SAMC-MBR-000130	MBR	100.0	South Africa	Western Cape	-34.1166992188	18.4333000183	1993-05-16T12:00:00Z	CL Griffiths	SAMC	Kalk Bay, False Bay	5	Preparation:alch	CL Griffiths	Queubus jamesanus	urn:lsid:marinespecies.org:taxname:214686	1993	4132d941-7d47-4470-b073-e2617c9bf225	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	737510400000.0	737510400000.0	737510400000.0	1993.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Queubus	Queubus jamesanus	2	1065	1274	1302	1358	379601	379608	379616	205261	214686	214686	Quebus jamesanus	['NO_DEPTH', 'ON_LAND']	-131	-1816	16.66	35.31	A40984
HumanObservation	37207	SOMBASE Pycnogonids				-35.4500007629	23.4899997711			BAS					Queubus jamesanus	urn:lsid:marinespecies.org:taxname:214686		d3bac2a2-8ccd-46ad-b876-7af6c8889ec1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Queubus	Queubus jamesanus	2	1065	1274	1302	1358	379601	379608	379616	205261	214686	214686	Queubus jamesanus	['NO_DEPTH']	1798	149036	21.47	35.43	
