basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	locality	references	specificEpithet	typeStatus
HumanObservation	36894AE5-088D-49D2-8C7F-08AC7CFD759C	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.50239	145.5589	2009-02-27	Austrodecidae	POINT (145.55890 -14.50239)	Austrodecus	AIMS	Animalia	30.0	30.0	2018-07-13T09:31:39	36894AE5-088D-49D2-8C7F-08AC7CFD759C	present	1	individuals	Arthropoda	Austrodecus childi	Arango, 2003	urn:lsid:marinespecies.org:taxname:239756	species	39550065-b170-4ca9-98d8-cf8b75038540	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	30.0	1235692800000	1235692800000	1235692800000	2009	False	False	True	False	Biota	Chelicerata	Pantopoda	Stiripasterida	Austrodecus childi	1	2	1065	1274	1302	1358	379600	22616	134579	239756	239756	Austrodecus childi	[]	4.79	19415	26.66	34.88						
PreservedSpecimen	sm_id_1736	Pycnogonida	WoRMS type localities				-18.82	146.43	1999/2000	Austrodecidae		Austrodecus	WoRMS Editorial Board	Animalia			2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1736	present			Arthropoda	Austrodecus childi	Arango, 2003	urn:lsid:marinespecies.org:taxname:239756		a62d49ec-d9ab-4771-a2f7-a118501cf890	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		915148800000	946684800000	978220800000	2000	False	False	True	False	Biota	Chelicerata	Pantopoda	Stiripasterida	Austrodecus childi	1	2	1065	1274	1302	1358	379600	22616	134579	239756	239756	Austrodecus childi	['NO_DEPTH']	14.88	604	25.67	35.24	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus childi</i> Arango, 2003. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239756	https://marineinfo.org/id/dataset/5184	Coral Sea	http://www.marinespecies.org/aphia.php?p=specdetails&id=1736	childi	holotype
