basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	recordNumber	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	continent	country	countryCode	datasetID	datasetName	eventID	eventRemarks	institutionID	locality	locationID	municipality	organismID	parentNameUsageID	samplingProtocol	specificEpithet	stateProvince	taxonID	taxonomicStatus	waterBody	coordinatePrecision	sex	individualCount	occurrenceRemarks	associatedReferences	day	dynamicProperties	month	preparations	year
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04787	Pycnogonida	MIIC	200	-27.808	113.297	2005-12-05 00:00	Colossendeidae	SS200510-096	POINT (113.29700 -27.80800)	Rhopalorhynchus	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	123.0	123.0	2023-07-11T05:57:34	urn:csiro:MIIC:MIIC-04787	present	1	individuals	Arthropoda	SS200510_096_025	Karen Gowlett-Holmes	Rhopalorhynchus sibogae	Stock, 1958	urn:lsid:marinespecies.org:taxname:239775	species	0f7689c5-06b3-463b-be90-c570d3bc3f34	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	123.0	1133740800000.0	1133740800000.0	1133740800000.0	2005.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus sibogae	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239775	239775	Rhopalorhynchus sibogae Stock, 1958	[]	113	61055	22.91	35.23																															
PreservedSpecimen		S12184	Pycnogonida	OGL		-27.8125991821289	113.299003601074		Colossendeidae			Rhopalorhynchus		Claudia Arango	OGL	Animalia		100.0		OGL_MSC_NortheasternUniversity_S12184	present			Arthropoda	P72804		Rhopalorhynchus sibogae	Stock, 1958	urn:lsid:marinespecies.org:taxname:239775	Species	12f1a8cb-e65e-4723-a950-6ce4491b2881	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	100.0					False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus sibogae		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239775	239775	Rhopalorhynchus sibogae	[]	121	60512	22.91	35.23	BOLD ID: P72804	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Oceania	Australia	AU	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	CE02201	Collection Event Notes: Collector name listed as CSIRO SS10/05	8c116cac-9394-4c4e-be14-06184bdc62bd	Kalbarri	CL01284	Kalbarri	S12184	182869	ND	sibogae	Western Australia	T02264	accepted	Indian Ocean										
PreservedSpecimen		P.72807	Pycnogonida	co113	10000	-24.6211	112.666	2005-12-07	Colossendeidae		POINT (112.66600 -24.62110)	Rhopalorhynchus			AM	Animalia			2017-03-02T12:39:06	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72807	present			Arthropoda			Rhopalorhynchus sibogae		urn:lsid:marinespecies.org:taxname:239775	Species	7a5dd529-e63e-41cf-bd6d-cccc5a2c2850	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		1133913600000.0	1133913600000.0	1133913600000.0	2005.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus sibogae		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239775	239775	Rhopalorhynchus sibogae	['NO_DEPTH']	100	51504	24.42	35.08											Carnarvon						sibogae					0.0896	Male								
HumanObservation			Pycnogonida	CMAR_WA_2005	500	-27.8103	113.298	2005-12-04T04:54:00Z	Colossendeidae	SS200510:96	LINE (113.2970  -27.8080, 113.2990  -27.8126)	Rhopalorhynchus			CSIRO, Australia	Animalia	123.0	112.0	2022-08-24T00:42:27	CC-SS200510-96-661142-33014017	present	1	individuals	Arthropoda			Rhopalorhynchus sibogae	Stock, 1958	urn:lsid:marinespecies.org:taxname:239775		7c4fdfc4-892f-47f2-a5ed-1979ab009824	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	117.5	1133654400000.0	1133654400000.0	1133654400000.0	2005.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus sibogae		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239775	239775	Rhopalorhynchus sibogae	[]	121	60783	22.91	35.23				Australia				SS200510:96			Survey area													1	Occurrence Type: Catch composition Catch method: Catch						
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149238.112754	Pycnogonida	Invertebrate Zoology: Crustacea		-25.5	112.483001709	1963-10-09T12:00:00Z	Colossendeidae			Rhopalorhynchus		Child, C. Allan	USNM	Animalia	130.0	130.0						Arthropoda		CSIRO, Commonwealth Scientific & Industrial Organisation	Rhopalorhynchus sibogae	Stock	urn:lsid:marinespecies.org:taxname:239775		9b0a05c8-c966-4ccb-864b-50d193c932b6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	130.0	-196646400000.0	-196646400000.0	-196646400000.0	1963.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus sibogae		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239775	239775	Rhopalorhynchus sibogae	[]	134	44785	24.02	35.11				Australia							NW Of Dirk Hartogs Island							Western Australia			Indian Ocean			1.0		National Museum of Natural History, Smithsonian Institution	9	observedindividualcount=1;	10	Alcohol (Ethanol)	1963
PreservedSpecimen		P.75552	Pycnogonida	co113	1000	-38.583	142.82499	1988-04-28	Colossendeidae		POINT (142.82499 -38.58300)	Rhopalorhynchus			AM	Animalia			2017-03-02T13:03:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.75552	present			Arthropoda			Rhopalorhynchus sibogae		urn:lsid:marinespecies.org:taxname:239775	Species	ce2f3c1b-339d-4a24-953d-0e5a6734c275	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		578188800000.0	578188800000.0	578188800000.0	1988.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus sibogae		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239775	239775	Rhopalorhynchus sibogae	['NO_DEPTH']	-4	90	15.68	35.58				Australia							Bay of Islands						sibogae					0.009	Female								
HumanObservation			Pycnogonida	CMAR_WA_2005	500	-24.6211	112.666	2005-12-07T08:42:10Z	Colossendeidae	SS200510:120	LINE (112.6660  -24.6194, 112.6660  -24.6228)	Rhopalorhynchus			CSIRO, Australia	Animalia	100.0	100.0	2022-08-24T00:43:09	CC-SS200510-120-661009-33014017	present	1	individuals	Arthropoda			Rhopalorhynchus sibogae	Stock, 1958	urn:lsid:marinespecies.org:taxname:239775		dc25f6ab-ea9b-463a-99c2-11bdf622f8b1	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	100.0	1133913600000.0	1133913600000.0	1133913600000.0	2005.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus sibogae		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239775	239775	Rhopalorhynchus sibogae	[]	100	51504	24.42	35.08				Australia				SS200510:120			Survey area													1	Occurrence Type: Catch composition Catch method: Catch						
PreservedSpecimen		P.72804	Pycnogonida	co113	10000	-27.8103	113.29799	2005-12-04	Colossendeidae		POINT (113.29799 -27.81030)	Rhopalorhynchus			AM	Animalia			2017-03-02T12:39:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72804	present			Arthropoda			Rhopalorhynchus sibogae		urn:lsid:marinespecies.org:taxname:239775	Species	dc9d6432-405c-4bce-bd21-a491126a8318	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		1133654400000.0	1133654400000.0	1133654400000.0	2005.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Rhopalorhynchus sibogae		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239775	239775	Rhopalorhynchus sibogae	['NO_DEPTH']	121	60784	22.91	35.23											Kalbarri						sibogae					0.0896	Female								
