basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	organismQuantity	organismQuantityType	maximumDepthInMeters	minimumDepthInMeters	depth	bibliographicCitation	datasetID	day	month	references	scientificNameAuthorship	typeStatus	year	superdomain	superdomainid
PreservedSpecimen	P.71964	Pycnogonida	co113	0.0896	10000	Australia	-34.75	135.883	1985-02-15	Ammotheidae	POINT (135.88300 -34.75000)	Ammothea	AM	Animalia	Port Lincoln, Billy Lights Point	2017-03-02T12:36:52	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71964	present	Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393	Female	ovatoides	species	012516e0-1d9a-4c72-b430-7fed51bc1d2d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	477273600000.0	477273600000.0	477273600000.0	1985.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	['NO_DEPTH', 'ON_LAND']	-10	-340	17.2	36.18																
PreservedSpecimen	J53621	Pycnogonida	co119		1000	Australia	-38.27	144.7	2003-05-07	Ammotheidae	POINT (144.70000 -38.27000)	Ammothea	NMV	Animalia	Mornington Pier, Port Phillip Bay	2017-02-09T12:08:53	J53621	present	Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393	Female	ovatoides	species	1c5e73b8-8be4-4f1d-8168-a1f3d9fb463d	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1052265600000.0	1052265600000.0	1052265600000.0	2003.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	['NO_DEPTH']	4	704	15.77	35.69	1	1	individuals													
PreservedSpecimen	P.72187	Pycnogonida	co113	0.0009	100	Australia	-37.1	149.92999	1996-11-04	Ammotheidae	POINT (149.92999 -37.10000)	Ammothea	AM	Animalia	Eden, Harris-Daishowa woodchip berth	2017-03-02T12:37:30	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72187	present	Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393	Male	ovatoides	species	384962a0-c47f-4a03-9908-3d414b863745	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	847065600000.0	847065600000.0	847065600000.0	1996.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	['NO_DEPTH']	-12	66	18.0	35.56																
PreservedSpecimen	P.43098	Pycnogonida	co113	0.0896	10000	Australia	-32.433	152.533	1981-01-14	Ammotheidae	POINT (152.53300 -32.43300)	Ammothea	AM	Animalia	Sugarloaf Point, large rock pool	2017-03-02T16:19:09	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43098	present	Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393		ovatoides	species	6156457b-e36b-4e32-ab2b-6670c3189a92	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	348278400000.0	348278400000.0	348278400000.0	1981.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	['NO_DEPTH']	-1	213	21.34	35.53																
PreservedSpecimen	P.43096	Pycnogonida	co113	0.0896	10000	Australia	-32.433	152.533	1981-01-14	Ammotheidae	POINT (152.53300 -32.43300)	Ammothea	AM	Animalia	Sugarloaf Point, large rock pool	2017-03-02T16:19:08	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43096	present	Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393	Female	ovatoides	species	7a98ca8c-a305-4eb1-93ff-e21b68bd7c23	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	348278400000.0	348278400000.0	348278400000.0	1981.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	['NO_DEPTH']	-1	213	21.34	35.53																
HumanObservation	39896	Pycnogonida	SOMBASE Pycnogonids				-43.1329994202	147.965606689		Ammotheidae		Ammothea	BAS	Animalia					Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393				a9b3f9a3-1733-4aea-a466-acb4736d193b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	[]	-5	525	14.3	35.27				21.0	21.0	21.0										
PreservedSpecimen	P.36556	Pycnogonida	co113	0.009	1000	Australia	-37.10333	149.92832	1985-06-27	Ammotheidae	POINT (149.92832 -37.10333)	Ammothea	AM	Animalia	Twofold Bay, Munganno Point	2017-03-02T17:18:22	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.36556	present	Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393	Female	ovatoides	species	de22a0d8-a67f-4b5f-9639-190347d76cc4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	488678400000.0	488678400000.0	488678400000.0	1985.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	['NO_DEPTH', 'ON_LAND']	-12	-10	18.0	35.56																
PreservedSpecimen	sm_id_674	Pycnogonida	WoRMS type localities				-35.63	138.58	1970-01-11	Ammotheidae		Ammothea	WoRMS Editorial Board	Animalia	South Indian Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_674	present	Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393		ovatoides		f16d5555-e65d-4efc-bd19-6dde1fbb0c35	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	864000000.0	864000000.0	864000000.0	1970.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	[]	32	2378	16.76	35.86					5.0	5.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea ovatoides</i> Stock, 1973. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240393	https://marineinfo.org/id/dataset/5184	11	1	http://www.marinespecies.org/aphia.php?p=specdetails&id=674	Stock, 1973	holotype	1970	Biota	1.0
PreservedSpecimen	P.78383	Pycnogonida	co113	0.009	1000		-29.45666	159.06166	1987-12-05	Ammotheidae	POINT (159.06166 -29.45666)	Ammothea	AM	Animalia	"Middleton Reef, outer reef edge near ""Runic"" wreck"	2017-03-02T13:00:45	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78383	present	Arthropoda	Ammothea ovatoides	urn:lsid:marinespecies.org:taxname:240393		ovatoides	species	f3de7c79-de75-4118-80f4-37bcbe0b57b1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	565660800000.0	565660800000.0	565660800000.0	1987.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea ovatoides	2	1065	1274	1302	1358	379601	379608	1562	134569	240393	240393	Ammothea ovatoides	['NO_DEPTH']	2	225651	22.23	35.64																
