associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	county	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	minimumDepthInMeters	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	lifeStage	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180159.136115	Invertebrate Zoology: Crustacea	United States	Brevard County	12	27.8583297729	-80.4516677856	observedindividualcount=3;	1978-11-12T12:00:00Z	Child, C. Allan	3.0	USNM	Sebastian Inlet, Indian River, N Shore	1.0	11	Alcohol (Ethanol)	P. Mikkelsen	Ascorhynchus latipes	(Cole)	urn:lsid:marinespecies.org:taxname:266332	Florida	North Atlantic Ocean	1978	57680ed7-4793-4463-b575-e5cfb838ca01	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.0	279676800000.0	279676800000.0	279676800000.0	1978.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus latipes	2	1065	1274	1302	1358	379601	379608	379788	134571	266332	266332	Ascorhynchus latipes	['ON_LAND']	-1	-487	25.08	36.24								
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-008_E2	B89PII				18.3952617645	-94.021156311			Child, C. A.		HRI	SSW  Gulf of Mexico	10.0				Ascorhynchus latipes	Cole,	urn:lsid:marinespecies.org:taxname:266332		Gulf of Mexico		76e083d2-a9c3-4dd3-96c6-330ee5adc43a	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus latipes	2	1065	1274	1302	1358	379601	379608	379788	134571	266332	266332	Ascorhynchus latipes	[]	76	15565	26.98	35.02	612870.0	0.0	Database description and disclaimer at: http://gulfbase.org/	0-10	Biota	1.0		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	173677.130433	Invertebrate Zoology: Crustacea	Dominican Republic		13	18.4591693878	-69.9044418335	observedindividualcount=1;	1969-02-13T12:00:00Z	Child, C. Allan	1.0	USNM	Santo Domingo, Guibia		2	Alcohol (Ethanol)	M. Jones	Ascorhynchus latipes	(Cole)	urn:lsid:marinespecies.org:taxname:266332		North Atlantic Ocean	1969	7e2ecae9-af24-46b4-a318-168906e0d476	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-27820800000.0	-27820800000.0	-27820800000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus latipes	2	1065	1274	1302	1358	379601	379608	379788	134571	266332	266332	Ascorhynchus latipes	['NO_DEPTH']	-13	23	27.89	34.99							ovigerous	male
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228094.180312	Invertebrate Zoology: Crustacea	Belize		4	16.8033294678	-88.0766677856	observedindividualcount=1;	1980-04-04T12:00:00Z	Child, C. Allan	1.0	USNM	Carrie Bow Cay	9.0	4	Alcohol (Ethanol)	G. Hendler	Ascorhynchus latipes	(Cole)	urn:lsid:marinespecies.org:taxname:266332		North Atlantic Ocean	1980	8167bc28-0a72-4d98-b411-6bb42f4b0d4e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	323654400000.0	323654400000.0	323654400000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus latipes	2	1065	1274	1302	1358	379601	379608	379788	134571	266332	266332	Ascorhynchus latipes	[]	12	483	28.13	35.55		3.0					juvenile	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80854.273580	Invertebrate Zoology: Crustacea	United States			24.6669998169	-81.5830001831	observedindividualcount=1;	1924-08-31T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Florida Keys, Dry Tortugas		8	Alcohol (Ethanol)	W. Schmitt	Ascorhynchus latipes	(Cole)	urn:lsid:marinespecies.org:taxname:266332	Florida	North Atlantic Ocean	1924	8a8c92f8-cf07-432c-898e-a99d345dac30	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-1430697600000.0	-1430697600000.0	-1430697600000.0	1924.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus latipes	2	1065	1274	1302	1358	379601	379608	379788	134571	266332	266332	Ascorhynchus latipes	['NO_DEPTH']	2	400	26.67	36.09								male
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-008_E1	B89PII				18.211057663	-94.1317977905			Child, C. A.		HRI	SSW  Gulf of Mexico	10.0				Ascorhynchus latipes	Cole,	urn:lsid:marinespecies.org:taxname:266332		Gulf of Mexico		91e7ca67-1e88-4d97-9f11-4d2e902c203c	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus latipes	2	1065	1274	1302	1358	379601	379608	379788	134571	266332	266332	Ascorhynchus latipes	['ON_LAND']	-7	-240	26.97	34.87	542540.0	0.0	Database description and disclaimer at: http://gulfbase.org/	0-10	Biota	1.0		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180123.136079	Invertebrate Zoology: Crustacea	United States	St. Lucie County	28	27.5	-80.2833328247	observedindividualcount=1;	1977-04-28T12:00:00Z	Child, C. Allan	1.0	USNM	Third Reef S of Pepper State Park	5.5	4	Alcohol (Ethanol)	L. Edmiston	Ascorhynchus latipes	(Cole)	urn:lsid:marinespecies.org:taxname:266332	Florida	North Atlantic Ocean	1977	e68aee05-06c0-490f-bb5a-6e2dea04d502	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.5	231033600000.0	231033600000.0	231033600000.0	1977.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus latipes	2	1065	1274	1302	1358	379601	379608	379788	134571	266332	266332	Ascorhynchus latipes	[]	10	1572	25.75	36.14		5.5					juvenile	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228093.180311	Invertebrate Zoology: Crustacea	Belize		3	16.8016700745	-88.0800018311	observedindividualcount=1;	1980-04-03T12:00:00Z	Child, C. Allan	1.0	USNM	Carrie Bow Cay	2.0	4	Alcohol (Ethanol)	G. Hendler	Ascorhynchus latipes	(Cole)	urn:lsid:marinespecies.org:taxname:266332		North Atlantic Ocean	1980	f1755f43-066a-4f8f-8eca-6e294bafd8cf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.0	323568000000.0	323568000000.0	323568000000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus latipes	2	1065	1274	1302	1358	379601	379608	379788	134571	266332	266332	Ascorhynchus latipes	[]	12	135	28.13	35.55							juvenile	
