basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	eventID	fieldNumber	individualCount	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	organismQuantity	organismQuantityType	scientificNameAuthorship	depth
PreservedSpecimen	P.72800	Pycnogonida	co113	0.0896	10000	-35.33583	118.29194	2005-11-22	Callipallenidae	POINT (118.29194 -35.33583)	Parapallene	AM	Animalia	Albany	2017-03-02T12:39:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72800	present	Arthropoda	Parapallene challengeri	urn:lsid:marinespecies.org:taxname:239743	Female	challengeri	species	1ef670d9-8b9d-4f9a-b930-afd40a058318	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	1132617600000	1132617600000	1132617600000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene challengeri	2	1065	1274	1302	1358	379601	379609	1564	236293	239743	239743	Parapallene challengeri	['NO_DEPTH']	95	35287	19.04	35.58											
HumanObservation		Pycnogonida	CMAR_WA_2005		500	-35.3358	118.292	2005-11-22T11:24:40Z	Callipallenidae	LINE (118.2940  -35.3350, 118.2900  -35.3366)	Parapallene	CSIRO, Australia	Animalia	Survey area	2022-08-24T00:40:45	CC-SS200510-22-661068-33011018	present	Arthropoda	Parapallene challengeri	urn:lsid:marinespecies.org:taxname:239743				7f871048-13fb-457f-a806-9e5bb5b2c071	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	1132617600000	1132617600000	1132617600000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene challengeri	2	1065	1274	1302	1358	379601	379609	1564	236293	239743	239743	Parapallene challengeri	[]	95	35288	19.04	35.58	Australia	SS200510:22	SS200510:22	1	100.0	99.0	Occurrence Type: Catch composition Catch method: Catch	1	individuals	Calman, 1937	99.5
