associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	minimumDepthInMeters	occurrenceID	occurrenceRemarks	occurrenceStatus	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	75318.290648	Invertebrate Zoology: Crustacea	Canada	66.0	-80.0	observedindividualcount=1;	1927-08-31T12:00:00Z	Giltay, L.	1.0	USNM	Melville Peninsula, Foxe Basin	8	Alcohol (Ethanol)	R. Bartlett	Nymphon schimkewitschi	Losina-Losinsky	urn:lsid:marinespecies.org:taxname:134706	Northwest Territories	North Pacific Ocean	1927	074a6751-c9f0-4a82-af97-9f8d4e427fe5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1336089600000	-1336089600000	-1336089600000	1927	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon schimkewitschi	2	1065	1274	1302	1358	379601	379609	1566	134591	134706	134706	Nymphon schimkewitschi	['NO_DEPTH']	95	122949	-0.91	31.3						
	HumanObservation			2006B3		76.3330001831	61.1669998169		1927-8-26			ArcOD		8		Gorbunov	Nymphon schimkewitschi	Losina-Losinsky, 1929	urn:lsid:marinespecies.org:taxname:134706			1927	7d8bcb04-ac2e-4729-9957-5687e6a41979	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	-1336521600000	-1336521600000	-1336521600000	1927	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon schimkewitschi	2	1065	1274	1302	1358	379601	379609	1566	134591	134706	134706	Nymphon schimkewitschi	['DEPTH_EXCEEDS_BATH']	34	5004			26	900.0	6212	;;134706;Zarnitsa	present	900.0
	HumanObservation			2006B3		78.8799972534	80.5749969482		1934-8-30			ArcOD		8		Vagin	Nymphon schimkewitschi	Losina-Losinsky, 1929	urn:lsid:marinespecies.org:taxname:134706			1934	c2215009-3b90-472e-81e8-61a422102b2d	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	-1115251200000	-1115251200000	-1115251200000	1934	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon schimkewitschi	2	1065	1274	1302	1358	379601	379609	1566	134591	134706	134706	Nymphon schimkewitschi	['DEPTH_EXCEEDS_BATH']	38	92144	-1.07	33.91	30	400.0	9913	;;134706;Sedov	present	400.0
