basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	preparations	stateProvince	waterBody	recordedBy	sex	lifeStage
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon inferum</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173429	sm_id_2010	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	20	-64.02	-67.75	1962-10-20	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	Southern Ocean	2818.0	2763.0	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_2010	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=2010	Nymphon inferum	Child, 1995	urn:lsid:marinespecies.org:taxname:173429	inferum	holotype	1962	5ed2803c-a43f-4416-a61e-bf10aecb3051	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2790.5	-227232000000.0	-227232000000.0	-227232000000.0	1962.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	[]	2894	141402	-0.52	33.56											
HumanObservation		23160	Pycnogonida	SOMBASE Pycnogonids			-61.0332984924	-49.2332992554		Nymphonidae	Nymphon	BAS	Animalia		3876.0	3819.0					Pantopoda	Arthropoda		Nymphon inferum		urn:lsid:marinespecies.org:taxname:173429				7523a2d2-30ec-4a20-b2a2-4d6cb7efc9e1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3847.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum		2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	['DEPTH_EXCEEDS_BATH']	2660	147200	-1.15	33.93											
HumanObservation		23159	Pycnogonida	SOMBASE Pycnogonids			-58.0250015259	-45.0833015442		Nymphonidae	Nymphon	BAS	Animalia		2785.0	2785.0					Pantopoda	Arthropoda		Nymphon inferum		urn:lsid:marinespecies.org:taxname:173429				7976c41a-9edb-4c71-9c82-f0b1e04276e9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2785.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum		2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	[]	2904	264363	0.32	33.84											
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1123017.943105	Pycnogonida	Invertebrate Zoology		14	-36.9283294678	-53.0233306885	1971-03-14T12:00:00Z	Nymphonidae	Nymphon	USNM	Animalia	Cabo San Antonio, East Of	2707.0	2707.0		3			Pantopoda	Arthropoda		Nymphon inferum	Child	urn:lsid:marinespecies.org:taxname:173429			1971	7d62d9e4-f48c-4183-91ae-744cac04dd74	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2707.0	37756800000.0	37756800000.0	37756800000.0	1971.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum		2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	[]	2762	268736	18.46	35.25	National Museum of Natural History, Smithsonian Institution	Argentina	observedindividualcount=1;	Child, C. Allan	1.0	Alcohol (Ethanol)	Buenos Aires	South Atlantic Ocean			
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234685.286937	Pycnogonida	Invertebrate Zoology: Crustacea		20	-64.0749969482	-67.7419967651	1962-10-20T12:00:00Z	Nymphonidae	Nymphon	USNM	Animalia	Antarctic Peninsula, West Of Palmer Archipelago				10			Pantopoda	Arthropoda		Nymphon inferum	Child	urn:lsid:marinespecies.org:taxname:173429		Paratype	1962	9c5075ad-6b4b-4984-a8eb-cc0adc926f82	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-227232000000.0	-227232000000.0	-227232000000.0	1962.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum		2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	['NO_DEPTH']	2780	136633	-0.52	33.56	National Museum of Natural History, Smithsonian Institution	Antarctica	observedindividualcount=1;	Child, C. Allan	1.0	Alcohol (Ethanol)		Antarctic Ocean	University of Southern California	male	
HumanObservation		23161	Pycnogonida	SOMBASE Pycnogonids			-57.0065994263	-26.1683006287		Nymphonidae	Nymphon	BAS	Animalia		2757.0	2740.0					Pantopoda	Arthropoda		Nymphon inferum		urn:lsid:marinespecies.org:taxname:173429				c7b019fc-8ba3-4b3c-b6ec-e57e76e1753d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2748.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum		2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	[]	2738	32930	-0.67	33.63											
HumanObservation		39109	Pycnogonida	SOMBASE Pycnogonids			-71.7914962769	-106.213897705		Nymphonidae	Nymphon	BAS	Animalia		577.0	577.0					Pantopoda	Arthropoda		Nymphon inferum		urn:lsid:marinespecies.org:taxname:173429				e0e4ebd9-9eb7-4ccb-a608-84da4d0d136a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	577.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum		2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	[]	560	110888	-1.64	33.38											
HumanObservation		23158	Pycnogonida	SOMBASE Pycnogonids			-64.0166015625	-67.75		Nymphonidae	Nymphon	BAS	Animalia		2818.0	2763.0					Pantopoda	Arthropoda		Nymphon inferum		urn:lsid:marinespecies.org:taxname:173429				e0e6c024-cf5a-46f6-80a6-406462ef01e3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2790.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum		2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	[]	2912	141684	-0.52	33.56											
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234684.286936	Pycnogonida	Invertebrate Zoology: Crustacea		20	-64.0749969482	-67.7419967651	1962-10-20T12:00:00Z	Nymphonidae	Nymphon	USNM	Animalia	Antarctic Peninsula, West Of Palmer Archipelago				10			Pantopoda	Arthropoda		Nymphon inferum	Child	urn:lsid:marinespecies.org:taxname:173429		Holotype	1962	e7f3d1c9-f8e1-476e-8364-3d18366091ec	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-227232000000.0	-227232000000.0	-227232000000.0	1962.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon inferum		2	1065	1274	1302	1358	379601	379609	1566	134591	173429	173429	Nymphon inferum	['NO_DEPTH']	2780	136633	-0.52	33.56	National Museum of Natural History, Smithsonian Institution	Antarctica	observedindividualcount=1;	Child, C. Allan	1.0	Alcohol (Ethanol)		Antarctic Ocean	University of Southern California	male	ovigerous
