basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionID	language	lifeStage	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	datasetID	locality	modified
HumanObservation	38193	SOMBASE Pycnogonids	-43.9665985107	-59.2000007629	BAS	142	142	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	09e583fd-acfd-4483-b892-4d9a3fd350ac	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	142.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	1524	382103	8.5	34.05																																				
HumanObservation	38168	SOMBASE Pycnogonids	-47.25	-60.3333015442	BAS	150	150	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	0b2d2c33-e964-4347-8748-f77a8a3890b8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	150.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	561	406133	8.01	34.06																																				
HumanObservation	22041	SOMBASE Pycnogonids	-63.7550010681	-61.8083000183	BAS	82	73	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	0d9ad9f9-a47e-47d4-9d38-8c86a512a19b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	77.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	71	3036	-0.52	33.76																																				
HumanObservation	34699	SOMBASE Pycnogonids	-47.6166000366	-60.8333015442	BAS	219	146	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	0dcddfa9-e489-4e08-a07e-9911f1e51c68	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	182.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	363	365942	8.29	34.07																																				
HumanObservation	38166	SOMBASE Pycnogonids	-47.6632995605	-60.5166015625	BAS	140	140	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	13ffe7cb-218d-495f-ab14-ce3fc3f654db	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	140.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	466	375488	8.1	34.06																																				
HumanObservation	22034	SOMBASE Pycnogonids	-60.9500007629	-56.8615989685	BAS	3017	3017	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	235d6b12-a896-4eba-99c5-2bf0d0bca921	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3017.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	2894	74570	-0.14	33.69																																				
HumanObservation	22036	SOMBASE Pycnogonids	-66.5665969849	163.016601562	BAS	337	322	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	25f0522b-5809-49ab-8d61-b203707887fe	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	329.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	571	8164	-1.61	33.88																																				
PreservedSpecimen	JR15005_2358_05		-60.7586	-42.9794	BAS	546	508	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	2881a83a-5e89-492c-ad98-c49d10ea031b	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	527.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	575	73719	-1.03	33.84	288	AQ	15	2016-03-15	JR15005	JR15005_113	LINESTRING (-42.97439 -60.7578, -42.98436 -60.75949)	EPSG:4326	juvenile as fingers still functional	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	Juvenile	3	JR15005_2358_05	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	(Hodgson, 1907)	spinosa	species	PhysicalObject	15/03/2016	2016	1458000000000.0	1458000000000.0	1458000000000.0	2016.0	Biota	1.0			
HumanObservation	1596	Weddell Sea macrozoobenthos EASIZ I	-73.60166667	-22.595	AWI	850	850	Ammothea spinosa		2c500fb7-7977-4dd3-91b7-70e9f370d5e8	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	850.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ecleipsotremma spinosa	['WORMS_ANNOTATION_RESOLVABLE']	873	42001	-1.67	33.89			14												2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:1596											1996							IMIS:dasid:2432	South of Vestkapp	2010-05-11T18:09Z
HumanObservation	22040	SOMBASE Pycnogonids	-63.4249992371	-62.25	BAS	124	119	Ammothea spinosa	urn:lsid:marinespecies.org:taxname:172937	2ea0bd77-2f4f-4148-ab85-7933d9cd4848	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	121.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea spinosa	2	1065	1274	1302	1358	379601	379608	1562	134569	172937	172937	Ammothea spinosa	[]	94	6874	-0.39	33.7																																				
