associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	superdomain	superdomainid	lifeStage	coordinateUncertaintyInMeters	eventID	fieldNumber	footprintWKT	occurrenceRemarks	organismQuantity	organismQuantityType	sampleSizeUnit	specificEpithet	identificationRemarks	identificationVerificationStatus	references	verbatimIdentification	geodeticDatum	recordNumber	recordedBy	taxonRank
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183966.139895	Invertebrate Zoology: Crustacea	Japan	2	34.7700004578	139.074996948	observedindividualcount=1;	1971-02-02T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	Honshu Island, Sagami Bay	170	160	2	Alcohol (Ethanol)	Pallenopsis virgata	Loman	urn:lsid:marinespecies.org:taxname:240403	female	Shizuoka	North Pacific Ocean	1971	245d7340-9114-499d-b841-cf8037c265d0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	165.0	34300800000.0	34300800000.0	34300800000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata	[]	221	2190	20.33	33.84																								
	Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21638	NewCaledonia	Nouvelle Caledonie		-23.3299999237061	168.089996337891					IRD-MNHN	Chalcal 2, DW83	200	200			Pallenopsis virgata		urn:lsid:marinespecies.org:taxname:240403					2a80c2f0-458a-430f-b134-79b24b3731c2	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	200.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata	[]	259	82488	24.61	35.26	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21638:0x396E170001000500	present	Biota	1.0																		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183964.139893	Invertebrate Zoology: Crustacea	Japan	14	34.5699996948	138.868331909	observedindividualcount=3;	1969-07-14T12:00:00Z	Nakamura, K., Child, C. Allan	3.0	USNM	Honshu Island, Sagami Bay	94	76	7	Alcohol (Ethanol)	Pallenopsis virgata	Loman	urn:lsid:marinespecies.org:taxname:240403	male;;	Shizuoka	North Pacific Ocean	1969	3a9a49c2-c590-473f-b222-690d62be8058	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	85.0	-14774400000.0	-14774400000.0	-14774400000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata	[]	89	3966	20.57	34.11							; juvenile																	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183963.139892	Invertebrate Zoology: Crustacea	Japan	13	34.6766700745	138.718322754	observedindividualcount=1;	1969-07-13T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	Honshu Island, Suruga Bay	210	165	7	Alcohol (Ethanol)	Pallenopsis virgata	Loman	urn:lsid:marinespecies.org:taxname:240403	male	Shizuoka	North Pacific Ocean	1969	46e884f7-2d34-4906-9098-d3de9bc88ee4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	187.5	-14860800000.0	-14860800000.0	-14860800000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata	[]	153	2362	20.36	33.94																								
	HumanObservation			CMAR_NORFANZ_2003			-29.21817	159.00475		2003-05-20T11:09:00Z		1	CSIRO, Australia	Predetermined	300	300			Pallenopsis virgata	Loman, 1908	urn:lsid:marinespecies.org:taxname:240403					50a9c7fe-44cb-401f-a528-e2f6ae26e523	4fd95328-42c6-44cb-9347-64282f4946d5	['2a57cd59-6799-4579-955e-27c9af97aea4']	300.0	1053388800000.0	1053388800000.0	1053388800000.0	2003.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata Loman, 1908	[]	898	252246	22.28	35.64		2022-08-23T22:53:59	CC-TAN0308-49-263503-33020014	present	Biota	1.0		500	TAN0308:49	TAN0308:49	LINE (158.9975  -29.2182, 159.0120  -29.2182)	Occurrence Type: Catch composition Catch method: Sled	1	individuals	TAN0308	virgata								
	Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	5169	NewCaledonia	Nouvelle Caledonie		-19.1000003814697	163.259994506836					IRD-MNHN	Lagon 8, DW540	40	35			Pallenopsis virgata		urn:lsid:marinespecies.org:taxname:240403					5142976c-2d0a-416c-be84-a37cf0ab9099	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	37.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata	[]	27	57539	26.18	35.01	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:5169:0xE46B170001000000	present	Biota	1.0																		
	PreservedSpecimen		19131	SeamountsOnline			-23.33	168.09		1986-10-31	NA		SCSD	Antigonia	200	200			Pallenopsis virgata	Loman, 1908	urn:lsid:marinespecies.org:taxname:240403					64923243-aaf8-43c3-860b-222e72f5522b	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	200.0	531100800000.0	531100800000.0	531100800000.0	1986.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata	[]	259	82488	24.61	35.26			SeamountsOnline_urn:lsid:marinespecies.org:taxname:240403_19131	present	Biota	1.0			SCSD_SeamountsOnline_Antigonia_535379	Station DW 83		NA | NA					WoRMS Match Type: exact	Validated	Richer de Forges, B., R. Grandperrin, and P. Laboute 1987 La Campagne CHALCAL II Sure Les Guyots De La Ride De Norfolk (N.O. CORIOLIS, 26 Octobre-Ler Novembre 1986) Rapports Scientifiques et Techniques, Sciences de la Mer, Rep. 42, Institut Francais de recherche scientifique pour le developpement en cooperation	Pallenopsis virgata				
	PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04851	MIIC			-29.2182	158.997		2003-05-21 00:00	Karen Gowlett-Holmes		CSIRO		300	300			Pallenopsis virgata	Loman, 1908	urn:lsid:marinespecies.org:taxname:240403					64d4c7bd-af38-4f0a-ac09-8b6459e92643	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	300.0	1053475200000.0	1053475200000.0	1053475200000.0	2003.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata Loman, 1908	[]	980	252262	22.3	35.64		2023-07-11T05:57:20	urn:csiro:MIIC:MIIC-04851	present	Biota	1.0		200		TAN0308-049	POINT (158.99700 -29.21820)		1	individuals							EPSG:4326	TAN0308-049-031	Karen Gowlett-Holmes	species
	Occurrence	Crosnier A (2003).	48261	NewCaledonia	Salomon		-9.85999965667725	160.860000610352					IRD-MNHN	Salomon 1, CP1822	54	51			Pallenopsis virgata		urn:lsid:marinespecies.org:taxname:240403					6a725afa-d8b2-4929-8ca0-0c732fd50371	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	52.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata	[]	133	1368	29.29	34.38	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48261:0x4B07900001000D00	present	Biota	1.0																		
	Occurrence	Stock JH (1991). Musorstom 8(151): 213-228.	48324	NewCaledonia	Philippines		12.0100002288818	121.949996948242					IRD-MNHN	Musorstom 3, CP134	95	92			Pallenopsis virgata		urn:lsid:marinespecies.org:taxname:240403					6b961f89-3b2e-49b8-8810-6a82b7def41a	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	93.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis virgata	2	1065	1274	1302	1358	379601	379609	236317	134593	240403	240403	Pallenopsis virgata	[]	78	2367	28.4	31.87	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48324:0xB70D900001000500	present	Biota	1.0																		
