basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	date_start	date_mid	date_end	date_year
PreservedSpecimen	G.5194.001	Pycnogonida	co113	0.0896	10000	Australia	-33.85	151.266	Callipallenidae	POINT (151.26600 -33.85000)	Pallenella	AM	Animalia	Port Jackson	2017-03-02T13:14:48	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.5194.001	present	Arthropoda	Pallenella pachycheira	urn:lsid:marinespecies.org:taxname:239402	pachycheira	species	e24bdc00-71bc-4b8f-98c6-8ec2dbcb7157	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella pachycheira	2	1065	1274	1302	1358	379601	379609	1564	236291	1509516	1509516	Pseudopallene pachycheira	['NO_DEPTH', 'ON_LAND']	-2	-1884	20.41	35.54					
PreservedSpecimen	P.71963	Pycnogonida	co113	0.0896	10000		-19.94499	117.89666	Callipallenidae	POINT (117.89666 -19.94499)	Pallenella	AM	Animalia	North West Shelf	2017-03-02T12:36:52	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71963	present	Arthropoda	Pallenella pachycheira	urn:lsid:marinespecies.org:taxname:239402	pachycheira	species	fd78cd29-bb09-4653-9a9f-87d6c5ee0e8b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella pachycheira	2	1065	1274	1302	1358	379601	379609	1564	236291	1509516	1509516	Pseudopallene pachycheira	['NO_DEPTH']	43	52582	26.78	34.64	1983-08-26	430704000000.0	430704000000.0	430704000000.0	1983.0
