basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	coordinateUncertaintyInMeters	countryCode	eventID	fieldNumber	footprintWKT	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionID	language	organismQuantity	organismQuantityType	preparations	samplingProtocol	taxonRank	type	verbatimEventDate
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea bentartica</i> Munilla, 2001. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=266323	sm_id_651	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	22	-62.77	-60.6	1995-01-22	Ammotheidae	Ammothea	WoRMS Editorial Board	Animalia	Atlantic Ocean	335	2008-12-15 09:51:22	1	WoRMS Editorial Board:WoRMS type localities:sm_id_651	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=651	Ammothea bentartica	Munilla, 2001	urn:lsid:marinespecies.org:taxname:266323	bentartica	holotype	1995	5c02bdce-6e2b-42f5-9c3a-60469682c707	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	335.0	790732800000.0	790732800000.0	790732800000.0	1995.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea bentartica	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	266323	266323	Ammothea bentartica	[]	328	10191	-0.41	33.93																			
HumanObservation		39675	Pycnogonida	SOMBASE Pycnogonids			-62.9612998962	-60.6333007812		Ammotheidae	Ammothea	BAS	Animalia		167					Pantopoda	Arthropoda		Ammothea bentartica		urn:lsid:marinespecies.org:taxname:266323				6096de32-9bb2-42ff-8dbe-801221cf4f29	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	167.0					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea bentartica		2	1065	1274	1302	1358	379601	379608	1562	134569	266323	266323	Ammothea bentartica	['DEPTH_EXCEEDS_BATH']	67	1678	-0.46	33.91	167.0																		
HumanObservation		39674	Pycnogonida	SOMBASE Pycnogonids			-62.6408004761	-60.4030990601		Ammotheidae	Ammothea	BAS	Animalia		173					Pantopoda	Arthropoda		Ammothea bentartica		urn:lsid:marinespecies.org:taxname:266323				a56eba87-1d31-404e-b373-247099ebf820	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	173.0					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea bentartica		2	1065	1274	1302	1358	379601	379608	1562	134569	266323	266323	Ammothea bentartica	[]	120	1542	-0.39	33.94	173.0																		
HumanObservation		39676	Pycnogonida	SOMBASE Pycnogonids			-62.7633018494	-60.5950012207		Ammotheidae	Ammothea	BAS	Animalia		335					Pantopoda	Arthropoda		Ammothea bentartica		urn:lsid:marinespecies.org:taxname:266323				b1d2f6dc-4af2-4258-bb65-8c61f4aa7526	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	335.0					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea bentartica		2	1065	1274	1302	1358	379601	379608	1562	134569	266323	266323	Ammothea bentartica	[]	337	9580	-0.41	33.93	335.0																		
PreservedSpecimen		PS118_0119_03	Pycnogonida			14	-63.8366	-55.5772	2019-03-14	Ammotheidae	Ammothea	BAS	Animalia		405		3	PS118_0119_03	Present	Pantopoda	Arthropoda		Ammothea bentartica	Munilla, 2001	urn:lsid:marinespecies.org:taxname:266323	bentartica		2019	e34547c3-665e-4ae2-9632-4046bbd5aee9	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	408.5	1552521600000.0	1552521600000.0	1552521600000.0	2019.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea bentartica	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	266323	266323	Ammothea bentartica	[]	367	29421	-1.54	33.29	412.0	443	AQ	PS118	PS118_12_10	LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	EPSG:4326	large growth on 2nd tibia	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	species	PhysicalObject	14/03/2019
