basisOfRecord	bibliographicCitation	catalogNumber	class	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	datasetID	references	typeStatus
HumanObservation	Clark, W.C. (1958) Some Pycnogonida from Cook Strait, New Zealand, with descriptions of two new species. Zoology Publications from Victoria University of Wellington No. 23	MBIS-urn:catalog:SWPRON:MBIS:4920 Coll. J. C. Yaldwyn Nymphon maoriana	Pycnogonida	1000	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	18	-41.36	175.865	1956-10-18	1590	Nymphonidae	Coll. J. C. Yaldwyn	POINT (175.865 -41.36)	Nymphon	WGS84	5	NIWA	Animalia	en	Off Kahu Rocks, Wellington East Coast; from Kelp holdfast	54	36	2014-12-08	10	urn:catalog:SWPRON:MBIS:4920	present	Pantopoda	Arthropoda	Nymphon maoriana	Clark, 1958	urn:lsid:marinespecies.org:taxname:239497	maoriana	292	Pacific Ocean	1956	417f9d96-3981-431e-8b0f-17bd44c67699	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	45	-416707200000	-416707200000	-416707200000	1956	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon maoriana	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239497	239497	Nymphon maoriana	[]	20	746	14.37	34.97				
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon maoriana</i> Clark, 1958. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239497	sm_id_2027	Pycnogonida				18	-41.3	174.78	1956-10-18		Nymphonidae			Nymphon			WoRMS Editorial Board	Animalia		Cook Strait	55	37	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_2027	present	Pantopoda	Arthropoda	Nymphon maoriana	Clark, 1958	urn:lsid:marinespecies.org:taxname:239497	maoriana			1956	824254aa-1a43-4077-837d-a3a9df1b6228	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	46	-416707200000	-416707200000	-416707200000	1956	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon maoriana	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239497	239497	Nymphon maoriana	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-30	-1089			WoRMS type localities	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=2027	holotype
